analystId,siteTableId,positionId,startPage,endPage,stepPage,urlPeriod,urlData,nameCol,whichTable,playerLinkString,siteUrl
jaei,cbs_qb,1,1,1,1,week,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/QB/{$WeekNo}/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_qb,1,1,1,1,season,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/QB/season/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_rb,2,1,1,1,week,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/RB/{$WeekNo}/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_rb,2,1,1,1,season,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/RB/season/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_wr,3,1,1,1,week,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/WR/{$WeekNo}/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_wr,3,1,1,1,season,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/WR/season/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_te,4,1,1,1,week,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/TE/{$WeekNo}/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_te,4,1,1,1,season,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/TE/season/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_k,5,1,1,1,week,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/K/{$WeekNo}/jamey_eisenberg/standard?&print_rows=9999
jaei,cbs_k,5,1,1,1,season,html,1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}",http://www.cbssports.com/fantasy/football/stats/weeklyprojections/K/season/jamey_eisenberg/standard?&print_rows=9999
