siteTableId,columnOrder,columnName,columnType,columnPeriod,removeColumn
cbs_qb,1,player,character,season,0
cbs_qb,2,passAtt,numeric,season,0
cbs_qb,3,passComp,numeric,season,0
cbs_qb,4,passYds,FormattedNumber,season,0
cbs_qb,5,passTds,numeric,season,0
cbs_qb,6,passInt,numeric,season,0
cbs_qb,7,passCompPct,numeric,season,0
cbs_qb,8,passYdsPerAtt,numeric,season,1
cbs_qb,9,rushAtt,numeric,season,0
cbs_qb,10,rushYds,FormattedNumber,season,0
cbs_qb,11,rushYdsPerAtt,numeric,season,1
cbs_qb,12,rushTds,numeric,season,0
cbs_qb,13,fumbles,numeric,season,0
cbs_qb,14,points,numeric,season,1
cbs_rb,1,player,character,season,0
cbs_rb,2,rushAtt,numeric,season,0
cbs_rb,3,rushYds,FormattedNumber,season,0
cbs_rb,4,rushYdsPerAtt,numeric,season,1
cbs_rb,5,rushTds,numeric,season,0
cbs_rb,6,rec,numeric,season,0
cbs_rb,7,recYds,FormattedNumber,season,0
cbs_rb,8,recYdsPerRec,numeric,season,1
cbs_rb,9,recTds,numeric,season,0
cbs_rb,10,fumbles,numeric,season,0
cbs_rb,11,points,numeric,season,1
cbs_wr,1,player,character,season,0
cbs_wr,2,rec,numeric,season,0
cbs_wr,3,recYds,FormattedNumber,season,0
cbs_wr,4,recYdsPerRec,numeric,season,1
cbs_wr,5,recTds,numeric,season,0
cbs_wr,6,fumbles,numeric,season,0
cbs_wr,7,points,numeric,season,1
cbs_te,1,player,character,season,0
cbs_te,2,rec,numeric,season,0
cbs_te,3,recYds,FormattedNumber,season,0
cbs_te,4,recYdsPerRec,numeric,season,1
cbs_te,5,recTds,numeric,season,0
cbs_te,6,fumbles,numeric,season,0
cbs_te,7,points,numeric,season,1
cbs_k,1,player,character,season,0
cbs_k,2,fg,numeric,season,0
cbs_k,3,fgAtt,numeric,season,0
cbs_k,4,xp,numeric,season,0
cbs_k,5,points,numeric,season,1
cbs_dst,1,player,character,season,0
cbs_dst,2,dstInt,numeric,season,0
cbs_dst,3,dstFumlRec,numeric,season,0
cbs_dst,4,dstFumlForce,numeric,season,0
cbs_dst,5,dstSack,numeric,season,0
cbs_dst,6,dstTd,numeric,season,0
cbs_dst,7,dstSafety,numeric,season,0
cbs_dst,8,dstPtsAllow,numeric,season,0
