"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"ANDREWLUCK","Andrew Luck","QB","IND",1,1,577.1,369.5,4430,26.6,7.64,684,6.48,NA,NA,NA,NA,5.15,365.3
"PEYTONMANNING","Peyton Manning","QB","DEN",2,2,648.9,434.5,5352,44.37,14.9,-56,0.26,NA,NA,NA,NA,7.04,343.6
"RUSSELLWILSON","Russell Wilson","QB","SEA",3,3,451,289.3,3904,31.39,7.43,661,3.46,NA,NA,NA,NA,7.57,338.5
"DREWBREES","Drew Brees","QB","NO",4,4,638.8,419.9,4981,38.26,12.54,73,1.21,NA,NA,NA,NA,3.92,333.9
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,474.6,271,3323,17.08,12.34,1016,8.65,NA,NA,NA,NA,7.13,315.7
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",6,6,494.8,308.5,3952,24.32,8.76,667,3.49,NA,NA,NA,NA,8.14,309.2
"AARONRODGERS","Aaron Rodgers","QB","GB",7,7,548.1,358.5,4445,32.6,10.76,210,1.1,NA,NA,NA,NA,4.12,306.1
"LESEANMCCOY","LeSean McCoy","RB","PHI",1,8,NA,NA,NA,NA,NA,1815,11.43,54.8,445,2.57,NA,4.07,301.9
"JAMAALCHARLES","Jamaal Charles","RB","KC",2,9,NA,NA,NA,NA,NA,1314,9.5,78.8,736,6.82,NA,3.19,296.6
"TONYROMO","Tony Romo","QB","DAL",8,10,578,364.5,4461,34.35,12.06,31,0.29,NA,NA,NA,NA,2.68,291.2
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",3,11,NA,NA,NA,NA,NA,1485,11.38,77.5,588,3.59,NA,3.28,290.6
"DEZBRYANT","Dez Bryant","WR","DAL",1,12,NA,NA,NA,NA,NA,NA,NA,123.8,1918,16.58,NA,2.72,285.8
"JAKELOCKER","Jake Locker","QB","TEN",9,13,544.7,306.7,3312,13.96,14.57,973,7.29,NA,NA,NA,NA,7.46,285.3
"VINCENTJACKSON","Vincent Jackson","WR","TB",2,14,NA,NA,NA,NA,NA,NA,NA,130.8,2000,14.09,NA,1.16,282.3
"NICKFOLES","Nick Foles","QB","PHI",10,15,459.6,303.4,3659,26.6,10.89,377,3.23,NA,NA,NA,NA,5.81,276.4
"PHILIPRIVERS","Philip Rivers","QB","SD",11,16,525.8,343.8,4311,30.8,10.18,54,0.34,NA,NA,NA,NA,3.57,275.5
"JOSHMCCOWN","Josh McCown","QB","TB",12,17,546.1,359.2,4009,27.78,10.18,173,1.73,NA,NA,NA,NA,3.96,270.8
"JAYCUTLER","Jay Cutler","QB","CHI",13,18,541.9,321.9,4117,29.64,16.13,221,1.14,NA,NA,NA,NA,5.18,269.5
"ALEXSMITH","Alex Smith","QB","KC",14,19,528.6,320.2,3615,25.56,9.99,399,1.81,NA,NA,NA,NA,4.11,269.4
"CAMNEWTON","Cam Newton","QB","CAR",15,20,498.9,302.2,3208,19.16,11.99,646,4.84,NA,NA,NA,NA,2.8,269.1
