"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,22.1,1,339.119758400787,323.7,348.76,348.48,352.250140080513,355.3,350.368,332.92,346.230140080513,307.610140080513,326.450140080513,320.290140080513,344.450140080513,293.7,335.98,326.292740080513,NA,340.69,334.577505882353,339.119758400787,93.4268480257006,8.4,17.351622343946,3.9192587387576,48,44,46,48,11,54.3,5.7,45,7,8.1,3.7,46,57
"AARONRODGERS","Aaron Rodgers","QB","GB",2,26.5,2,318.703787109601,292.76,339.06,341.86,336.47,337.02,337.08,295.34,320.05,306.65,315.85,293.81,328.75,295,330.08,331.04545,NA,301.84,319.871879411765,318.703787109601,73.0108767345151,6.9,18.5499034170372,3.84409839937589,38.7,36,37.35,38.7,19.8,46.4,10.1,41,15,17.7,4.5,37.35,47
"DREWBREES","Drew Brees","QB","NO",3,26.8,3,316.310391588408,319.46,325.6,324.02,313.220054399986,328,322.49,314.92,319.040054399986,300.540054399986,295.120054399986,294.420054399986,321.120054399986,304.58,328.22,349.453354399986,NA,312.76,317.783718627451,316.310391588408,70.6174812133225,6.6,13.9785156582896,3.3891991767261,41.7,38,39.85,41.7,17,42.3,12.4,39,12,15.2,4.9,39.85,50
"ANDREWLUCK","Andrew Luck","QB","IND",4,55.7,4,289.697417538729,354.51,304.58,291.32,272.136811959473,296.9,290.658,290,286.896811959473,288.996811959473,294.596811959473,286.296811959473,290.796811959473,282.88,306,276.100561959473,NA,270.88,292.144882352941,289.697417538729,44.0045071636435,9.6,19.2111761025763,4.23704921763651,5.6,16,10.8,16,55.8,17,34.5,24,39,48.4,8.9,10.8,14
"JAMAALCHARLES","Jamaal Charles","RB","KC",5,2,1,275.74702577903,311.75,307.4,255.025,257.875168131086,271.35,276.0075,279.5,275.525168131086,256.550168131086,267.250168131086,273.575168131086,309.750168131086,244.35,256.05,321.572968131086,NA,257.75,276.365811960784,275.74702577903,155.236503521045,1.1,23.7687882206021,3.60701274637192,64.8,58,61.4,64.8,2,58.2,4,55,3,3.4,1.3,61.4,76
"NICKFOLES","Nick Foles","QB","PHI",6,69.3,5,273.770152771227,261.34,271.9,304.5,265.560067010841,291.52,284.832,289.9,289.800067010841,273.040067010841,273.300067010841,270.880067010841,272.500067010841,271.32,286.94,263.947617010841,NA,283.46,276.853728431373,273.770152771227,28.0772423961411,14,11.9964066254651,4.11925083843288,3.5,14,8.75,14,64.7,10.4,58.4,14,55,68.6,10.4,8.75,11
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,49.8,6,271.999874604684,203.72,309.82,303.28,264.739952712843,293.3,288.59,276.96,252.559952712843,264.379952712843,266.299952712843,263.979952712843,267.899952712843,267.34,283.58,267.791802712843,NA,267.42,270.611260784314,271.999874604684,26.3069642295983,7.9,23.9646919358126,4.46231011363679,10.1,18,14.05,18,47.9,19.5,33.1,23,36,41.7,8.4,14.05,18
"CAMNEWTON","Cam Newton","QB","CAR",8,74.3,7,271.612219965256,255.43,265.14,268.3,261.292627641947,281.06,265.764,284.56,269.432627641947,267.872627641947,269.432627641947,269.552627641947,266.232627641947,282.82,296.14,284.402977641947,NA,254.46,271.239510784314,271.612219965256,25.91930959017,24.3,11.4107262496813,5.33409662569205,8.3,18,13.15,18,52.1,15.4,48.9,18,59,83.7,12.7,13.15,17
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,84.7,8,270.719983203277,297.53,299.34,285.3,253.719890516649,287.76,280.62,288.6,266.419890516649,278.079890516649,276.599890516649,260.179890516649,281.099890516649,264.36,287.54,244.790890516649,NA,257.16,274.346431372549,270.719983203277,25.0270728281912,17.6,16.076858582194,4.93564305099197,2.1,8,5.05,8,99,9,69.6,12,75,96,12,5.05,7
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",10,77.6,9,269.929428875366,294.6,290.62,249.46,271.429551208638,288.7,269.892,260.26,259.449551208638,260.489551208638,253.569551208638,254.249551208638,265.569551208638,293.2,296.84,253.434801208638,NA,263.12,269.651220588235,269.929428875366,24.2365185002802,19.5,16.7673284523993,5.23274730909422,4.9,18,11.45,18,59.6,9.9,66.3,15,70,90.7,12.1,11.45,15
