"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo"
"PEYTONMANNING","Peyton Manning","QB",339.016994351054,4.62656758765862,57,"DEN",1,22.2,1,321.7,346.76,343.28,363,349.5,347.408,330.92,356.98,329.1,337.2,330.52,359.2,276.76,335.98,NA,336.06,333.429083333333,339.016994351054,93.9346802345298,8.9,20.6462390828612,47.7,44,45.85,47.7,11.1,54.1,5.3,45,7,8.4,3.9,45.85,47
"AARONRODGERS","Aaron Rodgers","QB",317.275330370408,4.3628390041831,47,"GB",2,26.2,2,291.16,337.46,340.26,344.62,335.42,335.48,293.74,328.2,314.8,324,301.96,336.9,290,330.08,NA,302.16,318.002083333333,317.275330370408,72.1930162538839,7.4,19.5645659292508,38.5,36,37.25,38.5,20.1,45.1,10.3,41,15,17.5,5.3,37.25,34
"DREWBREES","Drew Brees","QB",315.116297253094,3.38207297329203,50,"NO",3,27,3,317.46,323.6,322.42,318.6,326.08,320.61,312.92,324.42,305.92,300.5,299.8,326.5,310.8,328.22,NA,310.4,315.920458333333,315.116297253094,70.0339831365705,7.5,9.3688183429319,41.6,38,39.8,41.6,17.1,40.2,12.5,39,13,16.6,4.8,39.8,32
"ANDREWLUCK","Andrew Luck","QB",288.389160750172,4.90762300453341,14,"IND",4,56.4,4,352.51,302.58,275.36,279.34,293.98,284.47,288,294.1,295.96,301.8,293.5,298,256.2,306,NA,267.38,289.354708333333,288.389160750172,43.3068466336482,10.7,21.5799689527117,5.7,16,10.85,16,55.9,15.6,37.8,23,43,48.2,8.5,10.85,15
"NICKFOLES","Nick Foles","QB",276.396240810082,4.25178858299538,11,"PHI",5,70.1,5,259.74,270.3,294.7,275.06,294.64,283.604,288.3,299.3,284.14,282.8,280.38,282,268.02,286.94,NA,281.14,277.014541666667,276.396240810082,31.3139266935579,14.6,10.5948968272915,3.6,14,8.8,14,64.9,9.8,57.9,14,57,70.1,12.1,8.8,7
"ROBERTGRIFFIN","Robert Griffin III","QB",275.660434167799,4.5366543275977,15,"WAS",6,71.5,6,292.3,300.32,270.8,280.86,292.2,280.684,257.96,268.88,274.52,289.3,263.68,279,257.24,296.84,NA,264.48,274.11125,275.660434167799,30.5781200512747,14.1,14.0682770028377,4.9,18,11.45,18,59.2,10.3,61.4,15,61,78.8,9.9,11.45,7
"COLINKAEPERNICK","Colin Kaepernick","QB",274.934289473856,5.53143142958451,7,"SF",7,83.8,7,296.33,302.14,323.14,261.52,294.24,295.932,287.4,274.22,285.88,284.4,267.98,277.9,247.12,287.54,NA,254.42,278.404916666667,274.934289473856,29.8519753573323,18.4,19.624634496566,2.1,8,5.05,8,98.9,9,64.6,12,74,93.2,10.2,5.05,6
"JAMAALCHARLES","Jamaal Charles","RB",274.419402597478,3.82459746872455,76,"KC",8,1.9,1,311.75,307.4,265.025,265.375,274.05,279.0075,279.5,283.025,264.05,274.75,282.7,317.25,244.325,256.05,NA,256.15,274.49659375,274.419402597478,156.491588396408,0.9,21.0953543506283,64.7,58,61.35,64.7,1.9,58.1,4.1,55,3,2.6,1,61.35,83
"CAMNEWTON","Cam Newton","QB",272.496143866509,5.02628296035684,17,"CAR",9,68.4,8,254.23,281.94,267.1,281.3,280.22,274.172,283.36,276.2,288.62,276.2,276.56,289.9,263.06,296.14,NA,253.14,273.579041666667,272.496143866509,27.4138297499847,20.3,12.3636593242338,8.7,18,13.35,18,51.5,15.6,40.7,20,55,81.4,11.4,13.35,5
"MATTHEWSTAFFORD","Matthew Stafford","QB",271.700914584426,4.98401535076955,18,"DET",10,50,9,201.72,307.82,301.28,273.24,291.3,286.59,274.96,261.06,272.88,274.8,272.48,276.4,254.04,283.58,NA,266.86,269.869541666667,271.700914584426,26.6186004679026,8.9,24.322535836623,10.1,18,14.05,18,48.3,18.6,34.1,23,37,42.5,8.1,14.05,4
"MATTRYAN","Matt Ryan","QB",264.019427187751,4.71759567951005,15,"ATL",11,65.4,10,236.11,288.98,271.64,253.68,278.48,271.302,244.76,266.4,265.32,253.4,255.58,256.5,290.48,274.48,NA,269.22,263.063083333333,264.019427187751,18.9371130712268,14.7,15.2769373856711,5.4,18,11.7,18,54.5,4.9,86.2,11,68,65.8,9.5,11.7,1
"CALVINJOHNSON","Calvin Johnson","WR",263.49667047136,3.83035277504555,72,"DET",12,6.1,1,217.715,271.25,268.75,280,265.75,268.125,269.125,256.625,257.375,256,281,265.75,213,277.875,NA,238.2,259.42775,263.49667047136,120.09744878175,1.2,20.8283996424753,60.9,54,57.45,60.9,6.2,53.7,7.5,46,5,5.3,1.5,57.45,73
"TOMBRADY","Tom Brady","QB",262.910264082943,4.8665265759839,11,"NE",13,68.8,11,197.2,279.42,284.28,256.58,NA,267.994,275.5,255.84,261.22,280.2,261.84,285.1,260.94,280.68,NA,276.68,263.890207142857,262.910264082943,17.8279499664191,9.6,22.35317130044,4.3,13,8.65,13,78.2,9.3,60.8,11,53,58,11.1,8.65,1
"TONYROMO","Tony Romo","QB",261.301580455059,4.78246900678268,11,"DAL",14,78.3,12,276.46,277.94,260.28,256.06,NA,259.41,240.54,250.16,253.4,251,252.28,281.9,273.56,275.68,NA,265.88,260.447619047619,261.301580455059,16.2192663385349,17.6,12.7913938487331,2.5,14,8.25,14,77.3,3.7,97.4,9,85,94,11.4,8.25,1
"LESEANMCCOY","LeSean McCoy","RB",261.188311712305,3.57997340577015,76,"PHI",15,1.7,2,308.915,289.725,244.25,254.95,264.875,262.8025,281.175,270.1,251.575,250.5,253.475,255.125,274.5,264.45,NA,237.325,263.025989583333,261.188311712305,143.260497511234,0.9,18.5794324696116,64.8,58,61.4,64.8,1.5,60.2,3.1,55,1,1.6,0.8,61.4,71
"RUSSELLWILSON","Russell Wilson","QB",260.219051982208,6.13157167985811,7,"SEA",16,93.9,13,323.58,268.74,247,268.26,NA,257.402,275.88,266.14,273.64,284.8,251.46,287,233.84,279.58,NA,242.54,263.489192857143,260.219051982208,15.1367378656842,21.4,22.5355154391882,2.1,8,5.05,8,100.1,5.6,69.1,9,95,107.6,12.7,5.05,1
"DEMARYIUSTHOMAS","Demaryius Thomas","WR",251.381561348738,4.17524717756617,68,"DEN",17,9.1,2,305.78,249,261.25,253,254.625,254.9,268.25,259.125,241.125,244.5,246.625,271.75,195.5,252.175,NA,229.8,252.349770833333,251.381561348738,107.982339659127,2.2,23.2884297197025,56.6,52,54.3,56.6,9.5,41.8,14.2,38,10,8.2,1.7,54.3,65
"PHILIPRIVERS","Philip Rivers","QB",250.93480300012,4.99564516177856,6,"SD",18,99.3,14,261.83,250.18,254.44,256.18,NA,248.514,230.6,249.26,246.56,243,250.92,259.9,268.82,260.02,NA,242.41,249.473183333333,250.93480300012,5.85248888359644,22.5,9.65680821954184,1.6,8,4.8,8,104.3,3,104.8,9,105,102.9,10.1,4.8,1
"MATTFORTE","Matt Forte","RB",250.037336668946,3.03292107350863,72,"CHI",19,3.9,3,260.9,270.7,249.1,254.7,254.85,253.305,250.5,244.125,234.425,250.625,239.5,250.625,282.475,250.75,NA,236.55,250.602333333333,250.037336668946,132.109522467876,1.4,12.4095024745824,60.9,55,57.95,60.9,4.9,54.2,6.2,52,4,5.2,1.5,57.95,64
"JAYCUTLER","Jay Cutler","QB",245.426240154159,4.75298622700106,10,"CHI",20,80.5,15,248.25,276.98,257.68,235.72,NA,255.074,262.14,255.66,245.88,248,239.98,249.5,237.74,260.54,NA,236.6,244.544242857143,245.426240154159,0.343926037634901,18.4,11.6184420774772,1.9,13,7.45,13,97.6,3.2,107,7,96,85.8,10.6,7.45,1
"ADRIANPETERSON","Adrian Peterson","RB",241.714229122256,2.76674165222298,74,"MIN",21,3,4,226.935,250.8,223.825,262.625,244.775,241.7325,244.5,249.1,241.775,252.25,236.9,246.75,244.9,253.125,NA,236.125,242.293552083333,241.714229122256,123.786414921186,1.1,9.99803413117275,62.7,56,59.35,62.7,3.2,60.3,2.3,57,2,2.7,1.1,59.35,58
"BENROETHLISBERGER","Ben Roethlisberger","QB",238.885899195293,5.01983326532097,6,"PIT",22,106.1,16,203.96,264.84,254.74,230.76,NA,247.162,245.84,246.68,237.12,247.2,233.7,249,255.94,253.96,NA,219.66,239.24160952381,238.885899195293,-6.19641492123134,16.9,15.9936597966916,1.4,7,4.2,7,117.6,1.7,122.5,6,122,124.3,11,4.2,1
"ALEXSMITH","Alex Smith","QB",236.61932074235,4.92975302004937,2,"KC",23,146.2,17,255.3,243.96,233.66,211.58,NA,233.614,247.04,258.06,230.42,243.8,235.96,248.6,221.12,259.74,NA,255.06,236.378635714286,236.61932074235,-8.46299337417349,17.6,14.3061878850446,1.3,1,1.15,1.3,124.5,1.1,146.7,6,150,NA,NA,1.15,1
"DEZBRYANT","Dez Bryant","WR",235.533717645777,4.66863805481715,65,"DAL",24,10.6,3,331.07,232.375,238.125,238.675,230.15,231.175,252.625,225.25,228.275,233.75,233.1,244.5,196.75,248.075,NA,241.825,238.942,235.533717645777,92.1344959561667,2.4,28.1454496110743,52.9,52,52.45,52.9,10.9,38.4,17.2,37,11,10.8,2.2,52.45,57
"EDDIELACY","Eddie Lacy","RB",228.570054134208,3.28366146959735,72,"GB",25,5.3,5,246.43,250.825,200.675,225.625,227.575,223.875,249.6,222.5,213.85,229.75,225.15,242.375,255.6,240.6,NA,230.45,231.1525,228.570054134208,110.642239933137,1.3,15.0970456507541,60.9,55,57.95,60.9,5.3,50.4,8.8,49,6,5.5,1.5,57.95,51
"AJGREEN","A.J. Green","WR",228.163913398433,3.62999499058586,61,"CIN",26,14.2,4,262.985,226.75,227,233,229.25,227.4,237.075,223.375,227.375,233.75,234.45,230.75,189.25,252.375,NA,211.7,230.051395833333,228.163913398433,84.7646917088221,3.4,16.3760038805332,51.1,47,49.05,51.1,12.5,39.7,16.8,38,14,12.6,2.3,49.05,51
"ANDYDALTON","Andy Dalton","QB",228.005603951815,4.53741929090902,3,"CIN",27,125.4,18,242.28,245.26,236.22,231.18,NA,233.2,227.16,230.6,233.56,241.8,236.44,232,245,251.2,NA,224.4,232.68505952381,228.005603951815,-17.0767101647085,20,7.66191681178863,1.2,3,2.1,3,123.2,2.3,119.4,6,127,117.2,12.1,2.1,1
"JULIOJONES","Julio Jones","WR",226.897147088917,3.18962472719954,50,"ATL",28,15.6,5,250.31,224.25,238.125,229.275,230.975,236.7375,242.075,243.825,213.975,217.5,227.75,215.25,222.875,237.725,NA,226.095,229.332239583333,226.897147088917,83.4979253993069,4.3,10.8684201030193,41.4,38,39.7,41.4,20.3,33.1,22.8,36,20,16.3,2.5,39.7,49
"JIMMYGRAHAM","Jimmy Graham","TE",221.265634013649,4.21989425349501,70,"NO",29,9,1,292.36,232.625,232.75,217.375,217.375,224.9375,252.5,209.25,213.5,224.25,212.125,215.75,188.25,221.125,NA,212.4,224.93253125,221.265634013649,102.910709737218,2.5,23.4214710420548,58.8,53,55.9,58.8,7.7,46.3,11.4,43,8,8.6,2.2,55.9,53
"RYANTANNEHILL","Ryan Tannehill","QB",220.471507295718,5.37776246080967,2,"MIA",30,134.9,19,198.59,235.98,244.76,214.78,NA,226.758,204.64,218.9,220.6,241.4,225.04,229,233.1,252.82,NA,229.24,223.148223809524,220.471507295718,-24.6108068208057,21.3,14.8914161482748,1,1,1,1,133.7,2.4,131.3,5,164,NA,NA,1,1
"BRANDONMARSHALL","Brandon Marshall","WR",219.977956533815,3.48246922761252,57,"CHI",31,15,6,231.75,220.375,228.25,225.75,224.25,221.0875,241,206.75,213.75,221.25,208.95,227.75,174.75,234.75,NA,222.4,220.881322916667,219.977956533815,76.5787348442043,2.8,15.5110178295024,46.3,45,45.65,46.3,14.5,35,20.3,36,18,15.1,2.7,45.65,45
"ALSHONJEFFERY","Alshon Jeffery","WR",216.411470246622,3.27806109283069,47,"CHI",32,23.9,7,217.57,215.125,200,223,217.625,215.6625,212.775,205.325,209.725,214.625,202.925,214.25,180,217.75,NA,203.235,211.73615625,216.411470246622,73.0122485570116,5.4,10.5821019240486,38.5,36,37.25,38.5,22.2,27.7,28.2,30,25,24.7,3.6,37.25,45
"JORDYNELSON","Jordy Nelson","WR",215.790618606723,3.10716540749157,46,"GB",33,20.5,8,219.035,219,223,220.75,216.125,217.125,217.575,204.875,222,215.25,213.375,228.5,193.375,222.5,NA,197.25,215.257520833333,215.790618606723,72.3913969171127,4.6,9.69419116692839,38.1,36,37.05,38.1,23,29.7,25.1,31,22,20.2,3.1,37.05,44
"ANTONIOBROWN","Antonio Brown","WR",215.664417346935,3.10666099063104,42,"PIT",34,23.9,9,195.48,220.875,202.375,226.075,218.375,218.35,213.55,221.65,209.35,213.25,203.85,221.375,204.625,222.525,NA,198.785,215.581208333333,215.664417346935,72.2651956573247,4.6,9.68900331500074,37.2,36,36.6,37.2,25.9,25.2,30.6,31,26,23.3,3.4,36.6,41
"DEMARCOMURRAY","DeMarco Murray","RB",214.294086875055,4.73589021029387,50,"DAL",35,12.2,6,301.98,249.525,196.825,206.025,216.4,214.51,219.45,213.125,199.5,210.5,207.525,211.625,242.45,219.925,NA,210.925,217.877583333333,214.294086875055,96.3662726739849,4.7,26.3366663110758,43,45,44,45,16.2,38.8,17,40,12,13.5,3,44,41
"MONTEEBALL","Montee Ball","RB",213.025809004688,4.09678216656174,55,"DEN",36,11.7,7,157.425,241.1,199.75,195.925,216.1,213.335,231.375,224.475,222,237.5,209.525,210.625,222.875,217,NA,204.1,210.594583333333,213.025809004688,95.0979948036171,4.3,20.198398616392,52.8,44,48.4,52.8,12.7,28.8,27.7,37,16,13.4,3.1,48.4,41
"MARSHAWNLYNCH","Marshawn Lynch","RB",211.035030172942,4.0638539736307,60,"SEA",37,11.7,8,258.505,204.825,187.9,241.375,206.65,207.9225,228.5,212.15,209.625,218.5,211.6,220.125,178.425,237.75,NA,208.85,211.798947916667,211.035030172942,93.1072159718712,4,20.1858842520142,56.4,50,53.2,56.4,10.1,52.3,7.2,49,9,9.7,2.7,53.2,41
"SAMBRADFORD","Sam Bradford","QB",208.654603937405,5.60590057065643,1,"STL",38,161.9,20,224.39,233.22,243.86,169.94,NA,212.708,228.2,195.5,203.9,221.4,204.86,197.5,235.4,225.7,NA,199.38,211.354426190476,208.654603937405,-36.4277101791187,18.8,19.9556755720888,1.3,0,0.65,1.3,124.8,0,140,3,166,NA,NA,0.65,1
"CARSONPALMER","Carson Palmer","QB",207.955098512067,5.2507300602401,2,"ARI",39,134.4,21,181.3,234.84,226.68,210.94,NA,218.184,201.62,208.7,198.44,207.4,210.54,204.5,229.46,244.3,NA,188.94,207.866528571429,207.955098512067,-37.1272156044566,17.7,17.4986729870494,1,1,1,1,136.7,2.1,132.5,3,158,132.2,11.2,1,1
"JOEFLACCO","Joe Flacco","QB",204.640859013797,5.09843787003109,2,"BAL",40,158.3,22,168.87,223.22,209.16,202.3,NA,209.666,200.1,210.96,211.02,220,207.36,217.6,236.14,222.3,NA,206.62,207.59920952381,204.640859013797,-40.4414551027273,18.3,15.2800762554912,1.3,1,1.15,1.3,124.5,2.2,127.1,3,152,NA,NA,1.15,1
"LEVEONBELL","Le'Veon Bell","RB",204.277337179889,3.55379886004013,44,"PIT",41,23.3,9,214.485,213.45,194.475,206.05,207.625,213.975,193.425,216.5,188.5,195,202.95,202.75,213.075,217.15,NA,190,202.522875,204.277337179889,86.3495229788185,8.4,10.1565518731694,39.1,38,38.55,39.1,20.9,34.6,22.5,40,19,22.4,4.6,38.55,36
"ARIANFOSTER","Arian Foster","RB",204.0122941225,3.94351767174162,45,"HOU",42,22,10,192.19,206.6,185.325,195.775,NA,204.9375,181.5,206.525,217.575,209,207.075,208.75,213.3,218.225,NA,201.65,201.11130952381,204.0122941225,86.08447992143,11.2,11.1207112566158,43.5,36,39.75,43.5,19.3,43.4,12.9,43,17,22,4.3,39.75,35
"GIOVANIBERNARD","Giovani Bernard","RB",201.576375759643,4.1579189056965,44,"CIN",43,17.3,11,168.57,243.4,196.55,194.45,208.55,210.84,173.975,214.825,209.85,221.5,212.25,229,207.475,224.65,NA,185.05,203.8733125,201.576375759643,83.6485615585725,4.8,20.2836022089625,38.8,38,38.4,38.8,19.4,26.6,30.3,35,21,16.7,3.2,38.4,34
