"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,638.5,433,5355.5,44.5,12,67.8,8.4,19.5,4,0.2,0,NA,NA,NA,NA,NA,3,444
"DREWBREES","Drew Brees","QB","NO",2,2,648,426.5,5156.5,40,14.5,65.8,8,30.5,50.5,1.7,0.5,NA,NA,NA,NA,NA,2,409
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,549.5,363.5,4634,37,7.5,66.2,8.4,50,210,4.2,2,NA,NA,NA,NA,NA,2,406
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,644,392,4995,36.5,16.5,60.9,7.8,33.5,85.5,2.6,1,NA,NA,NA,NA,NA,2.5,383
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,485,303.5,4036,28.5,9.5,62.6,8.3,87.5,503,5.7,4.5,NA,NA,NA,NA,NA,2,373
"TOMBRADY","Tom Brady","QB","NE",6,6,639.5,398.5,4645.5,33,12.5,62.3,7.3,31,31.5,1,1.5,NA,NA,NA,NA,NA,3,354
"NICKFOLES","Nick Foles","QB","PHI",7,7,548.5,354,4528,31,13,64.5,8.3,55,205,3.7,1.5,NA,NA,NA,NA,NA,2.5,350
"MATTRYAN","Matt Ryan","QB","ATL",7,7,633.5,419,4801.5,31.5,14,66.1,7.6,28,59.5,2.1,1,NA,NA,NA,NA,NA,2,350
"ANDREWLUCK","Andrew Luck","QB","IND",9,9,581.5,358,4293,27,10.5,61.6,7.4,60.5,306.5,5.1,3.5,NA,NA,NA,NA,NA,3,341
"TONYROMO","Tony Romo","QB","DAL",10,10,616.5,396,4516.5,33,15.5,64.2,7.3,24,43.5,1.8,0.5,NA,NA,NA,NA,NA,2.5,340
