"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Adrian Peterson","RB","MIN",1,1.2,1,274.1675,291.7,284.7925,296.9,274.1675,286.031666666667,282.318250405691,160.755833333333,0.6,9.82509902409809,2.75099772673009,83.8,95,104
"Arian Foster","RB","HOU",2,2.75,2,261.73,276.15,271.325,325.925,261.73,283.199166666667,322.750846491812,148.318333333333,1.5,28.7271499050405,5.06469558466852,63.6,72,79
"Doug Martin","RB","TB",3,4.05,3,247.2375,242.15,256.95,255,247.2375,250.059375,241.232935045054,133.825833333333,2.45,6.88256685855649,2.61385889415583,58.9,67,73
"Aaron Rodgers","QB","GB",4,18.2,1,340.05,351.26,349.42,334.68,340.05,342.744166666667,331.801275582435,131.172,7.7,7.84138327507759,3.31449847469451,43.1,49,54
"C.J. Spiller","RB","BUF",5,7.45,4,238.7325,245.425,243.7175,252.45,238.7325,244.247916666667,233.769136906973,125.320833333333,3.5,5.67400743889772,2.59005344212167,55,62,69
"Ray Rice","RB","BAL",6,7.1,5,235.655,247.25,249.0575,238.2,235.655,242.065625,233.371749224542,122.243333333333,2.3,6.60557163026033,2.56462032268308,50.5,57,63
"Calvin Johnson","WR","DET",7,7.2,1,264.1625,285.75,272.9375,234.25,264.1625,264.083333333333,289.763166196837,119.7375,2.5,21.8916103602879,4.37654551740674,60.2,68,75
"Jamaal Charles","RB","KC",8,5.25,6,227.9925,245.15,259.7175,253.025,227.9925,245.72125,250.521606960356,114.580833333333,2.1,13.682405749112,3.37067815407814,53.7,61,67
"Alfred Morris","RB","WAS",9,12.85,7,226.5675,228.325,217.7425,229.3,226.5675,224.792083333333,215.266111907047,113.155833333333,4.15,5.28324178417003,2.61715578642421,43.3,49,54
"Marshawn Lynch","RB","SEA",10,6.6,8,222.945,242.525,249.5125,254.05,222.945,241.449791666667,246.208295148382,109.533333333333,3.05,13.7203291042586,3.48158881666878,54.1,61,67
"Trent Richardson","RB","CLE",11,10.6,9,219.88,237.85,244.7075,223.8,219.88,231.001041666667,232.461018530345,106.468333333333,3.3,11.6770552036533,3.27040495359539,43.9,50,55
"Drew Brees","QB","NO",12,21.7,2,314.88,319.5,333.618,327.68,314.88,322.752833333333,314.076482607921,106.002,8.55,8.35557305036583,3.46995734921807,36.3,41,45
"LeSean McCoy","RB","PHI",13,9.7,10,212.1375,220.125,241.12,223.625,212.1375,223.668541666667,226.021029426243,98.7258333333333,3.65,12.2299603731642,3.37435878283429,47.2,54,59
"Tom Brady","QB","NE",14,35,3,307.192,330.9,320.18,312.28,307.192,316.863,313.851695711891,98.314,10,10.3306903286599,3.86368935929576,30.2,34,38
"Matt Forte","RB","CHI",15,17.2,11,203.5675,196.3,223.9375,177.775,203.5675,199.895,214.512970084926,90.1558333333333,4.5,19.0853127430493,4.2721666458218,30.9,35,39
"Peyton Manning","QB","DEN",16,34,4,298.322,314.2,317.038,330.96,298.322,314.105,319.184370011096,89.444,11.3,13.3865993690207,4.36713658339491,24.2,28,30
"A.J. Green","WR","CIN",17,13.9,2,230.2625,236.575,237.8875,208.1,230.2625,228.689583333333,234.261827031153,85.8375,3.3,13.8112518289738,3.52025167844358,48.5,55,61
"Dez Bryant","WR","DAL",18,16.8,3,230.2175,241.925,235.9,219.5,230.2175,231.696458333333,229.377617607404,85.7925,3.9,9.54097487484901,3.08758257462724,45.7,52,57
"Jimmy Graham","TE","NO",19,19.65,1,199.2375,205.875,196.7875,197.75,199.2375,199.829166666667,189.996743663329,85.6833333333333,4.95,4.10077482516008,2.56838623892097,36.9,42,46
"Cam Newton","QB","CAR",20,39.5,5,290.37,316.92,337.35,283.52,290.37,305.873333333333,342.744166666667,81.492,10.8,24.8152493439014,5.64903157138278,29.5,34,37
"Matt Ryan","QB","ATL",21,51.15,6,289.23,307.48,298.218,266.72,289.23,289.270333333333,306.750426255734,80.352,11.1,17.4638507399333,4.82203842635278,12.6,15,16
"Colin Kaepernick","QB","SF",22,59.35,7,287.31,304.32,301.532,265.08,287.31,287.452166666667,306.978712192026,78.432,9.9,17.9398930041403,4.74327813909559,18.9,22,24
"Brandon Marshall","WR","CHI",23,16.55,4,222.6875,230.925,236.5,237.875,222.6875,231.805208333333,223.915396197916,78.2625,3.3,6.89550257263143,2.71063681865579,40.8,46,51
"Rob Gronkowski","TE","NE",24,39.25,2,191.7,200.25,178.8,170.875,191.7,185.15625,190.146305870049,78.1458333333333,13.2,13.0989563038434,4.54640478631949,16.4,19,21
"Steven Jackson","RB","ATL",25,19.55,12,190.2825,203.975,213.475,195.675,190.2825,200.601875,199.755969005708,76.8708333333334,7.7,10.1260212190755,3.58195710573139,27.2,31,34
"Chris Johnson","RB","TEN",26,22.05,13,188.195,186.3,207.2325,199.325,188.195,194.704791666667,193.922005820535,74.7833333333333,4.9,9.8329508488466,3.23383847893188,25.4,29,32
"Maurice Jones-Drew","RB","JAC",27,23.25,14,187.5825,182.2,211.92,199.675,187.5825,194.786041666667,198.877209418643,74.1708333333333,8.35,13.2479804081918,4.02028810025049,30.6,35,38
"Russell Wilson","QB","SEA",28,63.6,8,281.542,287.84,287.878,274.8,281.542,281.598333333333,270.344653462284,72.664,11.65,6.23392193299425,3.56901112237556,17.1,20,22
"Frank Gore","RB","SF",29,30.75,15,183.7,187.575,185.9825,177.45,183.7,183.151875,175.84748088188,70.2883333333333,7.55,4.44543931790399,2.90012994488794,20.2,23,25
"Julio Jones","WR","ATL",30,19.95,5,214.6125,219.775,228.2,215.9,214.6125,221.180208333333,211.233591035267,70.1875,3.6,6.1251902606504,2.65408011630798,39.3,45,49
"Demaryius Thomas","WR","DEN",31,23.1,6,214.425,216.125,226.5,145.75,214.425,200.308333333333,247.341274875184,70,3.65,37.0200339906201,6.27649002443749,34.2,39,43
"Reggie Bush","RB","DET",32,34.7,16,182.4575,176.55,204.17,220.375,182.4575,195.279791666667,208.392645553714,69.0458333333333,9.75,20.1869699491817,4.98952835169593,11.6,14,15
"Roddy White","WR","ATL",33,31.1,7,210.3375,209.25,215.55,164.5,210.3375,199.826041666667,222.884002593716,65.9125,4.8,23.7658442215399,4.85373084224726,29.3,33,37
"Stevan Ridley","RB","NE",34,25.25,17,176.705,189.325,197.8175,210.625,176.705,192.951458333333,197.788756804635,63.2933333333333,7.7,14.2753081366335,4.06770698205856,29.8,34,34
"Matthew Stafford","QB","DET",35,62.45,9,271.28,278.1,287.978,254.22,271.28,271.6195,280.194693357284,62.402,9.3,14.2121164621366,4.23962888898884,9.4,11,11
"Darren McFadden","RB","OAK",36,34.2,18,175.095,183.05,181.8575,215.775,175.095,188.444375,198.329206226097,61.6833333333334,7.9,18.2268582014519,4.5527231013796,20.8,24,24
"David Wilson","RB","NYG",37,38.1,19,174.6,176.075,182.6075,180.15,174.6,177.999791666667,169.89832197107,61.1883333333333,9.45,3.67895669936918,3.0233412256364,9.9,12,12
"Andre Johnson","WR","HOU",38,30.2,8,204.5125,212.5,216.8375,220.25,204.5125,213.358333333333,206.49289283295,60.0875,4.85,6.79396944601117,2.87246641880819,29.4,34,34
"Le'Veon Bell","RB","PIT",39,60.5,20,171.0825,143.525,160.0625,137.975,171.0825,152.719583333333,160.720166692205,57.6708333333333,17.2,15.190764258259,5.23958826113169,11,13,13
"Vincent Jackson","WR","TB",40,33.9,9,201.9875,208.75,204.1125,177.125,201.9875,197.827083333333,204.426139101819,57.5625,4.8,14.1961354042805,3.73342150552718,21.8,25,25
"Darren Sproles","RB","NO",41,46.7,21,169.4925,172.3,181.405,175.375,169.4925,174.559791666667,168.304359376408,56.0808333333333,8.4,5.10809054955959,3.07296894652796,5.3,6,6
"DeMarco Murray","RB","DAL",42,32.55,22,168.07,163.625,199.27,214.3,168.07,185.732916666667,202.755745106212,54.6583333333333,8.65,24.4861074131843,5.3695387158828,12.9,15,15
"Andrew Luck","QB","IND",43,69.05,10,261.838,277.34,291.26,324.6,261.838,287.0345,323.290238177711,52.96,12.4,26.7455048123356,6.05432290356202,8.4,10,10
"Larry Fitzgerald","WR","ARI",44,30.05,10,195.9625,199,211.0875,148.75,195.9625,188.675,215.495594924525,51.5375,7.15,27.4228406169018,5.54522484686507,34.4,39,39
"Tony Romo","QB","DAL",45,78.2,11,259.97,275.24,271.35,257.36,259.97,264.621666666667,259.983141980282,51.092,9.4,8.66042724119312,3.60090966724575,5.9,7,7
"Lamar Miller","RB","MIA",46,47.6,23,164.4075,148,188.575,194.675,164.4075,173.414375,186.668197515403,50.9958333333333,11.75,21.6631251953444,5.38648886446921,5.6,7,7
"Randall Cobb","WR","GB",47,31.25,11,194.8875,203.55,193.15,196.5,194.8875,200.946875,188.048430697082,50.4625,5.35,4.56200767891726,2.66721188695466,27.1,31,31
"Victor Cruz","WR","NYG",48,35.25,12,191.8625,178.375,203.0125,171.625,191.8625,185.96875,192.037938935435,47.4375,4.65,14.0045695667521,3.69418400576257,28.7,33,33
"Percy Harvin","WR","SEA",49,28.5,13,188.7175,208.425,175.375,147.45,188.7175,185.419375,203.019279825763,44.2925,5.35,25.59211006142,5.12916976897561,28.7,33,33
"Tony Gonzalez","TE","ATL",50,63.6,3,155.8375,155,155.2625,140.5,155.8375,151.65,150.050433927512,42.2833333333333,9.25,7.44155701673603,3.44140741143611,8.9,11,11
"Reggie Wayne","WR","IND",51,46.7,14,186,181.25,192.6375,203.75,186,190.767708333333,189.614768059783,41.575,7.6,9.75147090934662,3.52690166780274,14.5,17,17
"Jason Witten","TE","DAL",52,58.25,4,154.75,147,149.2875,136.75,154.75,146.946875,145.843664284032,41.1958333333333,10.15,7.53539132333772,3.55325973387769,9.4,11,11
"Vick Ballard","RB","IND",53,61.85,24,154.0075,147.125,157.0425,168.2,154.0075,156.152083333333,155.568317804941,40.5958333333333,9.95,8.77975571509063,3.67652037507806,3.6,5,5
"Chris Ivory","RB","NYJ",54,61.2,25,152.155,134.625,155.9075,186.45,152.155,156.809375,168.569106925857,38.7433333333333,23.7,21.5428814978212,6.71170575890008,4.7,6,6
"Robert Griffin III","QB","WAS",55,70.15,12,247.402,268.08,293.222,277.78,247.402,269.512666666667,287.819891155064,38.524,15.7,19.1801557518876,5.5385072859337,10.8,13,13
"Aaron Hernandez","TE","NE",56,50.85,5,151.8875,156,148.75,142.5,151.8875,149.617708333333,146.43992276872,38.3333333333333,9.8,5.69178295696231,3.29820550336285,14.5,17,17
"Marques Colston","WR","NO",57,42.15,15,182.3875,181.125,192.2875,125.625,182.3875,170.10625,198.64987093202,37.9625,6.15,30.2356379473517,5.76243940835961,16.7,19,19
"Ryan Mathews","RB","SD",58,55.25,26,150.745,152.75,151.1625,141.2,150.745,148.464375,145.2294913595,37.3333333333333,9.9,5.24782033125818,3.25743904103286,12,14,14
"Mike Wallace","WR","MIA",59,55.7,16,181.32,185.2,161.2625,156.125,181.32,171.374375,177.653422498089,36.895,8.45,14.4248026235774,4.16926412904127,9.4,11,11
"Jordy Nelson","WR","GB",60,42.65,17,178.3375,184.5,186.4125,162.75,178.3375,177.941666666667,179.08905291426,33.9125,6.25,10.7346256339008,3.49069694631936,16.7,19,19
"Montee Ball","RB","DEN",61,49,27,145.2125,169.95,164.3,157,145.2125,158.723958333333,159.611952748562,31.8008333333333,14.35,10.6776117755407,4.39182814742659,8.1,10,10
"Eddie Lacy","RB","GB",62,67.45,28,143.9425,155.325,150.805,165.925,143.9425,153.691041666667,153.217434597847,30.5308333333333,10.6,9.22537406084437,3.80153675445894,7,8,8
"Wes Welker","WR","DEN",63,46.4,18,172.7925,183.85,197.7875,165.625,172.7925,180.107916666667,184.879754792864,28.3675,7.3,14.0214785388941,3.99316167615647,14.8,17,17
"Dwayne Bowe","WR","KC",64,45.8,19,172.575,158.75,186.5375,146.875,172.575,165.992708333333,175.657842397709,28.15,9.45,17.1582019229629,4.60133325907178,13,15,15
"Torrey Smith","WR","BAL",65,58,20,171.595,162.65,170.5375,145.125,171.595,162.799375,166.186601309433,27.17,8.5,12.2369851568581,3.91874384358395,10.5,12,12
"Pierre Garcon","WR","WAS",66,61.05,21,169.85,148.925,184.425,171.625,169.85,168.83125,174.378956706496,25.425,8.35,14.6992541619181,4.19018622019162,5.4,7,7
"Eric Decker","WR","DEN",67,60.05,22,169.2375,158.375,182.8125,111.125,169.2375,155.245833333333,181.879262999587,24.8125,9.6,31.1557762835936,6.25681640921326,9.5,11,10
"Steve Smith","WR","CAR",68,65,23,166.295,167.925,180.7375,185.65,166.295,176.199375,173.930702047021,21.87,9.4,9.52333611341985,3.70192892339602,6.6,8,7
"Rashard Mendenhall","RB","ARI",69,76.5,29,133.9175,124.65,146.795,157.95,133.9175,140.269791666667,144.925615963278,20.5058333333333,15.6,14.5859597694438,4.98946519333619,3.7,5,4
"Vernon Davis","TE","SF",70,74.1,6,133.0875,134.125,148.2625,126.5,133.0875,135.24375,135.943681990092,19.5333333333333,10.65,9.15772954485262,3.79922146640735,5.1,6,6
"BenJarvus Green-Ellis","RB","CIN",71,70.8,30,132.7675,138.85,127.775,117.325,132.7675,128.787708333333,130.227769836099,19.3558333333333,9.45,9.10849611969507,3.65896805847277,5.1,6,6
"Antonio Brown","WR","PIT",72,63.15,24,163.6625,162.7,164.525,150.125,163.6625,160.661458333333,157.36646978408,19.2375,9.3,6.79310599523517,3.37109810565891,5.8,7,6
"Eli Manning","QB","NYG",73,93.85,13,227.75,219.58,249.458,231.44,227.75,230.865333333333,234.972177556052,18.872,11.1,12.6148228683561,4.25437108116186,3.3,4,4
"Dennis Pitta","TE","BAL",74,81.95,7,129.2375,123.75,141.8125,140.5,129.2375,133.8,133.744026239966,15.6833333333333,17.4,8.77318950933277,4.5107087892407,4.8,6,5
"Hakeem Nicks","WR","NYG",75,49,25,159.2875,146.5,176.925,157,159.2875,159.761458333333,163.141297208966,14.8625,6.9,12.625273821288,3.78488048160172,10.9,13,12
"Steve Johnson","WR","BUF",76,79.05,26,156.9125,156,169.65,162.75,156.9125,161.136458333333,157.436918156928,12.4875,10.3,6.30243318588147,3.42573066424798,3.8,5,4
"Greg Olsen","TE","CAR",77,108.5,8,125.3375,123.375,132.1875,110.25,125.3375,122.645833333333,124.042619945094,11.7833333333333,16.3,9.17235997440135,4.43415673076262,2.2,3,3
"Cecil Shorts","WR","JAC",78,84.65,27,155.8875,157.25,176.9375,115.5,155.8875,151.285416666667,169.539716123624,11.4625,9.95,25.7897518809959,5.66785134304518,4.1,5,5
"Jonathan Stewart","RB","CAR",79,82.45,31,123.87,114.4,144.93,161.6,123.87,135.758333333333,144.346349403534,10.4583333333333,9.7,21.2025297232822,5.10281444715217,3.1,4,4
"Mike Williams","WR","TB",80,98.85,28,152.375,149.25,162.0375,111.375,152.375,143.484375,157.726078890503,7.94999999999999,11.95,22.2651712673067,5.47938431760967,2.8,4,3
"James Jones","WR","GB",81,71.9,29,152.3,158,177.3125,89.5,152.3,144.136458333333,175.05251859783,7.875,13.15,38.0550182507183,7.46236425691064,6.2,7,7
"Danny Amendola","WR","NE",82,56.55,30,152.1125,138.35,167.7875,173.75,152.1125,157.958333333333,163.95035585452,7.68749999999997,12.35,15.9649909959261,4.78666297104181,11.4,13,12
