"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Aaron Rodgers","QB",345.036,3.58432357725437,53,"GB",1,20.1,1,351.26,351.02,334.68,345.036,344.624,344.624,121.28,7.85,7.76607348235473,42.2,48,58
"Drew Brees","QB",326.868,3.42003622533542,46,"NO",2,23.3,2,319.5,335.158,327.68,326.868,326.293166666667,321.47247443389,103.112,8.3,6.40102020514439,36.5,42,39
"Cam Newton","QB",310.062,4.73714403457764,36,"CAR",3,39.6,3,316.92,328.618,295.52,310.062,311.98,332.083968357753,86.306,9.6,13.8236146744137,28.8,33,23
"Peyton Manning","QB",309.644,4.01961276211582,31,"DEN",4,32.85,4,314.2,316.67,330.96,309.644,316.8935,321.148120540401,85.888,9.7,9.2000736772412,24.6,28,23
"Tom Brady","QB",295.654,5.80119575339494,34,"NE",5,47.5,5,330.9,291.728,312.28,295.654,306.857166666667,338.204641197676,71.898,13.35,17.8830752295758,26.7,31,13
"Colin Kaepernick","QB",294.896,3.6333066321911,23,"SF",6,65.3,6,304.32,296.932,297.08,294.896,296.948666666667,285.51018132097,71.14,13.35,4.13066758123509,18.1,21,13
"Matt Ryan","QB",291.134,5.51188029974633,17,"ATL",7,51.3,7,307.48,298.218,266.72,291.134,289.888,319.964214490305,67.378,11.4,17.4468345170884,13.4,16,7
"Adrian Peterson","RB",283.4625,2.50565307600699,92,"MIN",8,1.15,1,291.7,284.7925,296.9,283.4625,288.56375,283.170061499511,163.591666666667,0.4,6.26855130127101,74.1,84,85
"Andrew Luck","QB",281.586,6.28515565482415,11,"IND",9,70.3,8,277.34,288.97,324.6,281.586,291.915666666667,332.755585239363,57.83,12.55,21.5271486887295,8.4,10,1
"Russell Wilson","QB",281.344,3.83307019010259,21,"SEA",10,68.05,9,287.84,286.58,274.8,281.344,281.416,275.983385757127,57.588,12.6,5.93601471247055,16.7,19,1
"Robert Griffin III","QB",279.746,4.80643822533327,14,"WAS",11,67.55,10,268.08,296.222,283.78,279.746,280.548666666667,292.12306496085,55.99,13.3,11.6085199171413,11.3,13,1
"Matthew Stafford","QB",275.634,4.80761342418435,12,"DET",12,59.7,11,278.1,287.38,254.22,275.634,272.7585,291.015537663362,51.878,9.95,14.0195324101769,9.2,11,1
"Arian Foster","RB",270.7025,5.82423949275987,77,"HOU",13,2.85,2,276.15,271.325,325.925,270.7025,285.508958333333,338.545369280302,150.831666666667,1.25,26.7107633092448,61.9,70,77
"Calvin Johnson","WR",267.1675,4.33387652986008,75,"DET",14,7.65,1,285.75,270.8375,246.25,267.1675,267.399583333333,290.206130209881,116.890833333333,2.6,16.2877710389318,60,68,72
"Tony Romo","QB",266.076,4.70781350858804,9,"DAL",15,78.25,12,275.24,275.682,249.36,266.076,265.4645,278.095555363344,42.3199999999999,11.45,12.3102133612704,6.6,8,1
"Jamaal Charles","RB",251.545,2.88831872273427,69,"KC",16,4.3,3,245.15,264.0875,253.025,251.545,252.960208333333,252.376102068713,131.674166666667,1.55,7.87096017411473,55.2,63,61
"Doug Martin","RB",251.4875,2.79985203376749,73,"TB",17,3.5,4,242.15,259.6675,255,251.4875,251.82625,249.876396269022,131.616666666667,1.4,7.4173772599664,58.9,67,61
"C.J. Spiller","RB",240.745,2.54958751742137,68,"BUF",18,6.85,5,245.425,243.7175,252.45,240.745,244.867708333333,237.037529278417,120.874166666667,2.6,4.96880199134225,54.7,62,53
"Eli Manning","QB",239.166,4.82791760384839,4,"NYG",19,95.6,13,219.58,249.458,233.44,239.166,234.502666666667,245.724693613871,15.41,12.3,12.4622581688339,3.2,4,1
"A.J. Green","WR",238.26,2.8194490658897,60,"CIN",20,13.7,2,236.575,240.2875,226.1,238.26,235.893958333333,230.697701350976,87.9833333333333,3.1,6.32197898044328,48.2,55,48
"Marshawn Lynch","RB",237.0775,2.88329854440441,68,"SEA",21,6.6,6,242.525,245.3125,254.05,237.0775,244.132916666667,241.279205140277,117.206666666667,2.6,7.08575992748837,54.6,62,47
"Ray Rice","RB",234.675,2.56003216855345,63,"BAL",22,8.2,7,247.25,238,238.2,234.675,239.172916666667,232.209708746739,114.804166666667,2.1,5.39379948799236,50.2,57,47
"Trent Richardson","RB",232.88,3.13444177037988,55,"CLE",23,10.15,8,237.85,243.5075,223.8,232.88,234.092708333333,234.517742188691,113.009166666667,3.05,8.35606774919679,43.9,50,46
"Andy Dalton","QB",231.844,5.57738981944736,3,"CIN",24,118.15,14,204.94,236.87,237.24,231.844,226.8235,244.286051417688,8.08799999999997,14.85,15.3871009506881,1.9,3,1
"Brandon Marshall","WR",231.455,2.40516645297053,52,"CHI",25,16.8,3,230.925,236.5,237.875,231.455,234.132916666667,222.687494183446,81.1783333333333,3.35,3.51453025547748,41.5,47,44
"Dez Bryant","WR",230.5125,3.37524518950862,58,"DAL",26,16.15,4,241.925,235.9,219.5,230.5125,231.813541666667,234.663590560043,80.2358333333333,3.55,9.52490909296077,46.2,52,42
