"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"Adrian Peterson","RB","MIN",283.525,163.739166666667,9.17139162183761,0.35,6.24948610387284,2.54372486462939,74.5,93,81,80
"Arian Foster","RB","HOU",273.32,153.534166666667,10.7952191629096,1.3,26.2381182633206,5.84725048027954,61.9,77,81,76
"Doug Martin","RB","TB",253.155,133.369166666667,7.98514393119862,1.45,6.62621734098725,2.72163655908775,58.9,73,59,57
"Jamaal Charles","RB","KC",250.9625,131.176666666667,9.07394774707063,1.7,7.92321549309371,2.95612249807857,54.9,68,57,55
"C.J. Spiller","RB","BUF",243.54,123.754166666667,5.30330490805908,2.65,4.19816992619006,2.46093617384694,54.7,68,53,49
"Aaron Rodgers","QB","GB",345.126,119.716,10.2052204482106,8.2,7.42031506518872,3.57025196735029,42.3,53,57,46
"Marshawn Lynch","RB","SEA",239.0775,119.291666666667,5.08759633523238,2.75,6.40231680071103,2.82470765619196,54.4,68,48,46
"Ray Rice","RB","BAL",236.4975,116.711666666667,5.64544689764324,2.35,4.72404686153726,2.51311420632579,50.2,63,46,44
"Calvin Johnson","WR","DET",265.975,114.888333333333,10.5448149843663,2.65,16.3068185348696,4.40062973704781,60,75,71,71
"Trent Richardson","RB","CLE",232.4375,112.651666666667,8.67060073804555,3.35,8.38769845766208,3.20687262458225,43.9,55,42,40
"LeSean McCoy","RB","PHI",229.0325,109.246666666667,6.54391184556479,2.75,9.19151474073597,3.27151138017495,48.7,61,42,38
"Alfred Morris","RB","WAS",221.9575,102.171666666667,3.04452243772342,4.4,5.46762688467311,2.85132322251261,44.7,56,38,32
"Drew Brees","QB","NO",326.212,100.802,7.91425227874244,8.5,5.79902989013392,3.34259966186999,36.4,46,39,29
"Matt Forte","RB","CHI",214.2675,94.4816666666667,10.1543240888671,4.5,12.9734357398429,4.06437194053197,30.1,34,29,27
"Peyton Manning","QB","DEN",312.924,87.514,9.30437701390256,9.45,8.29972085875983,3.84471877397706,24.5,31,24,20
"Jimmy Graham","TE","NO",200.9,86.2375,9.57567768899357,5.55,5.4823426315004,2.97658714738637,37.8,43,31,32
"Cam Newton","QB","CAR",310.854,85.444,8.88086360986736,10,13.7259109715895,4.77272568173777,29,36,24,20
"Steven Jackson","RB","ATL",205.0675,85.2816666666667,7.96450336355155,5.5,7.28056012468591,3.25930120021263,28.8,33,22,18
"A.J. Green","WR","CIN",236.0775,84.9908333333333,7.54380286750151,2.95,5.42730404221716,2.68989468680033,48.1,60,48,46
"Maurice Jones-Drew","RB","JAC",201.37,81.5841666666667,8.150467911624,7.2,11.7374936102219,4.15494875529309,30.5,35,20,16
"Dez Bryant","WR","DAL",231.9425,80.8558333333333,8.40380050406115,3.45,9.47922803093691,3.39241310136434,46.2,58,42,42
"Brandon Marshall","WR","CHI",231.475,80.3883333333333,8.46611040118692,3.3,3.50935505708194,2.42006334673121,41.4,52,42,42
