"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Aaron Rodgers","QB","GB",1,549.9,369.6,4476.4,38.1,9.8,273,2.6,NA,NA,NA,NA,3.9,346.8
"Drew Brees","QB","NO",2,659,438.2,5086.5,41,16.7,38.8,1,NA,NA,NA,NA,3.1,337.8
"Peyton Manning","QB","DEN",3,601.4,408.3,4844.8,38.7,12.2,16.8,0.2,NA,NA,NA,NA,2.7,321.4
"Cam Newton","QB","CAR",4,502.8,302.5,3921.2,21.3,13.1,709.1,6.9,NA,NA,NA,NA,3.9,320.8
"Tom Brady","QB","NE",5,591,386,4544,32.4,11.2,55.8,2.3,NA,NA,NA,NA,2.3,303.8
"Matt Ryan","QB","ATL",6,610.8,404.8,4763.8,32.3,13.1,99.4,0.8,NA,NA,NA,NA,3.5,301.1
"Colin Kaepernick","QB","SF",7,479,304.7,3730.6,21.4,11.7,669.7,5.4,NA,NA,NA,NA,6.1,298.7
"Andrew Luck","QB","IND",8,585.1,366.5,4425.8,27.2,13.8,270.1,2.9,NA,NA,NA,NA,4.7,292.8
"Matthew Stafford","QB","DET",9,679,419.6,4891.3,29,15.7,94,1.4,NA,NA,NA,NA,3,292.4
"Robert Griffin III","QB","WAS",10,437.4,286.4,3438.5,22.9,9.1,585.9,5.2,NA,NA,NA,NA,6,288.8
"Russell Wilson","QB","SEA",11,458.1,294.7,3505.9,25.3,10.9,484.8,4,NA,NA,NA,NA,3.7,284.8
"Tony Romo","QB","DAL",12,614.4,401.3,4760.1,28.9,15.1,49.1,0.8,NA,NA,NA,NA,3.6,278.5
"Adrian Peterson","RB","MIN",13,NA,NA,NA,NA,NA,1653,12.9,39.1,280.1,1.4,NA,2.4,274.5
"Arian Foster","RB","HOU",14,NA,NA,NA,NA,NA,1346.8,13.3,43.8,371.9,1.9,NA,2.2,258.7
"Eli Manning","QB","NYG",15,558.4,347.1,4201.4,28.5,14.4,35,0.5,NA,NA,NA,NA,3.5,252.8
"Doug Martin","RB","TB",16,NA,NA,NA,NA,NA,1355.4,9.6,53.6,441.6,1.4,NA,1.2,243.3
"Andy Dalton","QB","CIN",17,542.9,330.1,3855.7,26,16.3,150.5,1,NA,NA,NA,NA,3.5,239.6
"Josh Freeman","QB","TB",18,552.4,324.5,3945,25.5,16.3,175.2,0.6,NA,NA,NA,NA,4.7,238.8
"Jamaal Charles","RB","KC",19,NA,NA,NA,NA,NA,1418.3,6.6,57.5,468.6,2.1,NA,2.3,236.4
"C.J. Spiller","RB","BUF",20,NA,NA,NA,NA,NA,1378.5,7.4,47.1,415.9,2.4,NA,2.7,232.7
