"name","pos","team","rank","risk"
"J.J. Watt","DE","HOU",2,2.2
"Luke Kuechly","LB","CAR",2,0.6
"James Laurinaitis","LB","STL",3.3,0.7
"Derrick Johnson","LB","KC",6,5.4
"Lavonte David","LB","TB",6.5,1.6
"Paul Posluszny","LB","JAC",8,4.6
"Navorro Bowman","LB","SF",8.8,4.5
"Chad Greenway","LB","MIN",8.8,2.3
"Bobby Wagner","LB","SEA",11,3.9
"Jerod Mayo","LB","NE",12.2,8.5
"Patrick Willis","LB","SF",13.7,6.6
"D'Qwell Jackson","LB","CLE",14.5,6.2
"Von Miller","LB","DEN",15.5,12
"Lawrence Timmons","LB","PIT",17.7,2.9
"London Fletcher","LB","WAS",18.3,7.3
"Daryl Washington","LB","ARI",18.7,11.4
"Charles Tillman","CB","CHI",23.5,14.3
"Jared Allen","DE","MIN",27.3,10.9
"Karlos Dansby","LB","ARI",28,9.1
"Aldon Smith","LB","SF",19,1.9
"Wesley Woodyard","LB","DEN",19.4,2.2
"Sean Lee","LB","DAL",29.8,9.8
"Russell Allen","LB","JAC",21.4,1.7
"Morgan Burnett","S","GB",31,18.1
"Curtis Lofton","LB","NO",24.8,2.3
"Lance Briggs","LB","CHI",26.4,2.4
"Jason Pierre-Paul","DE","NYG",34.8,20.3
"Desmond Bishop","LB","GB",35,13.4
"Jerrell Freeman","LB","IND",29.2,17.6
"Roman Harper","S","NO",37.7,17
"Harrison Smith","S","MIN",39.2,19.1
"Stephen Tulloch","LB","DET",39,14.9
"Zach Brown","LB","TEN",31.6,12.1
"Jo-Lonn Dunbar","LB","STL",25.8,6.9
"Anthony Spencer","DE","DAL",41.4,28.4
"Sean Weatherspoon","LB","ATL",45.2,14.5
"Perry Riley","LB","WAS",39.2,8.9
"Demarcus Ware","DE","DAL",39.4,13.9
"Eric Weddle","S","SD",39.4,19
"DeMeco Ryans","LB","PHI",39.4,14.3
"Cameron Wake","DE","MIA",46.3,21.9
"Brian Cushing","LB","HOU",40.4,16.9
"David Harris","LB","NYJ",41.4,3.3
"Colin McCarthy","LB","TEN",41.6,14.6
"Janoris Jenkins","CB","STL",37,3.8
"Antoine Winfield","CB","SEA",38.8,4
"LaRon Landry","S","IND",52.3,13.8
"Mario Williams","DE","BUF",47.4,9.4
"Charles Johnson","DE","CAR",48.6,13
"Cortland Finnegan","CB","STL",49.6,14.7
"Akeem Ayers","LB","TEN",42.5,5.2
"Vontaze Burfict","LB","CIN",49.6,6.2
"Reshad Jones","S","MIA",44,5.6
"Geno Atkins","DT","CIN",52.8,17.1
"Philip Wheeler","LB","MIA",47,3.5
"Mason Foster","LB","TB",53.4,8.5
"Richard Sherman","CB","SEA",48.8,3.8
"Ronde Barber","S)",NA,42,7.9
"Greg Hardy","DE","CAR",55.8,18.3
"Arthur Brown","LB","BAL",50.8,19.2
"Jason McCourty","CB","TEN",61.5,12.6
"Kevin Burnett","LB","OAK",57.8,8.1
"Larry Foote","LB","PIT",54.8,4.8
"Julius Peppers","DE","CHI",59.2,10
"A.J. Hawk","LB","GB",57.5,5.1
"Nick Barnett","LB",NA,59,4.6
"Deangelo Hall","CB","WAS",60.5,5.1
"Stevie Brown","S","NYG",61.8,20.2
"Dannell Ellerbe","LB","MIA",61.8,11.3
"D.J. Williams","LB","CHI",49,2
"Justin Smith","DE","SF",49.5,16.5
"Justin Houston","LB","KC",65.6,7.2
"Donald Butler","LB","SD",59.3,10.1
"Ryan Clark","S","PIT",63.8,5
"Manti Te'o","LB","SD",52,4
"Tim Jennings","CB","CHI",65.5,5.7
"Mark Barron","S","TB",67.8,19
"Eric Berry","S","KC",71.3,15
"Bernard Pollard","S","TEN",68,17.6
"Cary Williams","CB","PHI",66.5,5.7
"Glover Quin","S","DET",67.8,5.9
"Rob Ninkovich","DE","NE",68,11
"Chase Blackburn","LB","CAR",68,5.9
"Johnathan Cyprien","S","JAC",72,15
"Michael Boley","LB",NA,67,2
"Justin Durant","LB","DAL",68,2
"Quintin Mikell","S)",NA,76.3,9.9
"Paris Lenon","LB",NA,73,3
"Stephen Nicholas","LB","ATL",81.7,9
"Thomas DeCoud","S","ATL",78,3
"Antoine Bethea","S","IND",81,3
