"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent"
"Aaron Rodgers","QB","GB",1,345.036,351.26,351.02,334.68,345.036,344.624,344.624
"Drew Brees","QB","NO",2,326.868,319.5,335.158,327.68,326.868,326.293166666667,321.47247443389
"Cam Newton","QB","CAR",3,310.062,316.92,328.618,295.52,310.062,311.98,332.083968357753
"Peyton Manning","QB","DEN",4,309.644,314.2,316.67,330.96,309.644,316.8935,321.148120540401
"Tom Brady","QB","NE",5,295.654,330.9,291.728,312.28,295.654,306.857166666667,338.204641197676
"Colin Kaepernick","QB","SF",6,294.896,304.32,296.932,297.08,294.896,296.948666666667,285.51018132097
"Matt Ryan","QB","ATL",7,291.134,307.48,298.218,266.72,291.134,289.888,319.964214490305
"Adrian Peterson","RB","MIN",8,283.4625,291.7,284.7925,296.9,283.4625,288.56375,283.170061499511
"Andrew Luck","QB","IND",9,281.586,277.34,288.97,324.6,281.586,291.915666666667,332.755585239363
"Russell Wilson","QB","SEA",10,281.344,287.84,286.58,274.8,281.344,281.416,275.983385757127
"Robert Griffin III","QB","WAS",11,279.746,268.08,296.222,283.78,279.746,280.548666666667,292.12306496085
"Matthew Stafford","QB","DET",12,275.634,278.1,287.38,254.22,275.634,272.7585,291.015537663362
"Arian Foster","RB","HOU",13,270.7025,276.15,271.325,325.925,270.7025,285.508958333333,338.545369280302
"Calvin Johnson","WR","DET",14,267.1675,285.75,270.8375,246.25,267.1675,267.399583333333,290.206130209881
"Tony Romo","QB","DAL",15,266.076,275.24,275.682,249.36,266.076,265.4645,278.095555363344
"Jamaal Charles","RB","KC",16,251.545,245.15,264.0875,253.025,251.545,252.960208333333,252.376102068713
"Doug Martin","RB","TB",17,251.4875,242.15,259.6675,255,251.4875,251.82625,249.876396269022
"C.J. Spiller","RB","BUF",18,240.745,245.425,243.7175,252.45,240.745,244.867708333333,237.037529278417
"Eli Manning","QB","NYG",19,239.166,219.58,249.458,233.44,239.166,234.502666666667,245.724693613871
"A.J. Green","WR","CIN",20,238.26,236.575,240.2875,226.1,238.26,235.893958333333,230.697701350976
"Marshawn Lynch","RB","SEA",21,237.0775,242.525,245.3125,254.05,237.0775,244.132916666667,241.279205140277
"Ray Rice","RB","BAL",22,234.675,247.25,238,238.2,234.675,239.172916666667,232.209708746739
"Trent Richardson","RB","CLE",23,232.88,237.85,243.5075,223.8,232.88,234.092708333333,234.517742188691
"Andy Dalton","QB","CIN",24,231.844,204.94,236.87,237.24,231.844,226.8235,244.286051417688
"Brandon Marshall","WR","CHI",25,231.455,230.925,236.5,237.875,231.455,234.132916666667,222.687494183446
"Dez Bryant","WR","DAL",26,230.5125,241.925,235.9,219.5,230.5125,231.813541666667,234.663590560043
"Josh Freeman","QB","TB",27,226.716,210.74,234.55,242.52,226.716,227.689833333333,240.341525901529
"Ben Roethlisberger","QB","PIT",28,226.662,220.1,241.93,219.82,226.662,226.144666666667,231.724423815564
"LeSean McCoy","RB","PHI",29,226.5025,220.125,241.12,223.625,226.5025,227.418125,229.783184827757
"Julio Jones","WR","ATL",30,225.745,219.775,228.2,215.9,225.745,224.073333333333,216.366864996365
"Michael Vick","QB","PHI",31,222.694,193.74,245.102,234.1,222.694,222.867333333333,254.517859663726
"Joe Flacco","QB","BAL",32,221.912,215.38,231.018,214.2,221.912,219.385833333333,219.23599378143
"Philip Rivers","QB","SD",33,219.36,211.06,221.162,222,219.36,217.312166666667,211.050052943112
