"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts","pick","sdPts","sdPick","risk"
"Aaron Rodgers","QB","GB",1,345.036,351.26,351.02,334.68,345.036,344.624,344.624,331.58,24.35,7.76607348235473,7.05,3.19560670241475
"Drew Brees","QB","NO",2,326.868,319.5,335.158,327.68,326.868,326.293166666667,321.47247443389,326.58,22.35,6.40102020514439,7.3,2.98813023630087
"Cam Newton","QB","CAR",3,310.062,316.92,328.618,295.52,310.062,311.98,332.083968357753,308.61,43.5,13.8236146744137,10,4.53800348689274
"Peyton Manning","QB","DEN",4,309.644,314.2,316.67,330.96,309.644,316.8935,321.148120540401,298.06,34.85,9.2000736772412,7.95,3.53433966754919
"Tom Brady","QB","NE",5,295.654,330.9,291.728,312.28,295.654,306.857166666667,338.204641197676,334.28,44.85,17.8830752295758,10,5.23223992851169
"Colin Kaepernick","QB","SF",6,294.896,304.32,296.932,297.08,294.896,296.948666666667,285.51018132097,169.06,65.2,4.13066758123509,13.25,3.21796516338868
"Matt Ryan","QB","ATL",7,291.134,307.48,298.218,266.72,291.134,289.888,319.964214490305,290.56,52.4,17.4468345170884,11.2,5.2822949431626
"Adrian Peterson","RB","MIN",8,283.4625,291.7,284.7925,296.9,283.4625,288.56375,283.170061499511,312.83,1.15,6.26855130127101,0.5,2.25907165178935
"Andrew Luck","QB","IND",9,281.586,277.34,288.97,324.6,281.586,291.915666666667,332.755585239363,256.46,70.55,21.5271486887295,13.15,6.18266948738151
"Russell Wilson","QB","SEA",10,281.344,287.84,286.58,274.8,281.344,281.416,275.983385757127,263.62,77,5.93601471247055,12.6,3.4591861424644
"Robert Griffin III","QB","WAS",11,279.746,268.08,296.222,283.78,279.746,280.548666666667,292.12306496085,312.6,68.15,11.6085199171413,11.55,4.32020339908172
"Matthew Stafford","QB","DET",12,275.634,278.1,287.38,254.22,275.634,272.7585,291.015537663362,256.66,60.05,14.0195324101769,11.35,4.71175073712913
"Arian Foster","RB","HOU",13,270.7025,276.15,271.325,325.925,270.7025,285.508958333333,338.545369280302,266.53,6.8,26.7107633092448,3.25,6.04071394363591
"Calvin Johnson","WR","DET",14,267.1675,285.75,270.8375,246.25,267.1675,267.399583333333,290.206130209881,268.5,8.6,16.2877710389318,2.75,4.20626442441382
"Tony Romo","QB","DAL",15,266.076,275.24,275.682,249.36,266.076,265.4645,278.095555363344,256.9,75.55,12.3102133612704,11.7,4.45578729550507
"Jamaal Charles","RB","KC",16,251.545,245.15,264.0875,253.025,251.545,252.960208333333,252.376102068713,208.4,4.75,7.87096017411473,1.95,2.68374098098792
"Doug Martin","RB","TB",17,251.4875,242.15,259.6675,255,251.4875,251.82625,249.876396269022,274.4,2.8,7.4173772599664,1.35,2.54384084910456
"C.J. Spiller","RB","BUF",18,240.745,245.425,243.7175,252.45,240.745,244.867708333333,237.037529278417,220.78,4.65,4.96880199134225,2.55,2.2497526056512
"Eli Manning","QB","NYG",19,239.166,219.58,249.458,233.44,239.166,234.502666666667,245.724693613871,216.92,101,12.4622581688339,12.95,4.61164323620398
"A.J. Green","WR","CIN",20,238.26,236.575,240.2875,226.1,238.26,235.893958333333,230.697701350976,237.55,16.05,6.32197898044328,3.25,2.55388684209796
