"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk"
"Adrian Peterson","RB","MIN",1,1.15,1,274.1675,291.7,284.7925,296.9,274.1675,286.031666666667,282.318250405691,160.755833333333,0.4,9.82509902409809,2.71378008904559
"Arian Foster","RB","HOU",2,2.75,2,261.73,276.15,271.325,325.925,261.73,283.199166666667,322.750846491812,148.318333333333,1.5,28.7271499050405,5.05680572868351
"Doug Martin","RB","TB",3,3.65,3,247.2375,242.15,256.95,255,247.2375,250.059375,241.232935045054,133.825833333333,1.4,6.88256685855649,2.47757837407809
"Aaron Rodgers","QB","GB",4,17.55,1,340.05,351.26,349.42,334.68,340.05,342.744166666667,331.801275582435,131.172,7.6,7.84138327507759,3.27075412519306
"C.J. Spiller","RB","BUF",5,7.35,4,238.7325,245.425,243.7175,252.45,238.7325,244.247916666667,233.769136906973,125.320833333333,3.5,5.67400743889772,2.56596333606582
"Ray Rice","RB","BAL",6,7.65,5,235.655,247.25,249.0575,238.2,235.655,242.065625,233.371749224542,122.243333333333,2.4,6.60557163026033,2.55476197622531
"Calvin Johnson","WR","DET",7,7.45,1,264.1625,285.75,272.9375,234.25,264.1625,264.083333333333,289.763166196837,119.7375,2.4,21.8916103602879,4.35193087975893
"Jamaal Charles","RB","KC",8,5.1,6,227.9925,245.15,259.7175,253.025,227.9925,245.72125,250.521606960356,114.580833333333,2.1,13.682405749112,3.35385550247231
"Alfred Morris","RB","WAS",9,13.2,7,226.5675,228.325,217.7425,229.3,226.5675,224.792083333333,215.266111907047,113.155833333333,4.1,5.28324178417003,2.58587113347553
"Marshawn Lynch","RB","SEA",10,6.85,8,222.945,242.525,249.5125,254.05,222.945,241.449791666667,246.208295148382,109.533333333333,3.05,13.7203291042586,3.46257637576605
"Trent Richardson","RB","CLE",11,10.7,9,219.88,237.85,244.7075,223.8,219.88,231.001041666667,232.461018530345,106.468333333333,3.15,11.6770552036533,3.23332506329624
"Drew Brees","QB","NO",12,21.15,2,314.88,319.5,333.618,327.68,314.88,322.752833333333,314.076482607921,106.002,7.55,8.35557305036583,3.32571957126962
"LeSean McCoy","RB","PHI",13,9.55,10,212.1375,220.125,241.12,223.625,212.1375,223.668541666667,226.021029426243,98.7258333333333,3.8,12.2299603731642,3.36966706770038
"Tom Brady","QB","NE",14,35.15,3,307.192,330.9,320.18,312.28,307.192,316.863,313.851695711891,98.314,10.8,10.3306903286599,3.91461937882508
"Matt Forte","RB","CHI",15,17.55,11,203.5675,196.3,223.9375,177.775,203.5675,199.895,214.512970084926,90.1558333333333,4.8,19.0853127430493,4.28539579844685
"Peyton Manning","QB","DEN",16,35.15,4,298.322,314.2,317.038,330.96,298.322,314.105,319.184370011096,89.444,12.9,13.3865993690207,4.50437492097444
"A.J. Green","WR","CIN",17,14,2,230.2625,236.575,237.8875,208.1,230.2625,228.689583333333,234.261827031153,85.8375,3.25,13.8112518289738,3.49521604460294
"Dez Bryant","WR","DAL",18,16.5,3,230.2175,241.925,235.9,219.5,230.2175,231.696458333333,229.377617607404,85.7925,4.25,9.54097487484901,3.10291230163369
"Jimmy Graham","TE","NO",19,19.75,1,199.2375,205.875,196.7875,197.75,199.2375,199.829166666667,189.996743663329,85.6833333333333,4.9,4.10077482516008,2.53464910872184
"Cam Newton","QB","CAR",20,38.85,5,290.37,316.92,337.35,283.52,290.37,305.873333333333,342.744166666667,81.492,10.25,24.8152493439014,5.55719651595546
"Matt Ryan","QB","ATL",21,52.35,6,289.23,307.48,298.218,266.72,289.23,289.270333333333,306.750426255734,80.352,10.5,17.4638507399333,4.72033514795523
"Colin Kaepernick","QB","SF",22,59.45,7,287.31,304.32,301.532,265.08,287.31,287.452166666667,306.978712192026,78.432,9.95,17.9398930041403,4.71594074888674
"Brandon Marshall","WR","CHI",23,16.35,4,222.6875,230.925,236.5,237.875,222.6875,231.805208333333,223.915396197916,78.2625,3.3,6.89550257263143,2.68762371875328
"Rob Gronkowski","TE","NE",24,40.8,2,191.7,200.25,178.8,170.875,191.7,185.15625,190.146305870049,78.1458333333333,13.2,13.0989563038434,4.50348184791903
"Steven Jackson","RB","ATL",25,19.45,12,190.2825,203.975,213.475,195.675,190.2825,200.601875,199.755969005708,76.8708333333334,7.45,10.1260212190755,3.52289495287818
"Chris Johnson","RB","TEN",26,21.5,13,188.195,186.3,207.2325,199.325,188.195,194.704791666667,193.922005820535,74.7833333333333,5.15,9.8329508488466,3.23601447710251
"Maurice Jones-Drew","RB","JAC",27,24.45,14,187.5825,182.2,211.92,199.675,187.5825,194.786041666667,198.877209418643,74.1708333333333,8.1,13.2479804081918,3.96127884511708
"Russell Wilson","QB","SEA",28,65.35,8,281.542,287.84,287.878,274.8,281.542,281.598333333333,270.344653462284,72.664,13.65,6.23392193299425,3.74575193087278
"Frank Gore","RB","SF",29,31.55,15,183.7,187.575,185.9825,177.45,183.7,183.151875,175.84748088188,70.2883333333333,7.7,4.44543931790399,2.88247033836283
"Julio Jones","WR","ATL",30,19.75,5,214.6125,219.775,228.2,215.9,214.6125,221.180208333333,211.233591035267,70.1875,3.65,6.1251902606504,2.63547104615328
"Demaryius Thomas","WR","DEN",31,23.25,6,214.425,216.125,226.5,145.75,214.425,200.308333333333,247.341274875184,70,3.8,37.0200339906201,6.28421871894562
"Reggie Bush","RB","DET",32,34.4,16,182.4575,176.55,204.17,220.375,182.4575,195.279791666667,208.392645553714,69.0458333333333,9.25,20.1869699491817,4.90330320035844
"Roddy White","WR","ATL",33,31.1,7,210.3375,209.25,215.55,164.5,210.3375,199.826041666667,222.884002593716,65.9125,4.7,23.7658442215399,4.82470764349095
"Stevan Ridley","RB","NE",34,25.7,17,176.705,189.325,197.8175,210.625,176.705,192.951458333333,197.788756804635,63.2933333333333,7.75,14.2753081366335,4.04364864082854
"Matthew Stafford","QB","DET",35,61.55,9,271.28,278.1,287.978,254.22,271.28,271.6195,280.194693357284,62.402,8.7,14.2121164621366,4.14048149066737
"Darren McFadden","RB","OAK",36,33.95,18,175.095,183.05,181.8575,215.775,175.095,188.444375,198.329206226097,61.6833333333334,8.1,18.2268582014519,4.54664203191603
"David Wilson","RB","NYG",37,38,19,174.6,176.075,182.6075,180.15,174.6,177.999791666667,169.89832197107,61.1883333333333,9.55,3.67895669936918,2.99539252683293
"Andre Johnson","WR","HOU",38,30,8,204.5125,212.5,216.8375,220.25,204.5125,213.358333333333,206.49289283295,60.0875,4.9,6.79396944601117,2.85128612039248
"Le'Veon Bell","RB","PIT",39,58,20,171.0825,143.525,160.0625,137.975,171.0825,152.719583333333,160.720166692205,57.6708333333333,16.8,15.190764258259,5.14451330504016
"Vincent Jackson","WR","TB",40,34.05,9,201.9875,208.75,204.1125,177.125,201.9875,197.827083333333,204.426139101819,57.5625,5,14.1961354042805,3.73252857902774
"Darren Sproles","RB","NO",41,47.3,21,169.4925,172.3,181.405,175.375,169.4925,174.559791666667,168.304359376408,56.0808333333333,8.75,5.10809054955959,3.07561500580437
"DeMarco Murray","RB","DAL",42,32.8,22,168.07,163.625,199.27,214.3,168.07,185.732916666667,202.755745106212,54.6583333333333,8.6,24.4861074131843,5.33741246155528
"Andrew Luck","QB","IND",43,67.95,10,261.838,277.34,291.26,324.6,261.838,287.0345,323.290238177711,52.96,11.65,26.7455048123356,5.93778493692882
"Larry Fitzgerald","WR","ARI",44,29.45,10,195.9625,199,211.0875,148.75,195.9625,188.675,215.495594924525,51.5375,6.5,27.4228406169018,5.45220768506003
"Tony Romo","QB","DAL",45,78.25,11,259.97,275.24,271.35,257.36,259.97,264.621666666667,259.983141980282,51.092,9.45,8.66042724119312,3.57008556749175
"Lamar Miller","RB","MIA",46,45.6,23,164.4075,148,188.575,194.675,164.4075,173.414375,186.668197515403,50.9958333333333,10.95,21.6631251953444,5.2634282965072
"Randall Cobb","WR","GB",47,31.4,11,194.8875,203.55,193.15,196.5,194.8875,200.946875,188.048430697082,50.4625,5.4,4.56200767891726,2.64375080228341
"Victor Cruz","WR","NYG",48,35.55,12,191.8625,178.375,203.0125,171.625,191.8625,185.96875,192.037938935435,47.4375,4.4,14.0045695667521,3.64415647455232
"Percy Harvin","WR","SEA",49,28.55,13,188.7175,208.425,175.375,147.45,188.7175,185.419375,203.019279825763,44.2925,5,25.59211006142,5.07234536485314
"Tony Gonzalez","TE","ATL",50,63.35,3,155.8375,155,155.2625,140.5,155.8375,151.65,150.050433927512,42.2833333333333,9.45,7.44155701673603,3.42678384599773
"Reggie Wayne","WR","IND",51,46.45,14,186,181.25,192.6375,203.75,186,190.767708333333,189.614768059783,41.575,7.05,9.75147090934662,3.43495943929089
"Jason Witten","TE","DAL",52,57.85,4,154.75,147,149.2875,136.75,154.75,146.946875,145.843664284032,41.1958333333333,10.4,7.53539132333772,3.54207813082709
"Vick Ballard","RB","IND",53,66.6,24,154.0075,147.125,157.0425,168.2,154.0075,156.152083333333,155.568317804941,40.5958333333333,12.5,8.77975571509063,3.91885163313342
"Chris Ivory","RB","NYJ",54,59.8,25,152.155,134.625,155.9075,186.45,152.155,156.809375,168.569106925857,38.7433333333333,13.3,21.5428814978212,5.50720321272809
"Robert Griffin III","QB","WAS",55,68.5,12,247.402,268.08,293.222,277.78,247.402,269.512666666667,287.819891155064,38.524,15.1,19.1801557518876,5.42696872402953
"Aaron Hernandez","TE","NE",56,50.1,5,151.8875,156,148.75,142.5,151.8875,149.617708333333,146.43992276872,38.3333333333333,11.1,5.69178295696231,3.40215119852016
"Marques Colston","WR","NO",57,41.25,15,182.3875,181.125,192.2875,125.625,182.3875,170.10625,198.64987093202,37.9625,5.6,30.2356379473517,5.68413153980225
"Ryan Mathews","RB","SD",58,55.5,26,150.745,152.75,151.1625,141.2,150.745,148.464375,145.2294913595,37.3333333333333,9.9,5.24782033125818,3.21825513716291
