"name","team","rank","risk"
"Stephen Gostkowski","NE",2.2,1.5
"Matt Bryant","ATL",2.8,1.5
"Matt Prater","DEN",4.2,2.1
"Blair Walsh","MIN",4.5,3.3
"Justin Tucker","BAL",5.6,1.9
"Phil Dawson","SF",6.7,3.9
"Dan Bailey","DAL",9.4,3
"Sebastian Janikowski","OAK",10,5.2
"Garrett Hartley","NO",10.1,3.4
"Randy Bullock","HOU",10.8,5.1
"Greg Zuerlein","STL",12.5,4.8
"David Akers","DET",12.6,3.4
"Kai Forbath","WAS",13.8,5
"Connor Barth","TB",14.2,3
"Steven Hauschka","SEA",14.3,3.9
"Mason Crosby","GB",14.7,4.4
"Josh Brown","NYG",15.1,5.5
"Adam Vinatieri","IND",16.6,2.8
"Jason Hanson",NA,17,13
"Alex Henery","PHI",17.6,4.9
"Lawrence Tynes",NA,17.9,12.3
"Shayne Graham","CLE",18,6.3
"Mike Nugent","CIN",18.2,5.2
"Robbie Gould","CHI",18.4,4.4
"Shaun Suisham","PIT",21,3.7
"Nick Novak","SD",21.9,3.3
"Rob Bironas","TEN",22.7,3.5
"Ryan Succop","KC",22.8,6.6
"Graham Gano","CAR",25.3,3.8
"Caleb Sturgis","MIA",25.4,5.8
"Dan Carpenter","MIA",27.7,4.3
"Dustin Hopkins","BUF",27.7,4.1
"Jay Feely","ARI",27.7,2.2
"Josh Scobee","JAC",28.6,3.7
"Rian Lindell","BUF",29.3,3.6
"Nick Folk","NYJ",30.4,1.9
"Havard Rugland","DET",34.8,1.1
"Billy Cundiff",NA,36,2
