"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"A.J. Green","WR","CIN",20,238.26,236.575,240.2875,226.1,238.26,235.893958333333,230.697701350976,237.55
"A.J. Jenkins","WR","SF",186,78.9925,85.625,75.8375,67.875,78.9925,77.1391666666667,75.0714163714243,NA
"Aaron Dobson","WR","NE",177,85.0875,80.75,98,70.375,85.0875,83.5739583333333,83.4750301796094,NA
"Aaron Hernandez","TE",NA,595,1.25,NA,NA,NA,1.25,1.25,2.45533679220677,91.88
"Aaron Mellette","WR","BAL",423,14.675,NA,NA,NA,14.675,14.675,2.24982654946615,NA
"Aaron Rodgers","QB","GB",1,345.036,351.26,351.02,334.68,345.036,344.624,344.624,331.58
"Ace Sanders","WR","JAC",332,26.6625,24.5,NA,70.775,26.6625,40.3958333333333,21.4089177969247,NA
"Adam Weber","QB","TB",629,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Adrian Peterson","RB","MIN",8,283.4625,291.7,284.7925,296.9,283.4625,288.56375,283.170061499511,312.83
"Adrien Robinson","TE","NYG",392,18.425,NA,NA,NA,18.425,18.425,2.48448796889238,NA
"Ahmad Bradshaw","RB","IND",95,149.9375,136.525,155.3075,176.9,149.9375,154.609166666667,164.442053115898,161.13
"Alan Bonner","WR","HOU",480,8.7,NA,NA,NA,8.7,8.7,2.13943308553064,NA
"Aldrick Robinson","WR","WAS",317,29.425,NA,NA,41.875,29.425,35.65,11.7945975112464,50.03
"Alex Green","RB","GB",395,17.965,14.65,NA,NA,17.965,16.1575,5.68242308894526,62.03
"Alex Silvestro","TE","BAL",630,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Alex Smith","QB","KC",41,209.486,169.34,229.09,191.92,209.486,199.184,234.938747429989,116.68
"Alfonso Smith","RB",NA,631,NA,NA,NA,NA,NA,0,2.55765622217905,5.63
"Alfred Morris","RB","WAS",35,218.4675,228.325,216.0325,229.3,218.4675,222.38125,219.113320411951,242.63
"Allen Bradford","RB","SEA",624,0.4,NA,NA,NA,0.4,0.4,2.52337218814688,NA
"Allen Reisner","TE","JAC",500,7.8,NA,NA,NA,7.8,7.8,2.15086357318933,NA
"Alshon Jeffery","WR","CHI",130,115.2375,113.625,128.3875,104.875,115.2375,115.522916666667,115.41476037143,63.88
"Andre Brown","RB","NYG",113,129.5175,116.925,145.1325,115.7,129.5175,126.560416666667,131.411337531581,102.09
"Andre Caldwell","WR","DEN",390,18.5875,NA,NA,31.625,18.5875,25.10625,7.2445218499102,4.65
"Andre Ellington","RB","ARI",304,32.54,26,36.555,NA,32.54,31.665,20.1267291958072,NA
"Andre Holmes","WR","OAK",632,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Andre Johnson","WR","HOU",40,210.925,212.5,216.8375,202.25,210.925,210.448958333333,205.824041128458,225.75
"Andre Roberts","WR","ARI",151,100.0625,104.85,91.2875,107.125,100.0625,101.185416666667,98.338815198399,128.08
