"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Aaron Rodgers","QB","GB",1,1,4491.6,38,10,272.9,2.6,NA,NA,NA,NA,3.7,43,3.19560670241475,7.76607348235473
"Drew Brees","QB","NO",2,2,5095.6,41.3,16.7,38.8,1,NA,NA,NA,NA,3.1,43,2.98813023630087,6.40102020514439
"Cam Newton","QB","CAR",3,3,3918.3,21.3,13.2,719.1,6.9,NA,NA,NA,NA,3.9,33,4.53800348689274,13.8236146744137
"Peyton Manning","QB","DEN",4,4,4854.8,38.5,12.2,16.8,0.2,NA,NA,NA,NA,2.7,39,3.53433966754919,9.2000736772412
"Tom Brady","QB","NE",5,5,4564.9,33.4,11.4,55.8,2.1,NA,NA,NA,NA,2.3,35,5.23223992851169,17.8830752295758
"Matt Ryan","QB","ATL",6,6,4745.4,32.3,12.8,99.4,0.8,NA,NA,NA,NA,3.3,21,5.2822949431626,17.4468345170884
"Colin Kaepernick","QB","SF",7,7,3757.2,21.4,11.6,669.7,5.4,NA,NA,NA,NA,6.1,24,3.21796516338868,4.13066758123509
"Matthew Stafford","QB","DET",8,8,4888.2,29,15.7,94,1.4,NA,NA,NA,NA,3,13,4.71175073712913,14.0195324101769
"Andrew Luck","QB","IND",9,9,4394.3,27.2,13.8,270.1,2.9,NA,NA,NA,NA,4.7,20,6.18266948738151,21.5271486887295
"Robert Griffin III","QB","WAS",10,10,3445.2,22.9,9.1,585.8,5.2,NA,NA,NA,NA,6,20,4.32020339908172,11.6085199171413
"Russell Wilson","QB","SEA",11,11,3585.1,24.9,11.6,463.3,3.9,NA,NA,NA,NA,3.7,14,3.4591861424644,5.93601471247055
"Tony Romo","QB","DAL",12,12,4760.6,29.1,15.1,49.1,0.8,NA,NA,NA,NA,3.6,12,4.45578729550507,12.3102133612704
"Adrian Peterson","RB","MIN",13,1,NA,NA,NA,1652.4,12.7,39.1,280.1,1.4,NA,2.4,63,2.25907165178935,6.26855130127101
"Eli Manning","QB","NYG",14,13,4223.5,28.5,14.4,35,0.8,NA,NA,NA,NA,3,8,4.61164323620398,12.4622581688339
"Doug Martin","RB","TB",15,2,NA,NA,NA,1354,9.6,53.6,441.7,1.5,NA,1.2,53,2.54384084910456,7.4173772599664
"Arian Foster","RB","HOU",16,3,NA,NA,NA,1298.9,11.4,42.1,364.6,1.9,NA,2,56,6.04071394363591,26.7107633092448
"Andy Dalton","QB","CIN",17,14,3859.4,26,16.1,150.6,1,NA,NA,NA,NA,3.3,5,5.40271314208817,15.3871009506881
"C.J. Spiller","RB","BUF",18,4,NA,NA,NA,1410.5,7.5,48.6,437.4,2.4,NA,2.5,50,2.2497526056512,4.96880199134225
"Josh Freeman","QB","TB",19,15,3942.1,25.5,16.5,175.1,0.6,NA,NA,NA,NA,4.7,4,5.45918632204466,13.560899515396
"Jamaal Charles","RB","KC",20,5,NA,NA,NA,1414.3,6.6,56.9,467.7,2.1,NA,2.5,51,2.68374098098792,7.87096017411473
"Ben Roethlisberger","QB","PIT",21,16,3686.3,23.6,10.9,96,1.6,NA,NA,NA,NA,3.9,5,4.66280917457252,10.3620462586628
"Marshawn Lynch","RB","SEA",22,6,NA,NA,NA,1429.3,11.3,24.9,195.5,0.9,NA,2.4,57,2.63775897317736,7.08575992748837
"Michael Vick","QB","PHI",23,17,3063.6,18.5,11.5,483.5,2.8,NA,NA,NA,NA,5,7,7.00706232176746,22.0955841440471
"Joe Flacco","QB","BAL",24,18,3971.7,22.6,12.7,61.4,1.1,NA,NA,NA,NA,4.9,4,4.38634276913744,7.71279117224539
"Matt Schaub","QB","HOU",25,19,4038.7,23.5,12.6,20.8,0.2,NA,NA,NA,NA,3.6,3,5.17071700823874,11.4792736704027
"Carson Palmer","QB","ARI",26,20,4140.2,24.4,16.9,32.1,0.2,NA,NA,NA,NA,3.7,3,3.23786491452909,2.36395678189485
"Jay Cutler","QB","CHI",27,21,3768.5,23.6,15.4,167.7,0.8,NA,NA,NA,NA,4.9,3,6.84776532730977,23.1079313007461
"Calvin Johnson","WR","DET",28,1,NA,NA,NA,5,0,105.3,1652.3,10.3,NA,1.2,49,4.20626442441382,16.2877710389318
"Sam Bradford","QB","STL",29,22,3917.3,23.5,14.4,89,0.7,NA,NA,NA,NA,4.9,2,5.19448460452837,14.1695106831535
"Trent Richardson","RB","CLE",29,7,NA,NA,NA,1216.6,9.9,49.1,385.3,1.5,NA,1.7,46,2.84461480801111,8.35606774919679
"Ray Rice","RB","BAL",31,8,NA,NA,NA,1152.6,8.2,60.8,494.2,2.1,NA,1.7,54,2.32762851683963,5.39379948799236
"Philip Rivers","QB","SD",32,23,4031.2,25,17.4,45.7,0.1,NA,NA,NA,NA,5.4,1,4.26741960783834,5.01284227426584
"LeSean McCoy","RB","PHI",33,9,NA,NA,NA,1202,8.4,53.3,408,2.2,NA,2.2,46,2.96765657815525,9.22739972739703
"Alex Smith","QB","KC",34,24,3676.7,20.5,11.2,153,0.8,NA,NA,NA,NA,4,2,7.92696231646192,25.4396512816771
"Alfred Morris","RB","WAS",35,10,NA,NA,NA,1433.3,11.1,14.8,95.2,0.2,NA,2.6,45,2.67570563347643,6.7609499147679
"Ryan Tannehill","QB","MIA",36,25,3553,19,14,200.1,1.7,NA,NA,NA,NA,4.2,2,11.1559014924325,46.8717272706408
"Brandon Weeden","QB","CLE",37,26,3721.1,20.2,15,93.6,0.2,NA,NA,NA,NA,3.1,1,7.21922964342541,20.2686207637981
"Jake Locker","QB","TEN",38,27,3194.1,17,13.7,310.9,1.6,NA,NA,NA,NA,3.6,1,8.46131116118578,27.0455826276061
"Matt Forte","RB","CHI",39,11,NA,NA,NA,1128,5.3,58.4,465.3,2.4,NA,2.1,39,3.69448182416449,12.5966274421635
"A.J. Green","WR","CIN",40,2,NA,NA,NA,34.9,0,93.3,1345.1,10.3,NA,0.4,44,2.55388684209796,6.32197898044328
"Dez Bryant","WR","DAL",41,3,NA,NA,NA,7.5,0,94.4,1382,10.3,NA,1.1,42,3.11722453011825,9.52490909296077
"Steven Jackson","RB","ATL",42,12,NA,NA,NA,1082.1,8.8,40.2,318,0.8,NA,1,36,3.01733194015222,8.27261282284302
