"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"A.J. Green","WR",238.26,2.55388684209796,61,"CIN",20,16.05,2,236.575,240.2875,226.1,238.26,235.893958333333,230.697701350976,87.9833333333333,3.25,6.32197898044328,49,56,50,8.68050180902826
"A.J. Jenkins","WR",78.9925,5.8755750321143,1,"SF",186,199.2,75,85.625,75.8375,67.875,78.9925,77.1391666666667,75.0714163714243,-71.2841666666667,33.5,7.36999519448057,1,1,1,0
"Aaron Dobson","WR",85.0875,5.15352801544911,2,"NE",177,141.2,72,80.75,98,70.375,85.0875,83.5739583333333,83.4750301796094,-65.1891666666667,19.85,11.4395074513358,1.1,2,1,0
"Aaron Hernandez","TE",1.25,NA,12,NA,595,NA,116,NA,NA,NA,1.25,1.25,2.45533679220677,-112.3625,NA,NA,10.9,13,1,NA
"Aaron Mellette","WR",14.675,NA,1,"BAL",423,NA,178,NA,NA,NA,14.675,14.675,2.24982654946615,-135.601666666667,NA,NA,1,1,1,NA
"Aaron Rodgers","QB",345.036,3.19560670241475,54,"GB",1,24.35,1,351.26,351.02,334.68,345.036,344.624,344.624,121.28,7.05,7.76607348235473,43.5,49,55,10.1223419184319
"Ace Sanders","WR",26.6625,6.48421681525009,1,"JAC",332,161,145,24.5,NA,70.775,26.6625,40.3958333333333,21.4089177969247,-123.614166666667,8.5,26.1150170320322,1,1,1,0
"Adam Weber","QB",NA,NA,1,"TB",629,NA,79,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Adrian Peterson","RB",283.4625,2.25907165178935,91,"MIN",8,1.15,1,291.7,284.7925,296.9,283.4625,288.56375,283.170061499511,163.591666666667,0.5,6.26855130127101,72.9,83,88,9.83964212448737
"Adrien Robinson","TE",18.425,NA,1,"NYG",392,NA,73,NA,NA,NA,18.425,18.425,2.48448796889238,-95.1875,NA,NA,1,1,1,NA
"Ahmad Bradshaw","RB",149.9375,5.17082154806906,3,"IND",95,61.15,28,136.525,155.3075,176.9,149.9375,154.609166666667,164.442053115898,30.0666666666667,11.2,16.795007814824,2.8,4,1,7.74673290775362
"Alan Bonner","WR",8.7,NA,1,"HOU",480,NA,197,NA,NA,NA,8.7,8.7,2.13943308553064,-141.576666666667,NA,NA,1,1,1,NA
"Aldrick Robinson","WR",29.425,4.46409178331409,1,"WAS",317,NA,135,NA,NA,41.875,29.425,35.65,11.7945975112464,-120.851666666667,NA,8.80347942577252,1,1,1,0
"Alex Green","RB",17.965,2.25475140199376,1,"GB",395,NA,110,14.65,NA,NA,17.965,16.1575,5.68242308894526,-101.905833333333,NA,2.34405897963341,1,1,1,0
"Alex Silvestro","TE",NA,NA,1,"BAL",630,NA,125,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Alex Smith","QB",209.486,7.92696231646192,2,"KC",41,155.6,23,169.34,229.09,191.92,209.486,199.184,234.938747429989,-14.27,23.5,25.4396512816771,1.2,2,1,4.40671924726425
"Alfonso Smith","RB",NA,3.72592277084192,1,NA,631,186,196,NA,NA,NA,NA,0,2.55765622217905,NA,14,NA,1,1,1,NA
"Alfred Morris","RB",218.4675,2.67570563347643,54,"WAS",35,11.95,10,228.325,216.0325,229.3,218.4675,222.38125,219.113320411951,98.5966666666667,3.7,6.7609499147679,47.9,54,39,4.90527477843843
"Allen Bradford","RB",0.4,NA,1,"SEA",624,NA,195,NA,NA,NA,0.4,0.4,2.52337218814688,-119.470833333333,NA,NA,1,1,1,NA
"Allen Reisner","TE",7.8,NA,1,"JAC",500,NA,100,NA,NA,NA,7.8,7.8,2.15086357318933,-105.8125,NA,NA,1,1,1,NA
"Alshon Jeffery","WR",115.2375,4.32189425502655,2,"CHI",130,123.65,53,113.625,128.3875,104.875,115.2375,115.522916666667,115.41476037143,-35.0391666666667,14.7,9.70496275538104,1,2,1,0
