"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,383.32,635,431,5328,45,11,24,12,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,370.9,554,381,4820,39,8,42,181,2,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,358.34,645,435,5031,39,15,25,41,2,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",4,4,335.22,638,421,5008,34,10,25,29,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",5,5,334.18,605,376,4447,26,11,64,333,5,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,6,333.64,635,399,4921,33,16,35,88,2,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",7,7,328.52,610,394,4758,32,14,35,182,1,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,328.1,478,304,3585,23,12,115,627,7,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,9,327.14,478,303,3896,27,10,85,493,4,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",10,10,320.42,525,343,4358,30,13,67,271,2,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",11,11,320.14,543,343,4181,25,14,85,489,3,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",12,12,314.48,639,409,4767,31,13,25,68,1,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",13,13,313.92,633,418,4748,31,15,25,90,1,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",14,14,303.82,424,274,3413,27,10,95,513,3,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",15,15,291.08,546,377,4477,30,14,28,60,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",16,16,290.46,585,362,4124,24,15,67,325,2,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",17,17,290.34,594,379,4396,28,13,26,95,1,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARZ",18,18,282.68,586,377,4717,28,19,20,10,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",19,19,280.92,527,335,3873,28,14,55,160,2,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",20,20,271.06,540,331,3699,22,8,72,371,1,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,21,262.8,NA,NA,NA,NA,NA,295,1505,9,52,463,2,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,22,262.3,NA,NA,NA,NA,NA,255,1313,8,67,590,4,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",21,23,259.96,504,309,3704,20,14,52,338,2,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",22,24,254.58,577,363,4097,22,12,31,87,1,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",23,25,251.86,464,286,3294,21,14,63,321,3,NA,NA,NA,NA,NA,NA
