"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"DREWBREES","QB","Drew Brees","NO",1,1,394,NA,NA,5142,36,16,NA,9,0,NA,NA,NA,NA,1,0
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,372.8,NA,NA,4790,34,12,NA,1,0,NA,NA,NA,NA,1,0
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,367.3,NA,NA,4285,32,10,NA,176,1,NA,NA,NA,NA,1,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",4,4,358.3,NA,NA,3735,25,12,NA,568,4,NA,NA,NA,NA,1,1
"MATTRYAN","QB","Matt Ryan","ATL",5,5,357,NA,NA,4668,31,14,NA,89,0,NA,NA,NA,NA,1,0
"ANDREWLUCK","QB","Andrew Luck","IND",6,6,354.9,NA,NA,4107,29,13,NA,306,2,NA,NA,NA,NA,1,1
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",7,7,346.6,NA,NA,4656,30,16,NA,101,0,NA,NA,NA,NA,1,1
"CAMNEWTON","QB","Cam Newton","CAR",8,8,345.5,NA,NA,3593,24,12,NA,581,4,NA,NA,NA,NA,0,1
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",9,9,339.6,NA,NA,4359,30,11,NA,62,0,NA,NA,NA,NA,1,0
"NICKFOLES","QB","Nick Foles","PHI",10,10,338.9,NA,NA,3998,27,9,NA,274,1,NA,NA,NA,NA,0,1
"PHILIPRIVERS","QB","Philip Rivers","SD",11,11,338.4,NA,NA,4408,31,13,NA,6,0,NA,NA,NA,NA,1,0
"TONYROMO","QB","Tony Romo","DAL",12,12,334.6,NA,NA,4570,29,13,NA,25,0,NA,NA,NA,NA,1,1
"JOSHMCCOWN","QB","Josh McCown","TB",13,13,334.1,NA,NA,4358,29,14,NA,85,1,NA,NA,NA,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",14,14,331.6,NA,NA,4271,29,16,NA,139,1,NA,NA,NA,NA,1,0
"TOMBRADY","QB","Tom Brady","NE",15,15,323,NA,NA,4183,29,10,NA,11,0,NA,NA,NA,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",16,16,320.1,NA,NA,4389,30,18,NA,0,0,NA,NA,NA,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",17,17,320,NA,NA,3454,23,9,NA,462,3,NA,NA,NA,NA,0,1
"RUSSELLWILSON","QB","Russell Wilson","SEA",18,18,317,NA,NA,3404,23,9,NA,454,3,NA,NA,NA,NA,0,1
"ANDYDALTON","QB","Andy Dalton","CIN",19,19,316.8,NA,NA,4014,27,14,NA,163,1,NA,NA,NA,NA,0,1
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,20,311.8,NA,NA,3897,26,14,NA,192,1,NA,NA,NA,NA,0,1
"CARSONPALMER","QB","Carson Palmer","ARI",21,21,301.5,NA,NA,4241,28,18,NA,-1,0,NA,NA,NA,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",22,22,300.9,NA,NA,3491,22,8,NA,356,2,NA,NA,NA,NA,0,1
"CHADHENNE","QB","Chad Henne","JAC",23,23,297.6,NA,NA,4116,25,15,NA,84,0,NA,NA,NA,NA,0,1
"EJMANUEL","QB","EJ Manuel","BUF",24,24,296.2,NA,NA,3688,25,14,NA,237,1,NA,NA,NA,NA,0,1
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",25,25,296,NA,NA,3771,24,14,NA,211,1,NA,NA,NA,NA,0,1
"JAKELOCKER","QB","Jake Locker","TEN",26,26,294.2,NA,NA,3558,23,12,NA,288,2,NA,NA,NA,NA,0,1
"JOEFLACCO","QB","Joe Flacco","BAL",27,27,292.5,NA,NA,3934,26,14,NA,58,0,NA,NA,NA,NA,0,1
"BRIANHOYER","QB","Brian Hoyer","CLE",28,28,289,NA,NA,4095,25,18,NA,72,0,NA,NA,NA,NA,1,1
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,29,288.7,NA,NA,NA,NA,NA,NA,1440,14,NA,487,3,NA,1,4
"MATTFORTE","RB","Matt Forte","CHI",2,30,276,NA,NA,NA,NA,NA,NA,1382,12,NA,501,3,NA,1,4
"MATTSCHAUB","QB","Matt Schaub","OAK",29,31,275.8,NA,NA,4082,24,16,NA,2,0,NA,NA,NA,NA,0,0
"MATTCASSEL","QB","Matt Cassel","MIN",30,32,275.7,NA,NA,3730,24,16,NA,106,0,NA,NA,NA,NA,1,0
"SHAUNHILL","QB","Shaun Hill","STL",31,33,259.7,NA,NA,3687,21,16,NA,141,1,NA,NA,NA,NA,0,1
"GENOSMITH","QB","Geno Smith","NYJ",32,34,255.1,NA,NA,3197,19,17,NA,352,2,NA,NA,NA,NA,0,1
"EDDIELACY","RB","Eddie Lacy","GB",3,35,252,NA,NA,NA,NA,NA,NA,1335,14,NA,311,2,NA,1,5
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,36,243.6,NA,NA,NA,NA,NA,NA,1493,13,NA,168,1,NA,1,4
"JAMAALCHARLES","RB","Jamaal Charles","KC",5,37,242.7,NA,NA,NA,NA,NA,NA,1261,11,NA,418,2,NA,0,4
"ALFREDMORRIS","RB","Alfred Morris","WAS",6,38,237,NA,NA,NA,NA,NA,NA,1473,14,NA,82,1,NA,1,4
"DOUGMARTIN","RB","Doug Martin","TB",7,39,223.6,NA,NA,NA,NA,NA,NA,1238,11,NA,302,2,NA,1,5
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",8,40,222.4,NA,NA,NA,NA,NA,NA,1147,12,NA,340,2,NA,1,4
"MONTEEBALL","RB","Montee Ball","DEN",9,41,218.4,NA,NA,NA,NA,NA,NA,1175,13,NA,222,1,NA,0,4
"LEVEONBELL","RB","Le'Veon Bell","PIT",10,42,217.3,NA,NA,NA,NA,NA,NA,1141,10,NA,371,2,NA,1,5
"ARIANFOSTER","RB","Arian Foster","HOU",11,43,211.1,NA,NA,NA,NA,NA,NA,1201,10,NA,270,2,NA,1,4
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",12,44,208.9,NA,NA,NA,NA,NA,NA,1057,9,NA,390,2,NA,0,4
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,45,203.2,NA,NA,NA,NA,NA,NA,0,0,NA,1510,9,NA,0,1
"RYANMATHEWS","RB","Ryan Mathews","SD",13,46,201.6,NA,NA,NA,NA,NA,NA,1141,10,NA,229,2,NA,1,4
"ANDREELLINGTON","RB","Andre Ellington","ARI",14,47,194.3,NA,NA,NA,NA,NA,NA,1016,9,NA,334,2,NA,0,4
"REGGIEBUSH","RB","Reggie Bush","DET",15,48,193.5,NA,NA,NA,NA,NA,NA,945,9,NA,366,2,NA,0,3
"CHRISJOHNSON","RB","Chris Johnson","NYJ",16,49,192,NA,NA,NA,NA,NA,NA,1185,10,NA,168,1,NA,0,4
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",17,50,188.8,NA,NA,NA,NA,NA,NA,1098,10,NA,203,1,NA,0,4
"JORDYNELSON","WR","Jordy Nelson","GB",2,51,188.5,NA,NA,NA,NA,NA,NA,0,0,NA,1354,9,NA,0,1
"DEZBRYANT","WR","Dez Bryant","DAL",3,52,185.4,NA,NA,NA,NA,NA,NA,0,0,NA,1392,8,NA,0,1
"JOIQUEBELL","RB","Joique Bell","DET",18,53,181.7,NA,NA,NA,NA,NA,NA,703,8,NA,470,3,NA,0,3
"ZACSTACY","RB","Zac Stacy","STL",19,54,180.9,NA,NA,NA,NA,NA,NA,1148,9,NA,159,1,NA,0,4
"VINCENTJACKSON","WR","Vincent Jackson","TB",4,55,179.9,NA,NA,NA,NA,NA,NA,0,0,NA,1329,8,NA,0,1
"CJSPILLER","RB","C.J. Spiller","BUF",20,56,179.7,NA,NA,NA,NA,NA,NA,1047,9,NA,188,1,NA,0,4
"RODDYWHITE","WR","Roddy White","ATL",5,57,176.9,NA,NA,NA,NA,NA,NA,0,0,NA,1322,8,NA,0,1
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",21,58,176.7,NA,NA,NA,NA,NA,NA,831,8,NA,354,2,NA,0,3
"MARQUESCOLSTON","WR","Marques Colston","NO",6,59,174.2,NA,NA,NA,NA,NA,NA,0,0,NA,1293,8,NA,0,1
"ANDREJOHNSON","WR","Andre Johnson","HOU",7,60,171.5,NA,NA,NA,NA,NA,NA,0,0,NA,1283,7,NA,0,1
"VICTORCRUZ","WR","Victor Cruz","NYG",8,61,170.8,NA,NA,NA,NA,NA,NA,0,0,NA,1263,8,NA,0,1
"JULIOJONES","WR","Julio Jones","ATL",9,62,170.4,NA,NA,NA,NA,NA,NA,0,0,NA,1234,8,NA,0,1
