"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,365,639,433,5230,45,12,NA,1,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,343,540,361,4538,36,8,NA,219,2,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,340,639,427,5030,39,14,NA,46,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,4,308,637,392,4795,34,17,NA,85,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",5,5,306,588,364,4280,27,11,NA,307,3,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",6,6,302,533,342,4298,29,12,NA,260,2,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",7,7,298,467,280,3669,25,11,NA,488,4,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",8,8,297,483,298,3730,24,11,NA,502,4,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",9,9,294,632,418,4679,30,13,NA,72,1,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",10,10,291,626,393,4547,31,12,NA,27,1,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,11,258,NA,NA,NA,NA,NA,255,1261,9,64,576,4,NA,NA,2
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,12,257,NA,NA,NA,NA,NA,292,1455,10,42,375,3,NA,NA,2
"MATTFORTE","RB","Matt Forte","CHI",3,13,243,NA,NA,NA,NA,NA,276,1276,8,66,538,3,NA,NA,2
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,14,240,NA,NA,NA,NA,NA,299,1384,11,44,299,2,NA,NA,3
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,15,227,NA,NA,NA,NA,NA,0,0,0,94,1574,12,NA,NA,1
"EDDIELACY","RB","Eddie Lacy","GB",5,16,222,NA,NA,NA,NA,NA,279,1245,11,38,275,1,NA,NA,1
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,17,220,NA,NA,NA,NA,NA,0,0,0,94,1437,13,NA,NA,1
