"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"DREWBREES","QB","Drew Brees","NOS",1,1,372,NA,426,5132,42,13,27,42,2,0,0,0,NA,NA,2
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,360,NA,400,4908,45,12,26,0,1,0,0,0,NA,NA,5
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,311,NA,346,4150,26,16,65,331,5,0,0,0,NA,NA,3
"AARONRODGERS","QB","Aaron Rodgers","GBP",4,4,306,NA,349,4281,31,12,49,214,2,0,0,0,NA,NA,5
"TOMBRADY","QB","Tom Brady","NEP",5,5,303,NA,393,4584,30,10,28,23,2,0,0,0,NA,NA,2
"ANDYDALTON","QB","Andy Dalton","CIN",6,6,300,NA,346,3990,32,21,59,182,4,0,0,0,NA,NA,4
"NICKFOLES","QB","Nick Foles","PHI",7,7,299,NA,296,3716,28,6,69,313,4,0,0,0,NA,NA,5
"COLINKAEPERNICK","QB","Colin Kaepernick","SFO",8,8,297,NA,259,3485,24,9,115,550,4,0,0,0,NA,NA,4
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",9,9,294,NA,305,3564,23,12,107,643,3,0,0,0,NA,NA,5
"RUSSELLWILSON","QB","Russell Wilson","SEA",10,10,293,NA,262,3413,28,7,87,482,2,0,0,0,NA,NA,4
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",11,11,288,NA,390,4705,25,19,35,96,3,0,0,0,NA,NA,4
"TONYROMO","QB","Tony Romo","DAL",12,12,281,NA,368,4137,31,16,25,45,1,0,0,0,NA,NA,1
"MATTRYAN","QB","Matt Ryan","ATL",13,13,280,NA,411,4539,29,16,21,72,0,0,0,0,NA,NA,4
"CAMNEWTON","QB","Cam Newton","CAR",14,14,278,NA,249,3170,20,15,111,618,5,0,0,0,NA,NA,2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",15,15,275,NA,355,4002,30,13,27,109,1,0,0,0,NA,NA,4
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,16,269,NA,0,0,0,0,320,1600,12,41,310,2,NA,NA,3
"ALEXSMITH","QB","Alex Smith","KCC",16,17,268,NA,296,3241,26,9,79,467,1,0,0,0,NA,NA,4
"JAMAALCHARLES","RB","Jamaal Charles","KCC",2,17,268,NA,0,0,0,0,263,1350,10,51,436,6,NA,NA,3
"PHILIPRIVERS","QB","Philip Rivers","SDC",17,19,261,NA,322,3800,31,11,31,60,0,0,0,0,NA,NA,5
"JAYCUTLER","QB","Jay Cutler","CHI",18,20,257,NA,320,3763,27,13,35,201,0,0,0,0,NA,NA,4
"CARSONPALMER","QB","Carson Palmer","ARI",19,21,243,NA,364,4292,25,20,25,4,0,0,0,0,NA,NA,4
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,21,243,NA,0,0,0,0,268,1286,8,55,474,4,NA,NA,2
"EDDIELACY","RB","Eddie Lacy","GBP",4,23,242,NA,0,0,0,0,336,1351,13,43,316,0,NA,NA,1
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,24,240,NA,333,3711,20,16,42,244,2,0,0,0,NA,NA,4
"MATTFORTE","RB","Matt Forte","CHI",5,25,239,NA,0,0,0,0,278,1275,8,62,480,3,NA,NA,1
"JOEFLACCO","QB","Joe Flacco","BAL",21,26,235,NA,333,3711,22,17,33,100,2,0,0,0,NA,NA,3
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,27,233,NA,0,0,0,0,0,0,0,95,1450,15,NA,NA,1
"CALVINJOHNSON","WR","Calvin Johnson","DET",2,28,230,NA,0,0,0,0,0,0,0,94,1625,12,NA,NA,2
"MATTCASSEL","QB","Matt Cassel","MIN",22,29,227,NA,292,3259,19,14,47,173,4,0,0,0,NA,NA,3
"JAKELOCKER","QB","Jake Locker","TEN",22,29,227,NA,270,3089,16,15,60,355,4,0,0,0,NA,NA,2
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",6,31,225,NA,0,0,0,0,272,1250,13,24,204,1,NA,NA,2
"MONTEEBALL","RB","Montee Ball","DEN",7,32,222,NA,0,0,0,0,252,1200,9,50,387,2,NA,NA,1
"JIMMYGRAHAM","TE","Jimmy Graham","NOS",1,33,220,NA,0,0,0,0,0,0,0,84,1300,15,NA,NA,0
"DEZBRYANT","WR","Dez Bryant","DAL",3,33,220,NA,0,0,0,0,2,0,0,97,1325,15,NA,NA,1
"EJMANUEL","QB","E.J. Manuel","BUF",24,35,219,NA,288,3228,18,11,73,233,3,0,0,0,NA,NA,6
"SHAUNHILL","QB","Shaun Hill","STL",25,36,214,NA,283,3214,22,10,36,87,1,0,0,0,NA,NA,3
"ANDREELLINGTON","RB","Andre Ellington","ARI",8,37,211,NA,0,0,0,0,225,1100,7,45,430,3,NA,NA,1
"ELIMANNING","QB","Eli Manning","NYG",26,38,209,NA,304,3635,21,20,20,26,0,0,0,0,NA,NA,1
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,38,209,NA,0,0,0,0,245,1160,8,56,394,2,NA,NA,3
"JULIOJONES","WR","Julio Jones","ATL",4,40,208,NA,0,0,0,0,3,13,0,105,1375,12,NA,NA,1
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,41,206,NA,0,0,0,0,1,0,0,102,1400,11,NA,NA,0
"AJGREEN","WR","A.J. Green","CIN",6,42,204,NA,0,0,0,0,2,12,0,93,1336,12,NA,NA,1
"DEREKCARR","QB","Derek Carr","OAK",27,43,202,NA,265,3183,16,19,54,308,2,0,0,0,NA,NA,6
"DOUGMARTIN","RB","Doug Martin","TBB",10,43,202,NA,0,0,0,0,250,1150,8,40,314,2,NA,NA,2
"GENOSMITH","QB","Geno Smith","NYJ",28,45,200,NA,235,2835,11,16,65,312,6,0,0,0,NA,NA,4
"TOBYGERHART","RB","Toby Gerhart","JAC",11,45,200,NA,0,0,0,0,265,1225,7,38,280,2,NA,NA,2
"BRIANHOYER","QB","Brian Hoyer","CLE",29,47,197,NA,293,3310,19,18,27,138,0,0,0,0,NA,NA,3
"CHRISJOHNSON","RB","Chris Johnson","NYJ",12,47,197,NA,0,0,0,0,268,1092,6,41,306,4,NA,NA,1
"ROBGRONKOWSKI","TE","Rob Gronkowski","NEP",2,47,197,NA,0,0,0,0,0,1,0,80,1250,12,NA,NA,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",30,50,196,NA,303,3467,15,19,34,135,2,0,0,0,NA,NA,4
"JOSHMCCOWN","QB","Josh McCown","TBB",30,50,196,NA,271,3101,21,10,26,69,0,0,0,0,NA,NA,4
"FRANKGORE","RB","Frank Gore","SFO",13,50,196,NA,0,0,0,0,280,1162,10,19,180,1,NA,NA,2
"BISHOPSANKEY","RB","Bishop Sankey","TEN",14,53,189,NA,0,0,0,0,245,1055,6,39,286,4,NA,NA,2
"LEVEONBELL","RB","Le'Veon Bell","PIT",15,54,185,NA,0,0,0,0,273,1010,8,45,406,0,NA,NA,2
"ZACSTACY","RB","Zac Stacy","STL",16,55,184,NA,0,0,0,0,290,1190,7,37,210,1,NA,NA,2
"CJSPILLER","RB","C.J. Spiller","BUF",17,56,182,NA,0,0,0,0,215,1011,6,40,353,2,NA,NA,1
"JORDYNELSON","WR","Jordy Nelson","GBP",7,56,182,NA,0,0,0,0,1,7,0,92,1346,8,NA,NA,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,58,180,NA,0,0,0,0,7,8,0,100,1342,8,NA,NA,1
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,58,180,NA,0,0,0,0,11,59,0,78,1295,8,NA,NA,1
"ARIANFOSTER","RB","Arian Foster","HOU",18,60,179,NA,0,0,0,0,250,1050,6,47,306,2,NA,NA,2
"BENTATE","RB","Ben Tate","CLE",18,60,179,NA,0,0,0,0,250,1075,4,48,323,3,NA,NA,1
"ANDREJOHNSON","WR","Andre Johnson","HOU",10,62,178,NA,0,0,0,0,0,0,0,90,1300,8,NA,NA,0
"VICTORCRUZ","WR","Victor Cruz","NYG",11,63,177,NA,0,0,0,0,3,14,1,85,1225,8,NA,NA,0
"VINCENTJACKSON","WR","Vincent Jackson","TBB",11,63,177,NA,0,0,0,0,1,0,0,75,1298,8,NA,NA,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",13,65,176,NA,0,0,0,0,10,61,2,82,1165,7,NA,NA,0
"REGGIEBUSH","RB","Reggie Bush","DET",20,66,175,NA,0,0,0,0,175,780,5,60,536,4,NA,NA,5
"ALFREDMORRIS","RB","Alfred Morris","WAS",21,67,172,NA,0,0,0,0,268,1250,8,10,78,0,NA,NA,4
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",22,68,169,NA,0,0,0,0,200,865,6,45,375,2,NA,NA,1
"TRENTRICHARDSON","RB","Trent Richardson","IND",22,68,169,NA,0,0,0,0,207,751,7,41,342,3,NA,NA,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",3,68,169,NA,0,0,0,0,0,0,0,75,875,14,NA,NA,1
"TORREYSMITH","WR","Torrey Smith","BAL",14,71,168,NA,0,0,0,0,1,0,0,75,1200,8,NA,NA,0
"FREDJACKSON","RB","Fred Jackson","BUF",24,72,167,NA,0,0,0,0,210,890,7,42,329,1,NA,NA,1
"ERICDECKER","WR","Eric Decker","NYJ",15,73,166,NA,0,0,0,0,1,2,0,82,1140,9,NA,NA,1
"RANDALLCOBB","WR","Randall Cobb","GBP",16,74,164,NA,0,0,0,0,7,39,0,79,1092,9,NA,NA,1
