"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,411.9,642,411,5094,41,15,28,22,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,389.25,625,393,5129,32,18,43,168,1,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,381.25,643,415,4945,35,16,21,40,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,367.05,602,363,4355,29,15,56,303,3,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",5,5,364.5,667,405,4978,31,21,30,66,1,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",6,6,345.1,511,320,4072,28,12,59,235,3,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",7,7,342.4,653,429,4638,29,19,21,75,1,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",8,8,338.75,641,397,4487,30,16,31,44,1,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",9,9,338,562,347,4032,24,17,97,514,1,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",10,10,337.1,474,291,3282,23,14,116,590,6,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",11,11,324.85,556,366,4373,27,15,27,72,1,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",12,12,322.05,555,349,4181,29,14,19,50,1,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",13,13,321.15,446,267,3507,24,12,78,438,3,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",14,14,317.65,568,355,4163,27,18,29,135,1,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",15,15,309,420,266,3354,25,12,78,413,2,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",16,16,305.15,544,337,3845,26,18,50,149,2,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",17,17,303.9,554,351,4036,25,15,29,111,1,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",18,18,298.75,547,336,3679,23,13,57,298,1,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",19,19,296.15,589,352,4145,25,23,25,59,1,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,20,295.3,546,332,3818,24,16,36,184,1,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",21,21,292,571,356,4146,24,20,20,27,1,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",22,22,283.7,574,344,3834,24,19,20,90,1,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",23,23,275.25,480,296,3633,22,12,26,116,1,NA,NA,NA,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",24,24,274.5,490,292,3318,19,16,60,366,2,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",25,25,270.2,490,295,3350,18,15,79,277,3,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",26,26,267.4,424,255,2976,16,16,82,406,5,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,27,265.4,NA,NA,NA,NA,NA,257,1187,9,70,627,5,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",27,28,258.75,464,278,3279,21,15,47,138,2,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,29,244.1,NA,NA,NA,NA,NA,309,1466,9,39,375,1,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,30,232.9,NA,NA,NA,NA,NA,0,0,0,102,1669,11,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",3,31,228.2,NA,NA,NA,NA,NA,278,1230,8,62,452,2,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,32,224.7,NA,NA,NA,NA,NA,301,1375,9,38,272,1,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",28,33,224.45,366,224,2501,16,12,54,354,2,NA,NA,NA,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",29,34,218.45,409,248,2819,18,13,33,125,1,NA,NA,NA,NA,NA,NA
