"name","year","pos","team","pick","overallRank","positionRank"
"LADAINIANTOMLINSON",2003,"RB","SDC",2.84,1,1
"RICKYWILLIAMS",2003,"RB","MIA",3.1,2,2
"CLINTONPORTIS",2003,"RB","WAS",5.41,3,3
"MARSHALLFAULK",2003,"RB","STL",5.73,4,4
"PRIESTHOLMES",2003,"RB","KCC",6.2,5,5
"DEUCEMCALLISTER",2003,"RB","NOS",7.9,6,6
"SHAUNALEXANDER",2003,"RB","SEA",8.95,7,7
"EDGERRINJAMES",2003,"RB","IND",12.26,8,8
"MARVINHARRISON",2003,"WR","IND",12.85,9,1
"AHMANGREEN",2003,"RB","GBP",12.94,10,9
"TRAVISHENRY",2003,"RB","BUF",13.07,11,10
"DONOVANMCNABB",2003,"QB","PHI",14.81,12,1
"TERRELLOWENS",2003,"WR","PHI",15.68,13,2
"RANDYMOSS",2003,"WR","MIN",17.22,14,3
"DAUNTECULPEPPER",2003,"QB","MIN",18.6,15,2
"TIKIBARBER",2003,"RB","NYG",19.13,16,11
"JAMALLEWIS",2003,"RB","BAL",20.22,17,12
"PEYTONMANNING",2003,"QB","IND",20.45,18,3
"COREYDILLON",2003,"RB","CIN",22.26,19,13
"FREDTAYLOR",2003,"RB","JAC",22.6,20,14
"STEPHENDAVIS",2003,"RB","CAR",24.33,21,15
"ERICMOULDS",2003,"WR","BUF",25.21,22,4
"CHARLIEGARNER",2003,"RB","TBB",27.98,23,16
"EDDIEGEORGE",2003,"RB","TEN",29.33,24,17
"WILLIAMGREEN",2003,"RB","CLE",30.04,25,18
"PLAXICOBURRESS",2003,"WR","PIT",30.07,26,5
"JOEHORN",2003,"WR","NOS",30.75,27,6
"HINESWARD",2003,"WR","PIT",30.92,28,7
"RICHGANNON",2003,"QB","OAK",32.16,29,4
"TORRYHOLT",2003,"WR","STL",32.54,30,8
"CURTISMARTIN",2003,"RB","NYJ",32.76,31,19
"DAVIDBOSTON",2003,"WR","MIA",36.22,32,9
"KORENROBINSON",2003,"WR","SEA",37.6,33,10
"AARONBROOKS",2003,"QB","NOS",37.67,34,5
