"name","nameMerge","year","pos","team","pick","overallRank","positionRank"
"ADRIAN PETERSON","ADRIANPETERSON",2009,"RB","MIN",2.28,1,1
"MAURICE JONESDREW","MAURICEJONESDREW",2009,"RB","JAC",3.87,2,2
"MICHAEL TURNER","MICHAELTURNER",2009,"RB","ATL",5,3,3
"MATT FORTE","MATTFORTE",2009,"RB","CHI",5.08,4,4
"DEANGELO WILLIAMS","DEANGELOWILLIAMS",2009,"RB","CAR",9.48,5,5
"LARRY FITZGERALD","LARRYFITZGERALD",2009,"WR","ARI",9.62,6,1
"STEVEN JACKSON","STEVENJACKSON",2009,"RB","STL",9.77,7,6
"DREW BREES","DREWBREES",2009,"QB","NOS",10.84,8,1
"LADAINIAN TOMLINSON","LADAINIANTOMLINSON",2009,"RB","SDC",10.92,9,7
"CHRIS JOHNSON","CHRISJOHNSON",2009,"RB","TEN",11.99,10,8
"ANDRE JOHNSON","ANDREJOHNSON",2009,"WR","HOU",12.74,11,2
"TOM BRADY","TOMBRADY",2009,"QB","NEP",13.74,12,2
"RANDY MOSS","RANDYMOSS",2009,"WR","NEP",14.01,13,3
"FRANK GORE","FRANKGORE",2009,"RB","SFO",14.77,14,9
"STEVE SLATON","STEVESLATON",2009,"RB","HOU",16.16,15,10
"PEYTON MANNING","PEYTONMANNING",2009,"QB","IND",17.73,16,3
"CALVIN JOHNSON","CALVINJOHNSON",2009,"WR","DET",17.97,17,4
"BRIAN WESTBROOK","BRIANWESTBROOK",2009,"RB","PHI",20.3,18,11
"BRANDON JACOBS","BRANDONJACOBS",2009,"RB","NYG",20.57,19,12
"REGGIE WAYNE","REGGIEWAYNE",2009,"WR","IND",20.61,20,5
"STEVE SMITH","STEVESMITH",2009,"WR","CAR",24.28,21,6
"GREG JENNINGS","GREGJENNINGS",2009,"WR","GBP",24.28,21,6
"AARON RODGERS","AARONRODGERS",2009,"QB","GBP",24.32,23,4
"MARION BARBER","MARIONBARBER",2009,"RB","DAL",24.4,24,13
"CLINTON PORTIS","CLINTONPORTIS",2009,"RB","WAS",25.22,25,14
"RODDY WHITE","RODDYWHITE",2009,"WR","ATL",26.24,26,8
"PHILIP RIVERS","PHILIPRIVERS",2009,"QB","SDC",28.94,27,5
