"name","name_yahoo","pos","actualPts"
"TOMBRADY","Tom Brady","QB",334.28
"AARONRODGERS","Aaron Rodgers","QB",331.58
"DREWBREES","Drew Brees","QB",326.58
"ADRIANPETERSON","Adrian Peterson","RB",312.83
"ROBERTGRIFFINIII","Robert Griffin III","QB",312.6
"CAMNEWTON","Cam Newton","QB",308.61
"PEYTONMANNING","Peyton Manning","QB",298.06
"MATTRYAN","Matt Ryan","QB",290.56
"DOUGMARTIN","Doug Martin","RB",274.4
"CALVINJOHNSON","Calvin Johnson","WR",268.5
"ARIANFOSTER","Arian Foster","RB",266.53
"RUSSELLWILSON","Russell Wilson","QB",263.62
"BRANDONMARSHALL","Brandon Marshall","WR",258.3
"TONYROMO","Tony Romo","QB",256.9
"MATTHEWSTAFFORD","Matthew Stafford","QB",256.66
"ANDREWLUCK","Andrew Luck","QB",256.46
"MARSHAWNLYNCH","Marshawn Lynch","RB",252.5
"ALFREDMORRIS","Alfred Morris","RB",242.63
"DEZBRYANT","Dez Bryant","WR",242.57
"AJGREEN","A.J. Green","WR",237.55
"RAYRICE","Ray Rice","RB",236.05
"DEMARYIUSTHOMAS","Demaryius Thomas","WR",231.25
"ANDYDALTON","Andy Dalton","QB",230.76
"JOSHFREEMAN","Josh Freeman","QB",229.5
"VINCENTJACKSON","Vincent Jackson","WR",227.04
"ANDREJOHNSON","Andre Johnson","WR",225.75
"JOEFLACCO","Joe Flacco","QB",220.88
"CJSPILLER","C.J. Spiller","RB",220.78
"ELIMANNING","Eli Manning","QB",216.92
"SAMBRADFORD","Sam Bradford","QB",216.78
"ERICDECKER","Eric Decker","WR",214.44
"JULIOJONES","Julio Jones","WR",213.75
"TRENTRICHARDSON","Trent Richardson","RB",212.88
"BENROETHLISBERGER","Ben Roethlisberger","QB",212.8
"RODDYWHITE","Roddy White","WR",211.88
"WESWELKER","Wes Welker","WR",211.77
"MATTSCHAUB","Matt Schaub","QB",210.67
"RANDALLCOBB","Randall Cobb","WR",209.57
"JAMAALCHARLES","Jamaal Charles","RB",208.4
"FRANKGORE","Frank Gore","RB",207.45
"CARSONPALMER","Carson Palmer","QB",207.32
"REGGIEWAYNE","Reggie Wayne","WR",201.88
"STEVANRIDLEY","Stevan Ridley","RB",200.68
"MARQUESCOLSTON","Marques Colston","WR",199.25
"VICTORCRUZ","Victor Cruz","WR",198.5
"RYANFITZPATRICK","Ryan Fitzpatrick","QB",193.7
"MICHAELCRABTREE","Michael Crabtree","WR",192.93
"PHILIPRIVERS","Philip Rivers","QB",188.24
"MATTFORTE","Matt Forte","RB",186.9
"JAMESJONES","James Jones","WR",183
"MIKEWILLIAMS","Mike Williams","WR",181.62
"CHRISJOHNSON","Chris Johnson","RB",178.3
"REGGIEBUSH","Reggie Bush","RB",178.1
"CHRISTIANPONDER","Christian Ponder","QB",176.83
"JIMMYGRAHAM","Jimmy Graham","TE",176.75
"STEVESMITH","Steve Smith","WR",172.45
"DARRENSPROLES","Darren Sproles","RB",171.1
"STEVEJOHNSON","Steve Johnson","WR",170.75
"STEVENJACKSON","Steven Jackson","RB",170.33
"SHONNGREENE","Shonn Greene","RB",170.18
"COLINKAEPERNICK","Colin Kaepernick","QB",169.06
"JAYCUTLER","Jay Cutler","QB",168.62
"TYHILTON","T.Y. Hilton","WR",167.89
"TONYGONZALEZ","Tony Gonzalez","TE",167.25
"LANCEMOORE","Lance Moore","WR",167.23
"RYANTANNEHILL","Ryan Tannehill","QB",167.16
"ROBGRONKOWSKI","Rob Gronkowski","TE",162.75
"AHMADBRADSHAW","Ahmad Bradshaw","RB",161.13
"CECILSHORTS","Cecil Shorts","WR",160.98
"MICHAELTURNER","Michael Turner","RB",159.3
"TORREYSMITH","Torrey Smith","WR",156.78
"HEATHMILLER","Heath Miller","TE",155
"MILESAUSTIN","Miles Austin","WR",154.88
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB",153.9
"MIKEWALLACE","Mike Wallace","WR",153.2
"LESEANMCCOY","LeSean McCoy","RB",152.63
"MIKELLESHOURE","Mikel Leshoure","RB",152.55
"JASONWITTEN","Jason Witten","TE",147.88
"BRANDONWEEDEN","Brandon Weeden","QB",147.38
"JEREMYMACLIN","Jeremy Maclin","WR",146.13
"JUSTINBLACKMON","Justin Blackmon","WR",144.43
"BRANDONLLOYD","Brandon Lloyd","WR",143.88
"ANQUANBOLDIN","Anquan Boldin","WR",142.43
"BRIANHARTLINE","Brian Hartline","WR",141.38
"MICHAELVICK","Michael Vick","QB",139.18
"JORDYNELSON","Jordy Nelson","WR",138.13
"DENARIUSMOORE","Denarius Moore","WR",137.27
"SIDNEYRICE","Sidney Rice","WR",137.1
"GREGOLSEN","Greg Olsen","TE",136.38
"DEANGELOWILLIAMS","DeAngelo Williams","RB",134.08
"MALCOMFLOYD","Malcom Floyd","WR",133.75
"PERCYHARVIN","Percy Harvin","WR",133.71
"GOLDENTATE","Golden Tate","WR",132.92
"OWENDANIELS","Owen Daniels","TE",129.5
"DANNYWOODHEAD","Danny Woodhead","RB",128.71
"JOSHGORDON","Josh Gordon","WR",128.63
"ANTONIOBROWN","Antonio Brown","WR",128.44
"ANDREROBERTS","Andre Roberts","WR",128.08
"DENNISPITTA","Dennis Pitta","TE",127.63
"BRANDONMYERS","Brandon Myers","TE",126.75
"LARRYFITZGERALD","Larry Fitzgerald","WR",126.75
"DANARIOALEXANDER","Danario Alexander","WR",125.25
"JEREMYKERLEY","Jeremy Kerley","WR",122.02
"CHRISGIVENS","Chris Givens","WR",121.23
"JERMAINEGRESHAM","Jermaine Gresham","TE",120.13
"JOIQUEBELL","Joique Bell","RB",120.11
"KYLERUDOLPH","Kyle Rudolph","TE",119.65
"NATEWASHINGTON","Nate Washington","WR",119.25
"JAKELOCKER","Jake Locker","QB",119.14
