Player,Action,,Opp,Owner,Projected,Actual,% Owned,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,Fan Pts
Tom Brady,The trade action is disabled,Add to Watch List,Mia,Utopian Ewes,7,4,100%,"4,827",34,8,32,4,0,0,0,0,0,0,334.28
(NE - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,The trade action is disabled,Add to Watch List,@Min,Thor's Hammer,5,3,100%,"4,295",39,8,259,2,-1,0,0,0,1,4,331.58
(GB - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Drew Brees,The trade action is disabled,Add to Watch List,Car,BigD'sAllUpInYaGrill,9,2,100%,"5,177",43,19,5,1,0,0,0,0,0,1,326.58
(NO - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Adrian Peterson,The trade action is disabled,Add to Watch List,GB,Oops I Feed My Pants,31,1,100%,0,0,0,"2,097",12,217,1,0,0,1,2,312.83
(Min - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Robert Griffin III,The trade action is disabled,Add to Watch List,Dal,Utopian Ewes,74,6,98%,"3,200",20,5,826,7,0,0,0,0,0,2,312.6
(Was - QB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Cam Newton,The trade action is disabled,Add to Watch List,@NO,Cammy Cam Juice,18,5,99%,"3,869",19,12,741,8,6,0,0,0,0,3,308.61
(Car - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Peyton Manning,The trade action is disabled,Add to Watch List,KC,Oops I Feed My Pants,64,8,99%,"4,659",37,11,7,0,0,0,0,0,1,2,298.06
(Den - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Matt Ryan,The drop action is disabled,Add to Watch List,TB,Timbuktukian Icemen,41,10,99%,"4,719",32,14,138,1,0,0,0,0,0,2,290.56
(Atl - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Doug Martin,The trade action is disabled,Add to Watch List,@Atl,Utopian Ewes,40,7,99%,0,0,0,"1,454",11,472,1,0,0,0,1,274.4
(TB - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Calvin Johnson,The trade action is disabled,Add to Watch List,Chi,Thor's Hammer,4,18,100%,0,0,0,0,0,"1,964",5,0,0,0,3,268.5
(Det - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Arian Foster,The drop action is disabled,Add to Watch List,@Ind,Timbuktukian Icemen,1,9,100%,0,0,0,"1,424",15,217,2,0,0,0,2,266.53
(Hou - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Russell Wilson,The trade action is disabled,Add to Watch List,StL,StartRussellWilson,245,16,42%,"3,118",26,10,489,4,0,0,0,0,0,3,263.62
(Sea - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Marshall,The trade action is disabled,Add to Watch List,@Det,BigD'sAllUpInYaGrill,25,19,100%,0,0,0,-2,0,"1,508",11,0,0,0,0,258.3
(Chi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tony Romo,The drop action is disabled,Add to Watch List,@Was,Timbuktukian Icemen,60,13,92%,"4,903",28,19,49,1,-1,0,0,0,2,3,256.9
(Dal - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Matthew Stafford,The trade action is disabled,Add to Watch List,Chi,StartRussellWilson,16,15,98%,"4,967",20,17,126,4,3,0,0,0,1,4,256.66
(Det - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Andrew Luck,The trade action is disabled,Add to Watch List,Hou,Oops I Feed My Pants,110,14,92%,"4,374",23,18,255,5,0,0,0,0,0,5,256.46
(Ind - QB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marshawn Lynch,The trade action is disabled,Add to Watch List,StL,Porta-Potty-Passing,14,11,100%,0,0,0,"1,590",11,196,1,0,0,0,2,252.5
(Sea - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Alfred Morris,The trade action is disabled,Add to Watch List,Dal,Thor's Hammer,240,12,96%,0,0,0,"1,610",13,77,0,0,0,0,3,242.63
(Was - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dez Bryant,The trade action is disabled,Add to Watch List,@Was,Oops I Feed My Pants,53,21,97%,0,0,0,-5,0,"1,382",12,66,0,1,2,242.57
(Dal - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
A.J. Green,The trade action is disabled,Add to Watch List,Bal,Illegal Touching,15,27,100%,0,0,0,38,0,"1,350",11,0,0,0,1,237.55
(Cin - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ray Rice,The drop action is disabled,Add to Watch List,@Cin,Timbuktukian Icemen,2,17,100%,0,0,0,"1,143",9,478,1,0,0,0,0,236.05
(Bal - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Demaryius Thomas,The trade action is disabled,Add to Watch List,KC,Bush-Leeeague Arby's,58,29,99%,0,0,0,0,0,"1,434",10,0,0,0,3,231.25
(Den - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Andy Dalton,The trade action is disabled,Add to Watch List,Bal,Illegal Touching,137,22,80%,"3,669",27,16,120,4,0,0,0,0,0,4,230.76
(Cin - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Josh Freeman,The trade action is disabled,Add to Watch List,@Atl,Porta-Potty-Passing,119,23,77%,"4,065",27,17,139,0,0,0,0,0,1,2,229.5
(TB - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Vincent Jackson,The drop action is disabled,Add to Watch List,@Atl,Timbuktukian Icemen,67,30,98%,0,0,0,0,0,"1,384",8,2,0,1,0,227.04
(TB - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Andre Johnson,The trade action is disabled,Add to Watch List,@Ind,StartRussellWilson,27,35,100%,0,0,0,0,0,"1,598",4,0,0,0,0,225.75
(Hou - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joe Flacco,The trade action is disabled,Add to Watch List,@Cin,Bush-Leeeague Arby's,134,32,65%,"3,817",22,10,22,3,0,0,0,0,1,4,220.88
(Bal - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
C.J. Spiller,The trade action is disabled,Add to Watch List,NYJ,Cammy Cam Juice,86,20,97%,0,0,0,"1,244",6,459,2,0,0,0,3,220.78
(Buf - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Eli Manning,The trade action is disabled,Add to Watch List,Phi,Porta-Potty-Passing,52,31,96%,"3,948",26,15,30,0,0,0,0,0,0,1,216.92
(NYG - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Sam Bradford,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),187,34,26%,"3,702",21,13,127,1,0,0,0,0,4,1,216.78
(StL - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Eric Decker,The trade action is disabled,Add to Watch List,KC,BigD'sAllUpInYaGrill,51,33,97%,0,0,0,0,0,"1,064",13,22,0,0,0,214.44
(Den - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Julio Jones,The trade action is disabled,Add to Watch List,TB,Thor's Hammer,20,36,100%,0,0,0,30,0,"1,198",10,0,0,0,0,213.75
(Atl - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Trent Richardson,The trade action is disabled,Add to Watch List,@Pit,Bush-Leeeague Arby's,26,25,98%,0,0,0,950,11,367,1,0,0,0,0,212.88
(Cle - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,The trade action is disabled,Add to Watch List,Cle,Bush-Leeeague Arby's,76,42,81%,"3,265",26,8,92,0,0,0,0,0,1,3,212.8
(Pit - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Roddy White,The trade action is disabled,Add to Watch List,TB,Porta-Potty-Passing,23,39,100%,0,0,0,0,0,"1,351",7,0,0,0,0,211.88
(Atl - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Wes Welker,The trade action is disabled,Add to Watch List,Mia,Bush-Leeeague Arby's,34,45,100%,0,0,0,20,0,"1,354",6,276,0,0,1,211.77
(NE - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Matt Schaub,The trade action is disabled,Add to Watch List,@Ind,Porta-Potty-Passing,126,41,80%,"4,008",22,12,-9,0,-6,0,0,0,0,0,210.67
(Hou - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Randall Cobb,The drop action is disabled,Add to Watch List,@Min,Timbuktukian Icemen,123,56,95%,0,0,0,132,0,954,8,"1,256",1,0,1,209.57
(GB - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jamaal Charles,The trade action is disabled,Add to Watch List,@Den,Bush-Leeeague Arby's,17,24,99%,0,0,0,"1,509",5,236,1,0,0,0,3,208.4
(KC - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Frank Gore,The trade action is disabled,Add to Watch List,Ari,Oops I Feed My Pants,57,26,98%,0,0,0,"1,212",8,234,1,0,0,0,1,207.45
(SF - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Carson Palmer,The trade action is disabled,Add to Watch List,@SD,Illegal Touching,122,37,60%,"4,018",22,14,36,1,0,0,0,0,2,5,207.32
(Oak - QB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Reggie Wayne,The trade action is disabled,Add to Watch List,Hou,Utopian Ewes,83,52,97%,0,0,0,-5,0,"1,355",5,0,0,0,1,201.88
(Ind - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Stevan Ridley,The trade action is disabled,Add to Watch List,Mia,StartRussellWilson,79,28,96%,0,0,0,"1,263",12,51,0,0,0,0,2,200.68
(NE - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marques Colston,The trade action is disabled,Add to Watch List,Car,Bush-Leeeague Arby's,39,44,99%,0,0,0,0,0,"1,154",10,0,0,0,2,199.25
(NO - WR),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Victor Cruz,The trade action is disabled,Add to Watch List,Phi,StartRussellWilson,21,48,100%,0,0,0,0,0,"1,092",10,0,0,0,0,198.5
(NYG - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ryan Fitzpatrick,The add action is disabled,Add to Watch List,NYJ,W (Mar 6),138,47,40%,"3,400",24,16,197,1,0,0,0,0,0,6,193.7
(Buf - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Crabtree,The trade action is disabled,Add to Watch List,Ari,Cammy Cam Juice,129,50,84%,0,0,0,8,0,"1,105",9,0,0,0,0,192.93
(SF - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Philip Rivers,The trade action is disabled,Add to Watch List,Oak,Bush-Leeeague Arby's,66,51,75%,"3,606",26,15,40,0,0,0,0,0,0,7,188.24
(SD - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Matt Forte,The trade action is disabled,Add to Watch List,@Det,Illegal Touching,10,38,99%,0,0,0,"1,094",5,340,1,0,0,0,1,186.9
(Chi - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
James Jones,The trade action is disabled,Add to Watch List,@Min,StartRussellWilson,183,54,87%,0,0,0,0,0,784,14,0,0,0,0,183
(GB - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mike Williams,The trade action is disabled,Add to Watch List,@Atl,Cammy Cam Juice,100,61,85%,28,0,0,0,0,996,9,0,0,0,0,181.62
(TB - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chris Johnson,The trade action is disabled,Add to Watch List,Jac,Bush-Leeeague Arby's,8,40,99%,0,0,0,"1,243",6,232,0,0,0,0,4,178.3
(Ten - RB),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Reggie Bush,The trade action is disabled,Add to Watch List,@NE,Bush-Leeeague Arby's,43,43,96%,0,0,0,986,6,292,2,0,0,0,2,178.1
(Mia - RB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Christian Ponder,The add action is disabled,Add to Watch List,GB,W (Mar 6),186,65,16%,"2,935",18,12,253,2,-15,0,0,0,1,5,176.83
(Min - QB),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jimmy Graham,The trade action is disabled,Add to Watch List,Car,Utopian Ewes,11,46,100%,0,0,0,0,0,982,9,0,0,0,0,176.75
(NO - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Steve Smith,The trade action is disabled,Add to Watch List,@NO,Thor's Hammer,35,67,97%,0,0,0,27,0,"1,174",4,0,0,0,1,172.45
(Car - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Darren Sproles,The trade action is disabled,Add to Watch List,Car,BigD'sAllUpInYaGrill,48,68,93%,0,0,0,244,1,667,7,666,0,1,0,171.1
(NO - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Stevie Johnson,The trade action is disabled,Add to Watch List,NYJ,BigD'sAllUpInYaGrill,56,72,92%,0,0,0,0,0,"1,046",6,0,0,0,1,170.75
(Buf - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Steven Jackson,The trade action is disabled,Add to Watch List,@Sea,Porta-Potty-Passing,28,53,95%,0,0,0,"1,042",4,321,0,0,0,1,0,170.33
(StL - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Shonn Greene,The trade action is disabled,Add to Watch List,@Buf,BigD'sAllUpInYaGrill,72,49,89%,0,0,0,"1,063",8,151,0,0,0,0,1,170.18
(NYJ - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Colin Kaepernick,The trade action is disabled,Add to Watch List,Ari,Thor's Hammer,320,94,56%,"1,814",10,3,415,5,0,0,0,0,0,2,169.06
(SF - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jay Cutler,The add action is disabled,Add to Watch List,@Det,W (Mar 6),82,71,52%,"3,033",19,14,233,0,0,0,0,0,0,4,168.62
(Chi - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
T.Y. Hilton,The trade action is disabled,Add to Watch List,Hou,Utopian Ewes,247,74,74%,0,0,0,29,0,861,7,418,1,0,0,167.89
(Ind - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tony Gonzalez,The trade action is disabled,Add to Watch List,TB,Oops I Feed My Pants,105,57,99%,0,0,0,0,0,930,8,0,0,0,0,167.25
(Atl - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Lance Moore,The trade action is disabled,Add to Watch List,Car,Oops I Feed My Pants,111,69,86%,0,0,0,0,0,"1,041",6,5,0,0,0,167.23
(NO - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ryan Tannehill,The add action is disabled,Add to Watch List,@NE,W (Mar 6),1817,75,9%,"3,294",12,13,214,2,0,0,0,0,2,4,167.16
(Mia - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Rob Gronkowski,The trade action is disabled,Add to Watch List,Mia,Cammy Cam Juice,13,55,94%,0,0,0,0,0,790,11,0,0,0,1,162.75
(NE - TE),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Ahmad Bradshaw,The drop action is disabled,Add to Watch List,Phi,Timbuktukian Icemen,47,60,94%,0,0,0,"1,015",6,245,0,0,0,0,3,161.13
(NYG - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Cecil Shorts,The trade action is disabled,Add to Watch List,@Ten,Utopian Ewes,243,73,74%,0,0,0,-4,0,979,7,0,0,0,1,160.98
(Jac - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Turner,The trade action is disabled,Add to Watch List,TB,Thor's Hammer,46,59,95%,0,0,0,803,10,128,1,0,0,0,1,159.3
(Atl - RB),,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Torrey Smith,The trade action is disabled,Add to Watch List,@Cin,Bush-Leeeague Arby's,77,76,91%,0,0,0,9,0,855,8,0,0,0,0,156.78
(Bal - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Heath Miller,The trade action is disabled,Add to Watch List,Cle,Bush-Leeeague Arby's,193,63,88%,0,0,0,0,0,816,8,0,0,1,0,155
(Pit - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Miles Austin,The trade action is disabled,Add to Watch List,@Was,Porta-Potty-Passing,45,80,97%,0,0,0,0,0,943,6,0,0,0,1,154.88
(Dal - WR),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
BenJarvus Green-Ellis,The trade action is disabled,Add to Watch List,Bal,Utopian Ewes,73,62,93%,0,0,0,"1,094",6,104,0,0,0,0,2,153.9
(Cin - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mike Wallace,The trade action is disabled,Add to Watch List,Cle,Cammy Cam Juice,37,79,98%,0,0,0,7,0,836,8,0,0,0,1,153.2
(Pit - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
LeSean McCoy,The trade action is disabled,Add to Watch List,@NYG,Cammy Cam Juice,3,66,97%,0,0,0,840,2,373,3,0,0,0,3,152.63
(Phi - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mikel Leshoure,The trade action is disabled,Remove from Watch List,Chi,Illegal Touching,118,64,86%,0,0,0,798,9,214,0,0,0,0,3,152.55
(Det - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jason Witten,The trade action is disabled,Add to Watch List,@Was,Oops I Feed My Pants,96,70,97%,0,0,0,0,0,"1,039",3,0,0,0,0,147.88
(Dal - TE),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
