"name","name_yahoo","pos","team_yahoo","actualPts"
"PEYTONMANNING","Peyton Manning","QB","DEN",403.98
"DREWBREES","Drew Brees","QB","NO",347.68
"JAMAALCHARLES","Jamaal Charles","RB","KC",308
"CAMNEWTON","Cam Newton","QB","CAR",302.66
"ANDREWLUCK","Andrew Luck","QB","IND",297.58
"ANDYDALTON","Andy Dalton","QB","CIN",294.02
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",293.9
"PHILIPRIVERS","Philip Rivers","QB","SD",286.42
"RUSSELLWILSON","Russell Wilson","QB","SEA",275.18
"LESEANMCCOY","LeSean McCoy","RB","PHI",272.6
"TONYROMO","Tony Romo","QB","DAL",270.92
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",268.84
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",264.28
"ALEXSMITH","Alex Smith","QB","KC",260.22
"MATTRYAN","Matt Ryan","QB","ATL",257.1
"TOMBRADY","Tom Brady","QB","NE",256.52
"NICKFOLES","Nick Foles","QB","PHI",253.74
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",251.32
"MATTFORTE","Matt Forte","RB","CHI",245.3
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",233.3
"CARSONPALMER","Carson Palmer","QB","ARI",231.26
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",230.6
"JOSHGORDON","Josh Gordon","WR","CLE",227.4
"JOEFLACCO","Joe Flacco","QB","BAL",225.58
"ROBERTGRIFFINIII","Robert Griffin III","QB","WAS",225.02
"CALVINJOHNSON","Calvin Johnson","WR","DET",219.2
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",215
"JIMMYGRAHAM","Jimmy Graham","TE","NO",211.5
"GENOSMITH","Geno Smith","QB","NYJ",208.74
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",205.1
"ANTONIOBROWN","Antonio Brown","WR","PIT",204.9
"ADRIANPETERSON","Adrian Peterson","RB","MIN",203.7
"AJGREEN","A.J. Green","WR","CIN",202.6
