Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,No new player Notes,?,FA,395.98,100%,17,1,5477,55,10,-31,1,0,0,0,0,0,6
,Peyton Manning Den - QB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,343.68,100%,22,3,5162,39,12,52,3,0,0,0,0,0,2
,Drew Brees NO - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,327.33,100%,1,2,0,0,0,1287,12,693,7,0,0,0,2
,Jamaal Charles KC - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,292.08,100%,2,4,0,0,0,1607,9,539,2,0,0,0,1
,LeSean McCoy Phi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,285.66,95%,56,6,3379,24,13,585,6,0,0,0,0,0,1
,Cam Newton Car - QB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,283.08,95%,55,8,3822,23,9,377,4,0,0,0,0,4,2
,Andrew Luck Ind - QB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,280.15,100%,6,5,0,0,0,1339,9,594,3,0,0,1,2
,Matt Forte Chi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,276.2,83%,78,14,4478,32,11,72,0,-9,0,0,0,0,2
,Philip Rivers SD - QB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,269.55,43%,151,13,0,0,0,88,0,1646,9,0,0,0,0
,Josh Gordon Cle - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,266.52,73%,118,11,4293,33,20,183,2,0,0,0,0,0,3
,Andy Dalton Cin - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,264.75,100%,10,16,0,0,0,0,0,1430,14,0,0,0,0
,Demaryius Thomas Den - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,260.18,80%,83,17,3357,26,9,539,1,0,0,0,0,0,5
,Russell Wilson Sea - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,259.4,100%,54,12,4650,29,19,69,2,0,0,0,0,2,4
,Matthew Stafford Det - QB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,256.74,80%,72,33,2891,27,2,221,3,0,0,0,0,2,2
,Nick Foles Phi - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,256.5,100%,7,15,0,0,0,0,0,1492,12,0,0,0,1
,Calvin Johnson Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,253.28,75%,88,25,3197,21,8,524,4,0,0,0,0,0,4
,Colin Kaepernick SF - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,252.88,100%,26,20,15,0,0,4,0,1499,8,425,1,0,0
,Antonio Brown Pit - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,252.2,100%,5,7,0,0,0,1257,12,316,2,0,0,0,1
,Marshawn Lynch Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,251.3,63%,71,9,0,0,0,1038,10,548,3,0,0,0,0
,Knowshon Moreno Mia - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,250.88,100%,8,10,0,0,0,0,0,1215,16,0,0,0,0
,Jimmy Graham NO - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,249.92,83%,74,18,3828,31,10,38,0,0,0,0,0,1,1
,Tony Romo Dal - QB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,247.25,100%,11,23,0,0,0,0,0,1426,11,0,0,0,0
,A.J. Green Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,244.12,23%,145,27,3313,23,7,431,1,-4,0,0,0,0,3
,Alex Smith KC - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,238.97,63%,107,21,4261,28,14,99,1,5,0,0,0,0,6
,Ben Roethlisberger Pit - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,237.72,100%,14,26,0,0,0,0,0,1295,12,-8,0,2,0
,Brandon Marshall Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,235.52,88%,65,32,4343,25,11,18,0,0,0,0,0,1,3
,Tom Brady NE - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,233.13,98%,21,28,0,0,0,105,0,1421,7,0,0,1,1
,Alshon Jeffery Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,231.73,98%,12,29,0,0,0,1,0,1233,13,0,0,0,1
,Dez Bryant Dal - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,228.04,78%,82,35,0,0,0,0,0,1288,11,2,0,0,1
,Eric Decker NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,227.1,98%,59,31,4515,26,17,55,0,0,0,0,0,0,4
,Matt Ryan Atl - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,223.32,85%,48,34,0,0,0,2,0,1332,9,81,0,0,0
,DeSean Jackson Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,218.32,18%,160,36,3913,24,17,238,1,0,0,0,0,0,5
,Ryan Tannehill Mia - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,214.93,100%,4,24,0,0,0,1178,11,257,0,0,0,0,1
,Eddie Lacy GB - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,213.85,100%,20,19,0,0,0,1121,9,350,1,0,0,0,1
,DeMarco Murray Dal - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,213.25,100%,25,40,0,0,0,0,0,1314,8,0,0,0,0
,Jordy Nelson GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,211.88,100%,37,43,0,0,0,0,0,1407,5,0,0,0,0
,Andre Johnson Hou - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,206.98,100%,3,22,0,0,0,1266,10,171,1,0,0,0,3
,Adrian Peterson Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,205.83,65%,70,30,0,0,0,1077,6,345,4,0,0,0,2
