"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"ANDREWLUCK","Andrew Luck","QB","IND",4761,40,16,64,273,3,0,0,0,0,0,0,6,367.74
"AARONRODGERS","Aaron Rodgers","QB","GB",4381,38,5,43,269,2,0,0,0,0,0,1,2,359.14
"RUSSELLWILSON","Russell Wilson","QB","SEA",3475,20,7,118,849,6,1,1,17,0,0,0,0,334.6
"PEYTONMANNING","Peyton Manning","QB","DEN",4727,39,15,24,-24,0,0,0,0,0,0,2,2,327.68
"DREWBREES","Drew Brees","QB","NO",4952,33,17,27,68,1,1,1,1,0,0,0,3,319.98
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",4952,32,9,33,27,0,0,0,-6,0,0,3,5,315.18
"MATTRYAN","Matt Ryan","QB","ATL",4694,28,14,29,145,0,0,0,0,0,0,1,2,298.26
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,392,1845,13,64,57,416,0,0,0,5,294.1
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",4045,27,12,56,311,1,1,1,-4,0,0,0,2,290.5
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,290,1361,8,105,83,854,3,0,0,0,287.5
"TOMBRADY","Tom Brady","QB","NE",4109,33,9,36,57,0,0,0,0,0,0,0,3,287.06
"PHILIPRIVERS","Philip Rivers","QB","SD",4286,31,18,37,102,0,0,0,0,0,0,0,2,283.64
"ELIMANNING","Eli Manning","QB","NYG",4410,30,14,12,31,1,0,0,0,0,0,0,4,283.5
"TONYROMO","Tony Romo","QB","DAL",3705,34,9,26,61,0,0,0,0,0,0,0,3,275.3
"JOEFLACCO","Joe Flacco","QB","BAL",3986,27,12,39,70,2,0,0,0,0,0,0,0,274.44
"JAYCUTLER","Jay Cutler","QB","CHI",3812,28,18,39,191,2,0,0,0,0,0,4,6,273.58
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,280,1306,13,48,37,367,4,0,0,2,265.3
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4257,22,12,43,93,2,0,0,0,0,0,1,3,263.58
"CAMNEWTON","Cam Newton","QB","CAR",3127,18,12,103,539,5,0,0,0,0,0,1,5,260.98
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",3369,19,10,104,639,1,0,0,0,0,0,0,5,260.66
"ANTONIOBROWN","Antonio Brown","WR","PIT",20,1,0,4,13,0,181,129,1698,13,1,1,2,257.9
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,266,1038,6,130,102,808,4,0,2,2,244.6
"ANDYDALTON","Andy Dalton","QB","CIN",3398,19,17,60,169,4,1,1,18,1,0,1,2,241.62
"ARIANFOSTER","Arian Foster","RB","HOU",5,1,0,260,1246,8,59,38,327,5,0,0,2,235.5
"EDDIELACY","Eddie Lacy","RB","GB",0,0,0,246,1139,9,55,42,427,4,0,0,2,230.6
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,0,151,98,1519,13,0,0,0,229.9
