"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"NOR","RB","DALTONHILLIARD",291,1,"Dalton Hilliard*",25,16,16,1,1,35,1,0,344,1262,3.67,13,52,514,9.88,5,291,171,1,1,1.4,4,0,126.2,78,51.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,1,195.7
"BUF","RB","THURMANTHOMAS",263.3,3,"Thurman Thomas*",23,16,16,0,0,0,0,0,298,1244,4.17,6,60,669,11.15,6,263,143,2,3,0,0,0,124.4,36,66.9,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,2,168
"CHI","RB","NEALANDERSON",260.9,4,"Neal Anderson*",25,16,16,0,0,0,0,0,274,1275,4.65,11,50,434,8.68,4,261,141,3,4,0,0,0,127.5,66,43.4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,3,165.6
"DET","RB","BARRYSANDERS",259.2,5,"Barry Sanders*+",21,15,13,0,0,0,0,0,280,1470,5.25,14,24,282,11.75,0,259,139,4,5,0,0,0,147,84,28.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,4,163.9
"SFO","WR","JERRYRICE",253.6,2,"Jerry Rice*+",27,16,16,0,0,0,0,0,5,33,6.6,0,82,1483,18.09,17,254,146,1,2,0,0,0,3.3,0,148.3,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,11,1,160.6
"GNB","QB","DONMAJKOWSKI",306.52,6,"Don Majkowski*",25,16,16,353,599,4318,27,20,75,358,4.77,5,0,0,NA,0,307,114,1,6,172.72,108,-40,35.8,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,1,135.98
"KAN","RB","CHRISTIANOKOYE",221.2,8,"Christian Okoye*+",28,15,14,0,0,0,0,0,370,1480,4,12,2,12,6,0,221,101,5,8,0,0,0,148,72,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,5,125.9
"GNB","WR","STERLINGSHARPE",216.8,7,"Sterling Sharpe*+",24,16,16,0,0,0,0,0,2,25,12.5,0,90,1423,15.81,12,217,109,2,7,0,0,0,2.5,0,142.3,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,2,123.8
"NYG","RB","OTTISANDERSON",213.1,9,"Ottis Anderson",32,16,16,0,0,0,0,0,325,1023,3.15,14,28,268,9.57,0,213,93,6,9,0,0,0,102.3,84,26.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,17,6,117.8
"RAM","RB","GREGBELL",212.2,10,"Greg Bell",27,16,15,0,0,0,0,0,272,1137,4.18,15,19,85,4.47,0,212,92,7,10,0,0,0,113.7,90,8.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,18,7,116.9
"CIN","RB","JAMESBROOKS",208.5,12,"James Brooks*",31,16,14,0,0,0,0,0,221,1239,5.61,7,37,306,8.27,2,209,88,8,12,0,0,0,123.9,42,30.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,19,8,113.2
"PHI","QB","RANDALLCUNNINGHAM",276.1,13,"Randall Cunningham*",26,16,16,290,532,3400,21,15,104,621,5.97,4,0,0,NA,0,276,84,2,13,136,84,-30,62.1,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,2,105.56
"IND","RB","ERICDICKERSON",200.2,16,"Eric Dickerson*",29,15,14,0,0,0,0,0,314,1311,4.18,7,30,211,7.03,1,200,80,9,16,0,0,0,131.1,42,21.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,21,9,104.9
"TAM","WR","MARKCARRIER",196.2,11,"Mark Carrier*",24,16,15,0,0,0,0,0,0,0,NA,0,86,1422,16.53,9,196,88,3,11,0,0,0,0,0,142.2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,23,3,103.2
"SFO","RB","ROGERCRAIG",194.7,20,"Roger Craig*",29,16,16,0,0,0,0,0,271,1054,3.89,6,49,473,9.65,1,195,75,10,20,0,0,0,105.4,36,47.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,24,10,99.4
"SFO","QB","JOEMONTANA",269.54,19,"Joe Montana*+",33,13,13,271,386,3521,26,8,49,227,4.63,3,0,0,NA,0,270,77,3,19,140.84,104,-16,22.7,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,3,99
"BUF","WR","ANDREREED",188.3,15,"Andre Reed*",25,16,16,0,0,0,0,0,2,31,15.5,0,88,1312,14.91,9,188,81,4,15,0,0,0,3.1,0,131.2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,26,4,95.3
