"name","pos","team","year","points","overallRank","positionRank","vor"
"CHRISJOHNSON","RB","TEN",2009,346.9,1,1,233.4
"ADRIANPETERSON","RB","MIN",2009,289.9,4,2,176.4
"MAURICEJONESDREW","RB","JAX",2009,272.5,11,3,159
"RAYRICE","RB","BAL",2009,252.1,13,4,138.6
"AARONRODGERS","QB","GNB",2009,344.96,2,1,120.64
"FRANKGORE","RB","SFO",2009,230.6,17,5,117.1
"THOMASJONES","RB","NYJ",2009,230,18,6,116.5
"ANDREJOHNSON","WR","HOU",2009,211.9,24,1,111.3
"RANDYMOSS","WR","NWE",2009,204.4,28,2,103.8
"RICKYWILLIAMS","RB","MIA",2009,214.5,23,7,101
"RYANGRANT","RB","GNB",2009,211,25,8,97.5
"MILESAUSTIN","WR","DAL",2009,197.8,30,3,97.2
"DESEANJACKSON","WR","PHI",2009,189.3,35,4,88.7
"LARRYFITZGERALD","WR","ARI",2009,187.2,38,5,86.6
"JOSEPHADDAI","RB","IND",2009,199.28,29,9,85.78
"STEVENJACKSON","RB","STL",2009,197.8,30,10,84.3
"REGGIEWAYNE","WR","IND",2009,184.4,40,6,83.8
"RODDYWHITE","WR","ATL",2009,181.5,42,7,80.9
"DREWBREES","QB","NOR",2009,304.42,3,2,80.1
"JONATHANSTEWART","RB","CAR",2009,193.2,33,11,79.7
"SIDNEYRICE","WR","MIN",2009,179.2,43,8,78.6
"JAMAALCHARLES","RB","KAN",2009,189.7,34,12,76.2
"BRANDONMARSHALL","WR","DEN",2009,175.9,46,9,75.3
"RASHARDMENDENHALL","RB","PIT",2009,184.9,39,13,71.4
"VINCENTJACKSON","WR","SDG",2009,171.8,51,10,71.2
"DEANGELOWILLIAMS","RB","CAR",2009,178.9,44,14,65.4
"STEVESMITH","WR","NYG",2009,164,57,11,63.4
"BRETTFAVRE","QB","MIN",2009,286.58,5,3,62.26
"WESWELKER","WR","NWE",2009,162.4,60,12,61.8
"MARQUESCOLSTON","WR","NOR",2009,162,61,13,61.4
"CHADJOHNSON","WR","CIN",2009,161.9,62,14,61.3
"VERNONDAVIS","TE","SFO",2009,174.5,48,1,59.5
"FREDJACKSON","RB","BUF",2009,172.38,49,15,58.88
"CEDRICBENSON","RB","CIN",2009,172.2,50,16,58.7
"MATTSCHAUB","QB","HOU",2009,282.5,6,4,58.18
"TONYROMO","QB","DAL",2009,281.82,7,5,57.5
"DALLASCLARK","TE","IND",2009,171.7,52,2,56.7
"KNOWSHONMORENO","RB","DEN",2009,170,54,17,56.5
"SANTONIOHOLMES","WR","PIT",2009,155.4,68,15,54.8
"PEYTONMANNING","QB","IND",2009,278.7,8,6,54.38
"HINESWARD","WR","PIT",2009,152.7,70,16,52.1
"PHILIPRIVERS","QB","SDG",2009,275.16,9,7,50.84
"MATTFORTE","RB","CHI",2009,164,57,18,50.5
"BENROETHLISBERGER","QB","PIT",2009,273.32,10,8,49
"ANTONIOGATES","TE","SDG",2009,163.7,59,3,48.7
"TOMBRADY","QB","NWE",2009,272.32,12,9,48
"LADAINIANTOMLINSON","RB","SDG",2009,160.4,63,19,46.9
"DERRICKMASON","WR","BAL",2009,145,86,17,44.4
"PIERRETHOMAS","RB","NOR",2009,157.5,65,20,44
"MARIONBARBER","RB","DAL",2009,157.3,66,21,43.8
"DONALDDRIVER","WR","GNB",2009,143.4,89,18,42.8
"STEVESMITH","WR","CAR",2009,142.4,91,19,41.8
"MICHAELTURNER","RB","ATL",2009,150.6,73,22,37.1
