"name","nameMerge","pos","team","year","points","overallRank","positionRank","vor"
"ARIAN FOSTER","ARIANFOSTER","RB","HOU",2010,330,1,1,229.4
"PEYTON HILLIS","PEYTONHILLIS","RB","CLE",2010,243.92,11,2,143.32
"ADRIAN PETERSON","ADRIANPETERSON","RB","MIN",2010,241.9,12,3,141.3
"JAMAAL CHARLES","JAMAALCHARLES","RB","KAN",2010,241.5,13,4,140.9
"CHRIS JOHNSON","CHRISJOHNSON","RB","TEN",2010,232.9,16,5,132.3
"DARREN MCFADDEN","DARRENMCFADDEN","RB","OAK",2010,226.4,20,6,125.8
"RASHARD MENDENHALL","RASHARDMENDENHALL","RB","PIT",2010,222,21,7,121.4
"LESEAN MCCOY","LESEANMCCOY","RB","PHI",2010,221.2,22,8,120.6
"MICHAEL TURNER","MICHAELTURNER","RB","ATL",2010,217.6,25,9,117
"MATT FORTE","MATTFORTE","RB","CHI",2010,215.6,26,10,115
"RAY RICE","RAYRICE","RB","BAL",2010,213.6,28,11,113
"MAURICE JONESDREW","MAURICEJONESDREW","RB","JAX",2010,204.1,32,12,103.5
"AHMAD BRADSHAW","AHMADBRADSHAW","RB","NYG",2010,202.9,33,13,102.3
"BRANDON LLOYD","BRANDONLLOYD","WR","DEN",2010,209,29,1,101.9
"DWAYNE BOWE","DWAYNEBOWE","WR","KAN",2010,206.6,31,2,99.5
"STEVEN JACKSON","STEVENJACKSON","RB","STL",2010,198.4,37,14,97.8
"MICHAEL VICK","MICHAELVICK","QB","PHI",2010,314.32,2,1,94.16
"RODDY WHITE","RODDYWHITE","WR","ATL",2010,199.2,36,3,92.1
"GREG JENNINGS","GREGJENNINGS","WR","GNB",2010,198.4,37,4,91.3
"BENJARVUS GREENELLIS","BENJARVUSGREENELLIS","RB","NWE",2010,187.3,43,15,86.7
"AARON RODGERS","AARONRODGERS","QB","GNB",2010,306.48,3,2,86.32
"MIKE WALLACE","MIKEWALLACE","WR","PIT",2010,189.6,40,5,82.5
"TOM BRADY","TOMBRADY","QB","NWE",2010,301,4,3,80.84
"CALVIN JOHNSON","CALVINJOHNSON","WR","DET",2010,187.2,44,6,80.1
"CEDRIC BENSON","CEDRICBENSON","RB","CIN",2010,176.9,45,16,76.3
"PEYTON MANNING","PEYTONMANNING","QB","IND",2010,287.8,5,4,67.64
"PHILIP RIVERS","PHILIPRIVERS","QB","SDG",2010,287.6,6,5,67.44
"REGGIE WAYNE","REGGIEWAYNE","WR","IND",2010,171.5,48,7,64.4
"HAKEEM NICKS","HAKEEMNICKS","WR","NYG",2010,171.2,49,8,64.1
"LADAINIAN TOMLINSON","LADAINIANTOMLINSON","RB","NYJ",2010,164.2,54,17,63.6
"ANDRE JOHNSON","ANDREJOHNSON","WR","HOU",2010,170.6,50,9,63.5
"KNOWSHON MORENO","KNOWSHONMORENO","RB","DEN",2010,163.1,55,18,62.5
"MIKE TOLBERT","MIKETOLBERT","RB","SDG",2010,161.1,59,19,60.5
"STEVE JOHNSON","STEVEJOHNSON","WR","BUF",2010,167.3,51,10,60.2
"FRANK GORE","FRANKGORE","RB","SFO",2010,160.5,60,20,59.9
"FRED JACKSON","FREDJACKSON","RB","BUF",2010,156.2,70,21,55.6
"MIKE WILLIAMS","MIKEWILLIAMS","WR","TAM",2010,162.4,56,11,55.3
"MILES AUSTIN","MILESAUSTIN","WR","DAL",2010,161.4,58,12,54.3
"DREW BREES","DREWBREES","QB","NOR",2010,273.2,7,6,53.04
"JEREMY MACLIN","JEREMYMACLIN","WR","PHI",2010,160,61,13,52.9
"JASON WITTEN","JASONWITTEN","TE","DAL",2010,154.2,72,1,52.6
"DESEAN JACKSON","DESEANJACKSON","WR","PHI",2010,158,67,14,50.9
"TERRELL OWENS","TERRELLOWENS","WR","CIN",2010,152.3,73,15,45.2
"LARRY FITZGERALD","LARRYFITZGERALD","WR","ARI",2010,149.7,75,16,42.6
"JOSH FREEMAN","JOSHFREEMAN","QB","TAM",2010,262.44,8,7,42.28
"BRANDON JACOBS","BRANDONJACOBS","RB","NYG",2010,142.2,84,22,41.6
"MARIO MANNINGHAM","MARIOMANNINGHAM","WR","NYG",2010,148.6,76,17,41.5
"SANTANA MOSS","SANTANAMOSS","WR","WAS",2010,146.9,78,18,39.8
"JAHVID BEST","JAHVIDBEST","RB","DET",2010,140.2,86,23,39.6
"LEGARRETTE BLOUNT","LEGARRETTEBLOUNT","RB","TAM",2010,138.1,88,24,37.5
"MARQUES COLSTON","MARQUESCOLSTON","WR","NOR",2010,144.4,79,19,37.3
"THOMAS JONES","THOMASJONES","RB","KAN",2010,137.8,89,25,37.2
"ANTONIO GATES","ANTONIOGATES","TE","SDG",2010,138.2,87,2,36.6
"FELIX JONES","FELIXJONES","RB","DAL",2010,137,90,26,36.4
