"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","RAYRICE",300.84,"3","Ray Rice*","BAL",24,16,16,1,1,1,1,0,291,1364,4.69,12,76,704,9.26,3,301,152,1,3,0.04,4,0,136.4,72,70.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,6,1,200.14
"QB","AARONRODGERS",397.42,"1","Aaron Rodgers*+","GNB",28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,NA,0,397,171,1,1,185.72,180,-12,25.7,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,1,183.76
"RB","LESEANMCCOY",282.4,"8","LeSean McCoy*+","PHI",23,15,15,0,0,0,0,0,273,1309,4.79,17,48,315,6.56,3,282,134,2,8,0,0,0,130.9,102,31.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,8,2,181.7
"QB","DREWBREES",389.64,"2","Drew Brees*","NOR",32,16,16,468,657,5476,46,14,21,86,4.1,1,0,0,NA,0,396,169,2,2,219.04,184,-28,8.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2,2,175.98
"RB","MAURICEJONESDREW",264,"10","Maurice Jones-Drew*+","JAX",26,16,16,0,0,0,0,0,343,1606,4.68,8,43,374,8.7,3,264,115,3,10,0,0,0,160.6,48,37.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,12,3,163.3
"WR","CALVINJOHNSON",265.2,"4","Calvin Johnson*+","DET",26,16,16,0,0,0,0,0,1,11,11,0,96,1681,17.51,16,265,149,1,4,0,0,0,1.1,0,168.1,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,11,1,161.3
"QB","TOMBRADY",370.3,"6","Tom Brady*","NWE",34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,NA,0,370,144,4,6,209.4,156,-24,10.9,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,3,156.64
"QB","CAMNEWTON",369.34,"5","Cam Newton*","CAR",22,16,16,310,517,4051,21,17,126,706,5.6,14,1,27,27,0,373,147,3,5,162.04,84,-34,70.6,84,2.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,4,4,155.68
"RB","ARIANFOSTER",256.1,"11","Arian Foster*","HOU",25,13,13,0,0,0,0,0,278,1224,4.4,10,53,617,11.64,2,256,108,4,11,0,0,0,122.4,60,61.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,14,4,155.4
"QB","MATTHEWSTAFFORD",341.32,"9","Matthew Stafford","DET",23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,NA,0,345,119,5,9,201.52,164,-32,7.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,5,5,127.66
"TE","ROBGRONKOWSKI",240.9,"7","Rob Gronkowski*+","NWE",22,16,16,0,0,0,0,0,1,2,2,1,90,1327,14.74,17,241,143,1,7,0,0,0,0.2,6,132.7,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,17,1,126.2
"RB","MARSHAWNLYNCH",219.6,"18","Marshawn Lynch*","SEA",25,15,15,0,2,0,0,0,285,1204,4.22,12,28,212,7.57,1,220,71,5,18,0,0,0,120.4,72,21.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,20,5,118.9
