"pos","name","points","name_info","games","team","overall_rank","age","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","sack","fumlRec","int","defTD","ptsA","passYdsAPG","rushYdsAPG","safety","kickTD","pts","ptsPG","passYdsA","rushYdsA","ptsAPG","td","fumlRecoveryPts","intCaughtPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","JAMAALCHARLES",312,"Jamaal Charles*+","15","KAN",1,27,15,0,0,0,0,0,259,1287,4.97,12,70,693,9.9,7,308,182,1,1,0,0,0,128.7,72,69.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,1,207.9
"RB","LESEANMCCOY",280.6,"LeSean McCoy*+","16","PHI",2,25,16,0,0,0,0,0,314,1607,5.12,9,52,539,10.37,2,279,152,2,2,0,0,0,160.7,54,53.9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,9,2,176.5
"QB","PEYTONMANNING",421.98,"Peyton Manning*+","16","DEN",3,37,16,450,659,5477,55,10,32,-31,-0.97,1,0,0,NA,0,410,151,1,3,219.08,220,-20,-3.1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,1,168.46
"RB","MATTFORTE",265.3,"Matt Forte*","16","CHI",4,28,16,0,0,0,0,0,289,1339,4.63,9,74,594,8.03,3,263,137,3,4,0,0,0,133.9,54,59.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,13,3,161.2
"RB","MARSHAWNLYNCH",241.3,"Marshawn Lynch*","16","SEA",6,27,16,0,0,0,0,0,301,1257,4.18,12,36,316,8.78,2,239,113,4,6,0,0,0,125.7,72,31.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,20,4,137.2
"RB","KNOWSHONMORENO",236.6,"Knowshon Moreno","16","DEN",7,26,15,0,0,0,0,0,241,1038,4.31,10,60,548,9.13,3,237,110,5,7,0,0,0,103.8,60,54.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,21,5,132.5
"WR","JOSHGORDON",227.4,"Josh Gordon*+","14","CLE",8,22,14,0,0,0,0,0,5,88,17.6,0,87,1646,18.92,9,227,108,1,8,0,0,0,8.8,0,164.6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,22,1,122.7
"WR","DEMARYIUSTHOMAS",227,"Demaryius Thomas*","16","DEN",9,26,16,0,0,0,0,0,0,0,NA,0,92,1430,15.54,14,225,105,2,9,0,0,0,0,0,143,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,23,2,122.3
"WR","CALVINJOHNSON",221.2,"Calvin Johnson*+","14","DET",10,28,14,0,0,0,0,0,0,0,NA,0,84,1492,17.76,12,219,99,3,10,0,0,0,0,0,149.2,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,26,3,116.5
"QB","DREWBREES",361.68,"Drew Brees*","16","NOR",11,34,16,446,650,5162,39,12,35,52,1.49,3,0,0,NA,0,358,99,2,11,206.48,156,-24,5.2,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,2,108.16
"RB","ADRIANPETERSON",209.7,"Adrian Peterson*","14","MIN",18,28,14,0,0,0,0,0,279,1266,4.54,10,29,171,5.9,1,204,77,8,18,0,0,0,126.6,60,17.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,29,6,105.6
"RB","EDDIELACY",209.5,"Eddie Lacy*","15","GNB",14,22,15,0,0,0,0,0,284,1178,4.15,11,35,257,7.34,0,208,81,6,14,0,0,0,117.8,66,25.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,30,7,105.4
"WR","AJGREEN",208.6,"A.J. Green*","16","CIN",12,25,16,0,0,0,0,0,0,0,NA,0,98,1426,14.55,11,209,89,4,12,0,0,0,0,0,142.6,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,31,4,103.9
"RB","DEMARCOMURRAY",207.1,"DeMarco Murray*","14","DAL",17,25,14,0,0,0,0,0,217,1121,5.17,9,53,350,6.6,1,205,79,7,17,0,0,0,112.1,54,35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,33,8,103
"TE","JIMMYGRAHAM",217.5,"Jimmy Graham*+","16","NOR",5,27,11,0,0,0,0,0,0,0,NA,0,86,1215,14.13,16,218,124,1,5,0,0,0,0,0,121.5,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,27,1,99.9
"RB","CHRISJOHNSON",202.2,"Chris Johnson","16","TEN",21,28,16,0,0,0,0,0,279,1077,3.86,6,42,345,8.21,4,198,72,9,21,0,0,0,107.7,36,34.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,35,9,98.1
"WR","BRANDONMARSHALL",201.5,"Brandon Marshall*","16","CHI",13,29,16,0,0,0,0,0,0,0,NA,0,100,1295,12.95,12,206,86,5,13,0,0,0,0,0,129.5,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,38,5,96.8
"WR","DEZBRYANT",201.4,"Dez Bryant*","16","DAL",15,25,16,0,0,0,0,0,1,1,1,0,93,1233,13.26,13,199,80,6,15,0,0,0,0.1,0,123.3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,39,6,96.7
"WR","ANTONIOBROWN",198.9,"Antonio Brown*","16","PIT",16,25,14,1,1,15,0,0,7,4,0.57,0,110,1499,13.63,8,199,79,7,16,0.6,0,0,0.4,0,149.9,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,40,7,94.2
"WR","ERICDECKER",194.8,"Eric Decker","16","DEN",20,26,16,0,0,0,0,0,0,0,NA,0,87,1288,14.8,11,193,73,9,20,0,0,0,0,0,128.8,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,41,8,90.1
"WR","ALSHONJEFFERY",194.6,"Alshon Jeffery*","16","CHI",19,23,14,0,0,0,0,0,16,105,6.56,0,89,1421,15.97,7,195,75,8,19,0,0,0,10.5,0,142.1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,42,9,89.9
