"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,17.5407559244076,1,339.016994351054,321.7,346.76,343.28,363,349.5,347.408,330.92,356.98,329.1,337.2,330.52,359.2,276.76,335.98,NA,336.06,333.429083333333,339.016994351054,93.9346802345298,8.1565,20.6462390828612,4.86420287774984,47.5,44,45.75,47.5,11.1,53.4,5.5,45,7,8.5,3.9,45.75,57
"AARONRODGERS","Aaron Rodgers","QB","GB",2,22.2298370162984,2,317.275330370408,291.16,337.46,340.26,344.62,335.42,335.48,293.74,328.2,314.8,324,301.96,336.9,290,330.08,NA,302.16,318.002083333333,317.275330370408,72.1930162538839,6.6652,19.5645659292508,4.59709820409894,38.5,36,37.25,38.5,20.2,44.4,10.5,41,15,18.3,5,37.25,47
"DREWBREES","Drew Brees","QB","NO",3,22.0477452254775,3,315.116297253094,317.46,323.6,322.42,318.6,326.08,320.61,312.92,324.42,305.92,300.5,299.8,326.5,310.8,328.22,NA,310.4,315.920458333333,315.116297253094,70.0339831365705,6.7152,9.3688183429319,3.59816857629629,41.6,38,39.8,41.6,17.1,39.5,13.2,39,13,16.9,4.6,39.8,50
"ANDREWLUCK","Andrew Luck","QB","IND",4,54.3732326767323,4,288.389160750172,352.51,302.58,275.36,279.34,293.98,284.47,288,294.1,295.96,301.8,293.5,298,256.2,306,NA,267.38,289.354708333333,288.389160750172,43.3068466336482,9.0565,21.5799689527117,5.05307406935641,5.7,16,10.85,16,55.9,15.2,38.9,23,43,49.4,7.9,10.85,14
"NICKFOLES","Nick Foles","QB","PHI",5,70.5740475952405,5,276.396240810082,259.74,270.3,294.7,275.06,294.64,283.604,288.3,299.3,284.14,282.8,280.38,282,268.02,286.94,NA,281.14,277.014541666667,276.396240810082,31.3139266935579,11.0065,10.5948968272915,4.18095155173792,3.6,14,8.8,14,64.9,9.6,57.8,14,57,70.8,11.4,8.8,11
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",6,75.1095940405959,6,275.660434167799,292.3,300.32,270.8,280.86,292.2,280.684,257.96,268.88,274.52,289.3,263.68,279,257.24,296.84,NA,264.48,274.11125,275.660434167799,30.5781200512747,11.4978,14.0682770028377,4.57598466133195,4.9,18,11.45,18,59.1,10.2,60.2,15,61,77.8,10.2,11.45,15
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",7,88.3261073892611,7,274.934289473856,296.33,302.14,323.14,261.52,294.24,295.932,287.4,274.22,285.88,284.4,267.98,277.9,247.12,287.54,NA,254.42,278.404916666667,274.934289473856,29.8519753573323,12.9065,19.624634496566,5.27496671853509,2.2,8,5.1,8,99,8.8,64.8,12,74,93,11.7,5.1,7
"JAMAALCHARLES","Jamaal Charles","RB","KC",8,2.10943405659434,1,274.419402597478,311.75,307.4,265.025,265.375,274.05,279.0075,279.5,283.025,264.05,274.75,282.7,317.25,244.325,256.05,NA,256.15,274.49659375,274.419402597478,156.491588396408,1.1913,21.0953543506283,4.15855394210974,64.7,58,61.35,64.7,1.9,57.7,3.8,55,3,2.5,1,61.35,76
"CAMNEWTON","Cam Newton","QB","CAR",9,75.2044395560444,8,272.496143866509,254.23,281.94,267.1,281.3,280.22,274.172,283.36,276.2,288.62,276.2,276.56,289.9,263.06,296.14,NA,253.14,273.579041666667,272.496143866509,27.4138297499847,18.2043,12.3636593242338,5.13011052891044,8.9,18,13.45,18,51.3,15.3,39.8,20,55,81.7,11.1,13.45,17
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",10,49.2929207079292,9,271.700914584426,201.72,307.82,301.28,273.24,291.3,286.59,274.96,261.06,272.88,274.8,272.48,276.4,254.04,283.58,NA,266.86,269.869541666667,271.700914584426,26.6186004679026,8.1565,24.322535836623,5.22632950076945,10.2,18,14.1,18,48.4,18.3,34.9,23,37,41.4,8.3,14.1,18
"MATTRYAN","Matt Ryan","QB","ATL",11,67.4063893610639,10,264.019427187751,236.11,288.98,271.64,253.68,278.48,271.302,244.76,266.4,265.32,253.4,255.58,256.5,290.48,274.48,NA,269.22,263.063083333333,264.019427187751,18.9371130712268,11.0065,15.2769373856711,4.64214705629341,5.4,18,11.7,18,54.7,4.7,88.2,11,68,67,8.7,11.7,15
