"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"Adrian Peterson","RB","MIN",283.4625,163.591666666667,9.83964212448737,0.5,6.26855130127101,2.25907165178935,72.9,91,88,82
"Arian Foster","RB","HOU",270.7025,150.831666666667,10.7667993596194,3.25,26.7107633092448,6.04071394363591,62.2,77,78,75
"Jamaal Charles","RB","KC",251.545,131.674166666667,8.61013693705898,1.95,7.87096017411473,2.68374098098792,57.8,72,60,58
"Doug Martin","RB","TB",251.4875,131.616666666667,7.63916117165917,1.35,7.4173772599664,2.54384084910456,60.5,75,60,57
"Aaron Rodgers","QB","GB",345.036,121.28,10.1223419184319,7.05,7.76607348235473,3.19560670241475,43.5,54,55,46
"C.J. Spiller","RB","BUF",240.745,120.874166666667,3.43398720448515,2.55,4.96880199134225,2.2497526056512,57.7,72,52,49
"Marshawn Lynch","RB","SEA",237.0775,117.206666666667,4.48863636973214,2.8,7.08575992748837,2.63775897317736,56.8,71,50,45
"Calvin Johnson","WR","DET",267.1675,116.890833333333,10.6802403169509,2.75,16.2877710389318,4.20626442441382,61,76,73,74
"Ray Rice","RB","BAL",234.675,114.804166666667,4.23410650459726,2.6,5.39379948799236,2.32762851683963,53.4,67,47,44
"Trent Richardson","RB","CLE",232.88,113.009166666667,7.56216163122565,2.7,8.35606774919679,2.84461480801111,49.2,61,45,42
"LeSean McCoy","RB","PHI",226.5025,106.631666666667,4.65396035015752,2.45,9.22739972739703,2.96765657815525,53.5,67,41,36
"Drew Brees","QB","NO",326.868,103.112,7.5109777520141,7.3,6.40102020514439,2.98813023630087,39,49,38,30
"Alfred Morris","RB","WAS",218.4675,98.5966666666667,4.90527477843843,3.7,6.7609499147679,2.67570563347643,47.9,54,39,30
"Matt Forte","RB","CHI",212.51,92.6391666666667,9.38143244681859,3.9,12.5966274421635,3.69448182416449,34.8,40,32,26
"Jimmy Graham","TE","NO",201.6375,88.025,8.71686338654481,4.85,5.39070380377182,2.56083577323045,40.2,46,28,31
"A.J. Green","WR","CIN",238.26,87.9833333333333,8.68050180902826,3.25,6.32197898044328,2.55388684209796,49,61,50,49
"Steven Jackson","RB","ATL",207.63,87.7591666666667,8.02322468471667,4.5,8.27261282284302,3.01733194015222,33.1,38,29,21
"Cam Newton","QB","CAR",310.062,86.306,8.6347984334905,10,13.8236146744137,4.53800348689274,30.3,38,23,20
"Peyton Manning","QB","DEN",309.644,85.888,8.93102321585603,7.95,9.2000736772412,3.53433966754919,24.3,31,23,17
