"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"AARONDOBSON","Aaron Dobson","WR","NE",80.34375,-66.7853776583879,0.693147180559945,25.8,48.1827035010144,7.33740080547777,1,1,1,1
"AARONMURRAY","Aaron Murray","QB","KC",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"AARONPETTREY","Aaron Pettrey","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"AARONRODGERS","Aaron Rodgers","QB","GB",184.404885679804,42.6572844863258,0,5.8413,8.84988677893677,3.40350856198328,37.25,47,1,8
"ACESANDERS","Ace Sanders","WR","JAC",41.60625,-105.522877658388,0,63.6,24.361013081014,6.83235721228507,1,1,1,1
"ACLEONARD","A.C. Leonard","TE","MIN",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ADAMSCHILTZ","Adam Schiltz","TE","KC",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ADAMTHIELEN","Adam Thielen","WR","MIN",10.99375,-136.135377658388,0,NA,3.89792613129084,1.44869469239369,1,1,1,1
"ADAMVINATIERI","Adam Vinatieri","K","IND",0,NA,NA,18.3913,NA,3.13916966141318,0.6,1,1,1
"ADIKUNALIC","Adi Kunalic","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"ADRIANPETERSON","Adrian Peterson","RB","MIN",228.97279911864,104.858323904575,2.94443897916644,4.3239,75.0993092511509,6.81353071375969,59.45,74,46,60
"ADRIENROBINSON","Adrien Robinson","TE","NYG",40.0264757314988,-80.5695127530171,0,64.4,32.0470032400327,8.42085467519934,1,1,1,1
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",84.25625,-39.8582252140653,1.09861228866811,2.9652,67.6195003154909,6.28660851069099,2,3,1,1
"AJFEELEY","A.J. Feeley","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"AJGREEN","A.J. Green","WR","CIN",223.910552724756,76.781425066368,2.63905732961526,4.2913,39.1953514197368,5.42156871993097,49.2,61,39,36
"AJJENKINS","A.J. Jenkins","WR","KC",33.06125,-114.067877658388,0,36.5,28.5445340652112,5.93412045378869,1,1,1,1
"AJMCCARRON","AJ McCarron","QB","CIN",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"ALBERTWILSON","Albert Wilson","WR","KC",3.775,-143.354127658388,NA,NA,NA,NA,1,1,1,1
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",31.625,-115.504127658388,0,NA,1.06066017177982,0.894082793441013,1,1,1,1
"ALEXBAYER","Alex Bayer","TE","STL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ALEXHENERY","Alex Henery","K","DET",0,NA,NA,39.1,NA,5.60957591056112,0.65,1,1,1
"ALEXSMITH","Alex Smith","QB","KC",139.72268816514,-2.02491302833738,0,23.2,8.20796385632069,3.83809469620102,1.1,2,1,1
"ALEXSMITH","Alex Smith","TE","CIN",0,-120.595988484516,NA,23.2,NA,4.28268086403361,1,1,1,1
"ALEXTANNEY","Alex Tanney","QB","TB",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"ALFREDBLUE","Alfred Blue","RB","HOU",50.05625,-74.0582252140653,0,60.2,20.2922745459941,6.02160010951662,1,1,1,1
"ALFREDMORRIS","Alfred Morris","RB","WAS",194.73952845873,70.6250532446647,0,8.8478,11.7765192756604,3.09983100125334,34.1,43,23,3
"ALGECRUMPLER","Alge Crumpler","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ALLENHURNS","Allen Hurns","WR","JAC",82.48125,-64.6478776583879,0,48.4,42.7035785971153,7.8919593593756,1,1,1,1
"ALLENROBINSON","Allen Robinson","WR","JAC",69.375,-77.7541276583879,0,NA,22.1422954997895,5.01499566137335,1,1,1,1
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",212.5175,65.3883723416121,2.07944154167984,7.44455,19.9110350475978,3.68886846900997,36.95,46,39,15
"ANDREBROWN","Andre Brown","RB","HOU",0,-124.114475214065,NA,84.4,NA,9.99849234807425,1,1,1,1
"ANDRECALDWELL","Andre Caldwell","WR","DEN",39.6690713456659,-107.460056312722,0,46.3,26.3834336832162,6.19558698739932,1,1,1,1
"ANDREELLINGTON","Andre Ellington","RB","ARZ",192.724913130912,68.610437916847,1.09861228866811,5.7413,34.1217756413213,4.33991632264297,37.1,46,23,42
"ANDREHOLMES","Andre Holmes","WR","OAK",91.61875,-55.5103776583879,0,45.6,21.0009560794265,5.63575631941518,1,1,1,1
"ANDREJOHNSON","Andre Johnson","WR","HOU",186.25625,39.1271223416121,1.79175946922805,8.98585,26.7364217875167,4.43030344305928,21.55,25,17,11
"ANDREROBERTS","Andre Roberts","WR","WAS",86.89625,-60.2328776583879,0,31.6,7.21175588304725,3.61277502931465,1,1,1,1
"ANDREWFURNEY","Andrew Furney","K","NYJ",NA,NA,NA,NA,NA,NA,1,1,1,1
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",107.757704921266,-39.3714227371224,0,26.7,6.79026677801886,3.33523690209822,1,1,1,1
"ANDREWILLIAMS","Andre Williams","RB","NYG",108.3,-15.8144752140653,0,30,37.9695162817051,5.70930393043987,3.85,4,1,1
"ANDREWLUCK","Andrew Luck","QB","IND",178.655178834969,36.9075776414908,2.19722457733622,7.0413,7.96029371317417,3.36665648432167,11.2,13,1,1
"ANDREWQUARLESS","Andrew Quarless","TE","GB",59.01875,-61.5772384845159,0,43.8,25.7219790905236,6.50555460660292,1,1,1,1
"ANDREWSZCZERBA","Andrew Szczerba","TE","ATL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ANDYDALTON","Andy Dalton","QB","CIN",129.420600853704,-12.3270003397734,0,25,6.53408567947092,3.75594770434787,2.1,3,1,1
"ANQUANBOLDIN","Anquan Boldin","WR","SF",139.85,-7.27912765838795,0,11.72715,17.6959152537151,3.67893304974243,3.65,4,1,1
"ANTHONYBECHT","Anthony Becht","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ANTHONYDENHAM","Anthony Denham","TE","HOU",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ANTHONYDIXON","Anthony Dixon","RB","BUF",30.6125,-93.5019752140653,0,NA,3.51785623640307,2.22178335811385,1,1,1,1
"ANTHONYFASANO","Anthony Fasano","TE","KC",58.7673256599654,-61.8286628245505,0,16,29.9085785840228,5.15654811028417,1,1,1,1
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",21.165,-102.949475214065,0,NA,1.50354026661521,1.97209814240439,1,1,1,1
