"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_eds","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,340.321976209483,323.7,348.76,348.48,350.570140080513,352.250140080513,355.3,350.368,333.32,346.230140080513,307.610140080513,326.850140080513,320.210140080513,348.850140080513,293.7,335.98,326.292740080513,NA,341.49,639.999984824897,432.74994235556,205.999981177172,24.0000185485017,335.943500653595,340.321976209483,22.5,17.4186475001542,8,4.16753340411712
"AARONRODGERS","Aaron Rodgers","QB","GB",2,318.323480797626,292.76,339.06,338.86,345.99992941429,335.71992941429,337.02,337.08,279.24,319.29992941429,305.89992941429,315.09992941429,293.05992941429,327.99992941429,295,330.08,330.29537941429,NA,302.26,554,366,186.000028204972,48.1426183450164,320.208646732026,318.323480797626,26.2,20.5754379122437,6.7,4.40651759181283
"DREWBREES","Drew Brees","QB","NO",3,318.244877058998,319.46,325.6,324.02,322.959962274647,313.219962274647,327.8,322.49,346.48,319.039962274647,300.539962274647,295.119962274647,294.419962274647,321.119962274647,304.58,328.22,349.453262274647,NA,312.05,639.000072332128,425.000035967186,213,24.9999954719769,319.694508496732,318.244877058998,26.7,15.3101956366395,6.7,3.924571349367
"ANDREWLUCK","Andrew Luck","QB","IND",4,289.576754222678,354.51,304.58,291.32,304.976811959473,272.136811959473,296.9,290.658,278.1,286.896811959473,288.996811959473,294.596811959473,286.296811959473,290.796811959473,282.88,306,276.100561959473,NA,270.44,595.499946049489,364.000046182209,230.374952725964,61.5000065620333,292.248679738562,289.576754222678,55.6,19.2224273835395,9.8,4.40182621701855
"NICKFOLES","Nick Foles","QB","PHI",5,274.679842787727,261.34,271.9,304.5,284.920067010841,265.560067010841,291.52,284.832,284.54,289.800067010841,272.600067010841,273.300067010841,270.880067010841,269.500067010841,271.32,291.98,263.947617010841,NA,283.66,522.5,331.5,186.405005483185,62.9999822267753,277.203799346405,274.679842787727,67.5,11.9082240379205,12.5,3.83611101656823
"JAMAALCHARLES","Jamaal Charles","RB","KC",6,274.41866436696,311.75,307.4,255.025,269.55,257.875,270.1,276.0075,276.5,257.025,256.55,267.25,273.575,309.75,244.35,256.05,321.5728,NA,255.45,0.08,0,0.07,256.500006151758,274.411001503268,274.41866436696,2.1,23.621333164349,1.1,4.47007238228684
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",7,271.209407974965,297.53,299.34,285.3,299.339890516649,253.719890516649,287.76,280.62,276.6,266.419890516649,278.079890516649,276.599890516649,254.279890516649,281.099890516649,264.36,288.22,244.790890516649,NA,256.1,470.499958873811,279.964996713078,186.600011755969,88.0550078291561,274.689132352941,271.209407974965,84.2,16.8538126375549,18.2,4.50788869186053
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",8,270.679838673187,203.72,309.82,303.28,293.139952712843,264.739952712843,293.3,288.59,248.8,256.559952712843,258.659952712843,266.299952712843,264.219952712843,267.899952712843,267.34,283.58,267.791802712843,NA,267.29,639.650038332816,387.999972624237,253,32.5000197225935,270.264976143791,270.679838673187,49.8,24.4162282001241,7.6,4.79267193837878
"TOMBRADY","Tom Brady","QB","NE",9,270.094189164794,197.2,283.42,289.76,304.720109000919,246.080109000919,278.58,270.838,281.66,245.340109000919,258.760109000919,269.700109000919,251.380109000919,274.600109000919,254.42,280.68,266.090709000919,NA,276.24,628.49996987817,393.149972205761,232.200029883282,29.0000071685277,268.10940751634,270.094189164794,63.7,23.9220150185173,9.7,4.828152397802
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",10,269.742230034591,294.6,290.62,249.46,282.709551208638,271.429551208638,288.7,269.892,268.16,259.449551208638,248.449551208638,249.569551208638,254.249551208638,261.569551208638,293.2,284.84,253.434801208638,NA,263.48,495.000048614731,305.5,190.000032433677,93.295,269.121348039216,269.742230034591,83.6,16.4968108930092,17.1,4.43293044401899
