"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk"
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,1.9,1,274.419402597478,311.75,307.4,265.025,265.375,274.05,279.0075,279.5,283.025,264.05,274.75,282.7,317.25,244.325,256.05,NA,256.15,274.49659375,274.419402597478,156.491588396408,0.9,21.0953543506283,3.82459746872455
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,1.7,2,261.188311712305,308.915,289.725,244.25,254.95,264.875,262.8025,281.175,270.1,251.575,250.5,253.475,255.125,274.5,264.45,NA,237.325,263.025989583333,261.188311712305,143.260497511234,0.9,18.5794324696116,3.57997340577015
"MATTFORTE","Matt Forte","RB","CHI",3,3.9,3,250.037336668946,260.9,270.7,249.1,254.7,254.85,253.305,250.5,244.125,234.425,250.625,239.5,250.625,282.475,250.75,NA,236.55,250.602333333333,250.037336668946,132.109522467876,1.4,12.4095024745824,3.03292107350863
"ADRIANPETERSON","Adrian Peterson","RB","MIN",4,3,4,241.714229122256,226.935,250.8,223.825,262.625,244.775,241.7325,244.5,249.1,241.775,252.25,236.9,246.75,244.9,253.125,NA,236.125,242.293552083333,241.714229122256,123.786414921186,1.1,9.99803413117275,2.76674165222298
"CALVINJOHNSON","Calvin Johnson","WR","DET",5,6.1,1,263.49667047136,217.715,271.25,268.75,280,265.75,268.125,269.125,256.625,257.375,256,281,265.75,213,277.875,NA,238.2,259.42775,263.49667047136,120.09744878175,1.2,20.8283996424753,3.83035277504555
"EDDIELACY","Eddie Lacy","RB","GB",6,5.3,5,228.570054134208,246.43,250.825,200.675,225.625,227.575,223.875,249.6,222.5,213.85,229.75,225.15,242.375,255.6,240.6,NA,230.45,231.1525,228.570054134208,110.642239933137,1.3,15.0970456507541,3.28366146959735
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",7,9.1,2,251.381561348738,305.78,249,261.25,253,254.625,254.9,268.25,259.125,241.125,244.5,246.625,271.75,195.5,252.175,NA,229.8,252.349770833333,251.381561348738,107.982339659127,2.2,23.2884297197025,4.17524717756617
"JIMMYGRAHAM","Jimmy Graham","TE","NO",8,9,1,221.265634013649,292.36,232.625,232.75,217.375,217.375,224.9375,252.5,209.25,213.5,224.25,212.125,215.75,188.25,221.125,NA,212.4,224.93253125,221.265634013649,102.910709737218,2.5,23.4214710420548,4.21989425349501
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",9,12.2,6,214.294086875055,301.98,249.525,196.825,206.025,216.4,214.51,219.45,213.125,199.5,210.5,207.525,211.625,242.45,219.925,NA,210.925,217.877583333333,214.294086875055,96.3662726739849,4.7,26.3366663110758,4.73589021029387
"MONTEEBALL","Montee Ball","RB","DEN",10,11.7,7,213.025809004688,157.425,241.1,199.75,195.925,216.1,213.335,231.375,224.475,222,237.5,209.525,210.625,222.875,217,NA,204.1,210.594583333333,213.025809004688,95.0979948036171,4.3,20.198398616392,4.09678216656174
"PEYTONMANNING","Peyton Manning","QB","DEN",11,22.2,1,339.016994351054,321.7,346.76,343.28,363,349.5,347.408,330.92,356.98,329.1,337.2,330.52,359.2,276.76,335.98,NA,336.06,333.429083333333,339.016994351054,93.9346802345298,8.9,20.6462390828612,4.62656758765862
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",12,11.7,8,211.035030172942,258.505,204.825,187.9,241.375,206.65,207.9225,228.5,212.15,209.625,218.5,211.6,220.125,178.425,237.75,NA,208.85,211.798947916667,211.035030172942,93.1072159718712,4,20.1858842520142,4.0638539736307
"DEZBRYANT","Dez Bryant","WR","DAL",13,10.6,3,235.533717645777,331.07,232.375,238.125,238.675,230.15,231.175,252.625,225.25,228.275,233.75,233.1,244.5,196.75,248.075,NA,241.825,238.942,235.533717645777,92.1344959561667,2.4,28.1454496110743,4.66863805481715
"LEVEONBELL","Le'Veon Bell","RB","PIT",14,23.3,9,204.277337179889,214.485,213.45,194.475,206.05,207.625,213.975,193.425,216.5,188.5,195,202.95,202.75,213.075,217.15,NA,190,202.522875,204.277337179889,86.3495229788185,8.4,10.1565518731694,3.55379886004013
"ARIANFOSTER","Arian Foster","RB","HOU",15,22,10,204.0122941225,192.19,206.6,185.325,195.775,NA,204.9375,181.5,206.525,217.575,209,207.075,208.75,213.3,218.225,NA,201.65,201.11130952381,204.0122941225,86.08447992143,11.2,11.1207112566158,3.94351767174162
"AJGREEN","A.J. Green","WR","CIN",16,14.2,4,228.163913398433,262.985,226.75,227,233,229.25,227.4,237.075,223.375,227.375,233.75,234.45,230.75,189.25,252.375,NA,211.7,230.051395833333,228.163913398433,84.7646917088221,3.4,16.3760038805332,3.62999499058586
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",17,17.3,11,201.576375759643,168.57,243.4,196.55,194.45,208.55,210.84,173.975,214.825,209.85,221.5,212.25,229,207.475,224.65,NA,185.05,203.8733125,201.576375759643,83.6485615585725,4.8,20.2836022089625,4.1579189056965
"JULIOJONES","Julio Jones","WR","ATL",18,15.6,5,226.897147088917,250.31,224.25,238.125,229.275,230.975,236.7375,242.075,243.825,213.975,217.5,227.75,215.25,222.875,237.725,NA,226.095,229.332239583333,226.897147088917,83.4979253993069,4.3,10.8684201030193,3.18962472719954
"DOUGMARTIN","Doug Martin","RB","TB",19,22.8,12,197.513810561445,239.13,209.35,183.4,212.7,NA,201.5775,208.25,202.125,178.225,184,186.25,199.875,213,203.55,NA,188.4,197.882488095238,197.513810561445,79.5859963603748,6.2,16.0743027263622,3.89663368991102
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",20,15,6,219.977956533815,231.75,220.375,228.25,225.75,224.25,221.0875,241,206.75,213.75,221.25,208.95,227.75,174.75,234.75,NA,222.4,220.881322916667,219.977956533815,76.5787348442043,2.8,15.5110178295024,3.48246922761252
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",21,23.9,7,216.411470246622,217.57,215.125,200,223,217.625,215.6625,212.775,205.325,209.725,214.625,202.925,214.25,180,217.75,NA,203.235,211.73615625,216.411470246622,73.0122485570116,5.4,10.5821019240486,3.27806109283069
"JORDYNELSON","Jordy Nelson","WR","GB",22,20.5,8,215.790618606723,219.035,219,223,220.75,216.125,217.125,217.575,204.875,222,215.25,213.375,228.5,193.375,222.5,NA,197.25,215.257520833333,215.790618606723,72.3913969171127,4.6,9.69419116692839,3.10716540749157
"ANTONIOBROWN","Antonio Brown","WR","PIT",23,23.9,9,215.664417346935,195.48,220.875,202.375,226.075,218.375,218.35,213.55,221.65,209.35,213.25,203.85,221.375,204.625,222.525,NA,198.785,215.581208333333,215.664417346935,72.2651956573247,4.6,9.68900331500074,3.10666099063104
"AARONRODGERS","Aaron Rodgers","QB","GB",24,26.2,2,317.275330370408,291.16,337.46,340.26,344.62,335.42,335.48,293.74,328.2,314.8,324,301.96,336.9,290,330.08,NA,302.16,318.002083333333,317.275330370408,72.1930162538839,7.4,19.5645659292508,4.3628390041831
"ANDREELLINGTON","Andre Ellington","RB","ARI",25,25.9,13,189.673213822496,147.26,209.2,178.05,179.825,NA,191.035,220.75,203.475,175.4,184.125,180.8,197,189.3,203.875,NA,196.175,187.714773809524,189.673213822496,71.7453996214257,6.9,17.9343850475272,4.15148352236935
"DREWBREES","Drew Brees","QB","NO",26,27,3,315.116297253094,317.46,323.6,322.42,318.6,326.08,320.61,312.92,324.42,305.92,300.5,299.8,326.5,310.8,328.22,NA,310.4,315.920458333333,315.116297253094,70.0339831365705,7.5,9.3688183429319,3.38207297329203
"ALFREDMORRIS","Alfred Morris","RB","WAS",27,21.9,14,186.433381640909,228.265,207.65,185.85,190.45,NA,192.03,170.75,185.45,179.775,183.125,174.95,184,220.15,191.4,NA,173.425,186.852,186.433381640909,68.5055674398385,6.8,17.0627806662904,4.05616661726889
"ZACSTACY","Zac Stacy","RB","STL",28,22,15,184.627674239166,160.64,209.7,183.525,188.575,NA,193.2125,187.25,208.65,174.75,176.5,177.275,181.875,194.075,189.5,NA,196.15,184.432916666667,184.627674239166,66.6998600380956,6.4,13.1625689589941,3.63466562758921
"TOBYGERHART","Toby Gerhart","RB","JAC",29,35.6,16,175.949839519971,148.925,200.575,178.625,160.725,NA,186.56,205.625,212.275,173.175,181.75,171.1,196.375,160.475,180.6,NA,178.8,176.437214285714,175.949839519971,58.0220253189007,8.6,18.1159137019981,4.34883165039687
"REGGIEBUSH","Reggie Bush","RB","DET",30,43,17,174.823967960104,153.17,190.05,161.3,195.4,NA,172.5,181.125,155.075,182.15,198,175.125,192.5,184.15,201.95,NA,158.625,174.51125,174.823967960104,56.8961537590331,12.3,16.4680702046031,4.57971865541123
