"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"AARONDOBSON","Aaron Dobson","WR",91.532135239699,7.94531389277326,1,"NE",174,140.3,73,42.345,107.125,55.125,104.447157095819,NA,80.75,126.95,51.8221570958193,36.6971570958193,95.0721570958193,99.6971570958193,41.4471570958193,102.75,134.875,89.8971570958193,NA,110.45,89.01925,91.532135239699,-51.2490337721377,30.1,32.1588896103884,1,1,1,1,NA,0,170,2,210,NA,NA,1,1,4.66343909411207
"AARONMELLETTE","Aaron Mellette","WR",0,NA,1,"BAL",645,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-142.781169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AARONMURRAY","Aaron Murray","QB",0,NA,1,"KC",645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AARONRODGERS","Aaron Rodgers","QB",318.703787109601,3.84409839937589,47,"GB",2,26.5,2,292.76,339.06,341.86,336.47,337.02,337.08,295.34,320.05,306.65,315.85,293.81,328.75,295,330.08,331.04545,NA,301.84,319.871879411765,318.703787109601,73.0108767345151,6.9,18.5499034170372,38.7,36,37.35,38.7,19.8,46.4,10.1,41,15,17.7,4.5,37.35,33,7.71735127218533
"ACESANDERS","Ace Sanders","WR",41.3728171755497,4.62782136100846,1,"JAC",289,208,123,31.605,56.5,NA,49.85,NA,42.7,52.45,33.375,39.25,24.125,49.05,13.75,NA,94.025,NA,NA,15.795,41.7890833333333,41.3728171755497,-101.408351836287,11,21.5995867446088,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ACLEONARD","A.C. Leonard","TE",2,NA,1,"MIN",597,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,2,-115.93991311306,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ADAMTHIELEN","Adam Thielen","WR",9.21875,3.01764162353427,1,"MIN",471,NA,194,NA,NA,13.75,NA,NA,10.3125,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,8.85416666666667,9.21875,-133.562419011837,NA,5.76503920917571,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ADRIANPETERSON","Adrian Peterson","RB",246.350069953129,2.72645965586945,74,"MIN",20,2.9,4,228.935,252.8,225.825,255.625,246.775,243.7325,275.75,242.1,234.775,245.25,224.15,239.75,244.3,253.125,268.38725,NA,237.275,245.394799019608,246.350069953129,125.839547695144,1.1,14.1377448628128,62.9,56,59.45,62.9,3.2,60.8,2.3,57,2,2.3,1.2,59.45,64,7.86403565907245
"ADRIENROBINSON","Adrien Robinson","TE",52.0074209798979,10.2046522250964,1,"NYG",256,223.7,42,60.205,65.875,70.25,-1.8,NA,51.3375,60.5,50.7,41.95,10.7,41.95,28.95,91,NA,60.085,NA,20.3,52.7374862637363,52.0074209798979,-65.9324921331624,53.7,25.0835979125332,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,2.07944154167984
"AHMADBRADSHAW","Ahmad Bradshaw","RB",81.4811840021689,5.99793588962635,1,"IND",188,138.5,53,52.44,89.6,76.125,48.3009356534292,NA,72.0375,99.25,63.1509356534292,72.9509356534292,91.6759356534292,62.4759356534292,97.9259356534292,147.825,106.625,65.1456856534292,NA,94.475,82.0670989583333,81.4811840021689,-39.0293382558156,19.3,25.4059528465203,1,1,1,1,NA,1.2,146.9,3,182,127.1,16.8,1,1,1.94591014905531
