"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"LESEANMCCOY","LeSeanMcCoy","RB","PHI",1.83482587064677,0.803739451627797,1,1.4826,2
"JAMAALCHARLES","JamaalCharles","RB","KC",2.08457711442786,0.910218082353815,1,1.4826,2
"ADRIANPETERSON","AdrianPeterson","RB","MIN",2.58109452736318,1.07888129865779,1,1.4826,3
"MATTFORTE","MattForte","RB","CHI",4.70945273631841,1.17627619895163,1,1.4826,4
"CALVINJOHNSON","CalvinJohnson","WR","DET",5.29452736318408,1.33778221526361,1,1.4826,5
"EDDIELACY","EddieLacy","RB","GB",6.43582089552239,1.81656566205106,1,1.4826,6
"MARSHAWNLYNCH","MarshawnLynch","RB","SEA",9.37213930348259,3.29988830857972,1,1.4826,9
"DEMARYIUSTHOMAS","DemaryiusThomas","WR","DEN",9.37611940298507,3.13631646073926,1,1.4826,9
"JIMMYGRAHAM","JimmyGraham","TE","NO",11.8049751243781,4.97441413038919,1,4.4478,10
"PEYTONMANNING","PeytonManning","QB","DEN",12.2218905472637,5.9987978882061,1,7.413,14
"COREYBROWN","CoreyBrown","WR","CAR",13,0,0.00199004975124378,0,13
"ARIANFOSTER","ArianFoster","RB","HOU",13.6258706467662,5.34500244701065,1,4.4478,17
"DEZBRYANT","DezBryant","WR","DAL",14.4009950248756,4.9285127627677,1,5.9304,16
"DEMARCOMURRAY","DeMarcoMurray","RB","DAL",14.489552238806,3.47975652547719,1,2.9652,14
"BRANDONMARSHALL","BrandonMarshall","WR","CHI",14.9134328358209,2.12260379469167,1,1.4826,15
"MONTEEBALL","MonteeBall","RB","DEN",15.0338308457711,3.81400879637795,1,4.4478,15
"LEVEONBELL","LeVeonBell","RB","PIT",15.2925373134328,3.63471449114263,1,4.4478,15
"JULIOJONES","JulioJones","WR","ATL",16.0298507462687,4.12661950311849,1,2.9652,16
"AJGREEN","A.J.Green","WR","CIN",16.8378109452736,2.432466978537,1,1.4826,18
"AARONRODGERS","AaronRodgers","QB","GB",18.0636815920398,6.33289052239457,1,8.8956,17
"ALFREDMORRIS","AlfredMorris","RB","WAS",19.5373134328358,5.55306264392535,1,8.8956,20
"DREWBREES","DrewBrees","QB","NO",21.5283582089552,6.97180161222077,1,4.4478,24
"GIOVANIBERNARD","GiovaniBernard","RB","CIN",21.9442786069652,4.42138947193525,1,2.9652,23
"JORDYNELSON","JordyNelson","WR","GB",22.3621890547264,4.60600716197608,1,2.9652,22
"DOUGMARTIN","DougMartin","RB","TB",23.0119402985075,6.02450645317941,1,4.4478,23
"ANTONIOBROWN","AntonioBrown","WR","PIT",25.5940298507463,5.58173281465957,1,4.4478,25
"ALSHONJEFFERY","AlshonJeffery","WR","CHI",25.7084577114428,6.13652591522433,1,2.9652,26
"ZACSTACY","ZacStacy","RB","STL",26.2268656716418,5.47215648901824,1,4.4478,27
"RANDALLCOBB","RandallCobb","WR","GB",30.2019900497512,7.05936664229442,1,8.8956,29
"JULIUSTHOMAS","JuliusThomas","TE","DEN",31.7980099502488,6.20339163272035,1,4.4478,35
"REGGIEBUSH","ReggieBush","RB","DET",32.444776119403,4.6946804976194,1,5.9304,31
"VINCENTJACKSON","VincentJackson","WR","TB",33.1681592039801,6.80363310305043,1,4.4478,32
"CJSPILLER","C.J.Spiller","RB","BUF",33.9641791044776,6.4587806170765,1,8.8956,35
"KEENANALLEN","KeenanAllen","WR","SD",35.0467661691542,5.11353196464401,1,4.4478,36
"ANDREELLINGTON","AndreEllington","RB","ARI",35.9890547263682,5.35147888875616,1,5.9304,36
"PIERREGARCON","PierreGarcon","WR","WAS",36.0258706467662,4.05334539947858,1,4.4478,35
