"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,365.3,577.1,369.5,4430,26.6,7.64,NA,684,6.48,NA,NA,NA,NA,NA,5.15
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,343.6,648.9,434.5,5352,44.37,14.9,NA,-56,0.26,NA,NA,NA,NA,NA,7.04
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,3,338.5,451,289.3,3904,31.39,7.43,NA,661,3.46,NA,NA,NA,NA,NA,7.57
"DREWBREES","QB","Drew Brees","NO",4,4,333.9,638.8,419.9,4981,38.26,12.54,NA,73,1.21,NA,NA,NA,NA,NA,3.92
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",5,5,315.7,474.6,271,3323,17.08,12.34,NA,1016,8.65,NA,NA,NA,NA,NA,7.13
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",6,6,309.2,494.8,308.5,3952,24.32,8.76,NA,667,3.49,NA,NA,NA,NA,NA,8.14
"AARONRODGERS","QB","Aaron Rodgers","GB",7,7,306.1,548.1,358.5,4445,32.6,10.76,NA,210,1.1,NA,NA,NA,NA,NA,4.12
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,8,301.9,NA,NA,NA,NA,NA,404.9,1815,11.43,54.8,445,2.57,NA,NA,4.07
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,9,296.6,NA,NA,NA,NA,NA,264.3,1314,9.5,78.8,736,6.82,NA,NA,3.19
"TONYROMO","QB","Tony Romo","DAL",8,10,291.2,578,364.5,4461,34.35,12.06,NA,31,0.29,NA,NA,NA,NA,NA,2.68
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",3,11,290.6,NA,NA,NA,NA,NA,287.9,1485,11.38,77.5,588,3.59,NA,NA,3.28
"DEZBRYANT","WR","Dez Bryant","DAL",1,12,285.8,NA,NA,NA,NA,NA,NA,NA,NA,123.8,1918,16.58,NA,NA,2.72
"JAKELOCKER","QB","Jake Locker","TEN",9,13,285.3,544.7,306.7,3312,13.96,14.57,NA,973,7.29,NA,NA,NA,NA,NA,7.46
"VINCENTJACKSON","WR","Vincent Jackson","TB",2,14,282.3,NA,NA,NA,NA,NA,NA,NA,NA,130.8,2000,14.09,NA,NA,1.16
