"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Tom Brady","QB","NE",1,1,552,377.7,4937,43,11,68.4,8.9,30.7,65,2.1,1.3,NA,NA,NA,NA,NA,1,434.8
"Drew Brees","QB","NO",2,2,589.7,405,5086.7,40,15,68.7,8.6,18.7,27.3,1.5,0.7,NA,NA,NA,NA,NA,2.3,404.6
"Matthew Stafford","QB","DET",3,3,561.7,357.3,4712.3,38,13.7,63.6,8.4,17.3,59.3,3.4,0.7,NA,NA,NA,NA,NA,2.3,381.2
"Cam Newton","QB","CAR",4,4,515.7,321,4138.3,24,14.3,62.2,8,72,507,7,9.3,NA,NA,NA,NA,NA,2.7,366.8
"Matt Ryan","QB","ATL",5,5,540,336.7,4504.3,34,13.7,62.4,8.3,30.3,87.7,2.9,0.7,NA,NA,NA,NA,NA,2,354.8
"Michael Vick","QB","PHI",6,6,432.3,257.7,3612.3,27.3,14,59.6,8.4,75.7,570.3,7.5,5,NA,NA,NA,NA,NA,4.3,343.2
"Eli Manning","QB","NYG",7,7,522.3,327.7,4418,33.3,15.3,62.7,8.5,24,41.3,1.7,1,NA,NA,NA,NA,NA,2.3,341.6
"Philip Rivers","QB","SD",8,8,535.7,341.3,4632.7,31,14.7,63.7,8.6,22.7,35.7,1.6,0.3,NA,NA,NA,NA,NA,2.3,331.8
"Tony Romo","QB","DAL",9,9,509.3,328.3,4278.7,30.3,10,64.5,8.4,21,65.3,3.1,1,NA,NA,NA,NA,NA,1.7,329.4
"Peyton Manning","QB","DEN",10,10,515.7,336,4405.7,31.3,13.7,65.2,8.5,15.3,22.3,1.5,0,NA,NA,NA,NA,NA,0.7,329
"Robert Griffin III","QB","WAS",11,11,482.3,295,3844.3,22.3,15.3,61.2,8,96.7,517,5.3,4.3,NA,NA,NA,NA,NA,3,312
"Ben Roethlisberger","QB","PIT",12,12,480.3,296.7,4043,27,11,61.8,8.4,35,120,3.4,2.3,NA,NA,NA,NA,NA,2,309.8
"Jay Cutler","QB","CHI",13,13,495.7,305,4055,28.3,15.3,61.5,8.2,37,156.3,4.2,1.7,NA,NA,NA,NA,NA,2,308.4
"Matt Schaub","QB","HOU",14,14,478.3,298.7,4056,28.3,11,62.5,8.5,19.3,31.7,1.6,1,NA,NA,NA,NA,NA,1.3,308.2
"Andrew Luck","QB","IND",15,15,509.7,320,3980.7,28,16.7,62.8,7.8,45.7,198.7,4.3,1.7,NA,NA,NA,NA,NA,2.7,301.4
"Josh Freeman","QB","TB",16,16,479.3,295.3,3848.7,24.3,14.7,61.6,8,52,278,5.3,3.3,NA,NA,NA,NA,NA,3,295.2
"Joe Flacco","QB","BAL",17,17,509.7,313.3,4031.3,25.7,12.3,61.5,7.9,33.7,73.7,2.2,1.3,NA,NA,NA,NA,NA,2,290.4
"Jake Locker","QB","TEN",18,18,455,260,3847.7,25,16.7,57.1,8.5,45.7,234.3,5.1,2.7,NA,NA,NA,NA,NA,1.7,289.4
"Carson Palmer","QB","OAK",19,19,487,304.7,3920.3,26.7,14,62.6,8,27,56,2.1,1.3,NA,NA,NA,NA,NA,1.7,286.6
"Alex Smith","QB","SF",20,20,470,296.3,3765,25,11.7,63,8,32,123.3,3.9,1.3,NA,NA,NA,NA,NA,1.7,279
"Ryan Fitzpatrick","QB","BUF",21,20,495,301,3737.7,27.3,17.3,60.8,7.6,38,169,4.4,0.7,NA,NA,NA,NA,NA,2.7,279
"Andy Dalton","QB","CIN",22,22,484,299.7,3853,25.3,14.3,61.9,8,30,134.7,4.5,0.7,NA,NA,NA,NA,NA,2.3,273.8
"Russell Wilson","QB","SEA",23,23,454.7,271.3,3376,21.3,14,59.7,7.4,54.7,296.3,5.4,2.7,NA,NA,NA,NA,NA,2,260
"Matt Cassel","QB","KC",24,24,476,285.3,3694.3,22.3,10.7,59.9,7.8,29.7,100.3,3.4,0.7,NA,NA,NA,NA,NA,1.3,259
"Sam Bradford","QB","STL",25,25,491.3,304.3,3770.7,23,13.7,61.9,7.7,28.3,80.3,2.8,0.7,NA,NA,NA,NA,NA,2,257.8
"Christian Ponder","QB","MIN",26,26,472.3,278.7,3448.7,21.7,14.7,59,7.3,40,266.7,6.7,1.7,NA,NA,NA,NA,NA,2.7,252.6
"Ray Rice","RB","BAL",1,27,NA,NA,NA,NA,NA,NA,NA,291,1331.7,4.6,9.3,66.3,594,9,3,NA,2.3,247.2
