"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,625,431.5,5285.5,43.5,12,69,8.5,19.5,4,0.2,0,NA,NA,NA,NA,NA,3,436
"DREWBREES","Drew Brees","QB","NO",2,2,635.5,419,5079,40.5,14.5,65.9,8,30.5,50.5,1.7,0.5,NA,NA,NA,NA,NA,2,409
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,546.5,360,4619,37,7.5,65.9,8.5,50,210,4.2,2,NA,NA,NA,NA,NA,2,406
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,644,388.5,4945,36,16.5,60.3,7.7,33.5,85.5,2.6,1,NA,NA,NA,NA,NA,2.5,379
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,482,301,3986,28.5,9.5,62.4,8.3,87.5,503,5.7,4.5,NA,NA,NA,NA,NA,2,369
"TOMBRADY","Tom Brady","QB","NE",6,6,652,404,4645.5,33,13,62,7.1,31,31.5,1,1.5,NA,NA,NA,NA,NA,3,353
"MATTRYAN","Matt Ryan","QB","ATL",7,7,630,423,4801.5,31,14,67.1,7.6,28,59.5,2.1,1,NA,NA,NA,NA,NA,2,347
"NICKFOLES","Nick Foles","QB","PHI",8,8,558.5,355.5,4475,30,12,63.7,8,55,205,3.7,1.5,NA,NA,NA,NA,NA,2.5,344
"TONYROMO","Tony Romo","QB","DAL",9,9,616.5,395.5,4506.5,33,15.5,64.2,7.3,24,43.5,1.8,0.5,NA,NA,NA,NA,NA,2.5,340
"ANDREWLUCK","Andrew Luck","QB","IND",10,10,581.5,358,4293,27,11,61.6,7.4,60.5,306.5,5.1,3.5,NA,NA,NA,NA,NA,3.5,339
"ROBERTGRIFFINIII","Robert Griffin III","QB","WAS",11,11,501,312,3890,25.5,12,62.3,7.8,91.5,486,5.3,3.5,NA,NA,NA,NA,NA,2,333
"JAYCUTLER","Jay Cutler","QB","CHI",12,12,559.5,355,4197,31.5,13.5,63.4,7.5,28.5,143.5,5,1,NA,NA,NA,NA,NA,3,328
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",13,13,607,387.5,4416,30.5,14,63.8,7.3,29,89.5,3.1,0.5,NA,NA,NA,NA,NA,3.5,325
"RUSSELLWILSON","Russell Wilson","QB","SEA",14,14,456,291,3711,27,12,63.8,8.1,88,430.5,4.9,2.5,NA,NA,NA,NA,NA,3,323
"CAMNEWTON","Cam Newton","QB","CAR",15,15,500.5,302,3760.5,22,15.5,60.3,7.5,105,543.5,5.2,5.5,NA,NA,NA,NA,NA,2.5,318
"PHILIPRIVERS","Philip Rivers","QB","SD",15,15,578.5,387,4561.5,29.5,14.5,66.9,7.9,28.5,56.5,2,0,NA,NA,NA,NA,NA,3.5,318
"ANDYDALTON","Andy Dalton","QB","CIN",17,17,529.5,328.5,3865.5,29,15,62,7.3,50.5,147,2.9,1.5,NA,NA,NA,NA,NA,3,300
"CARSONPALMER","Carson Palmer","QB","ARI",18,18,548,347,4181.5,29.5,17.5,63.3,7.6,22.5,8,0.4,0,NA,NA,NA,NA,NA,3,295
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",19,19,586.5,358,4251.5,23.5,16,61,7.2,50.5,252.5,5,1.5,NA,NA,NA,NA,NA,3.5,289
"SAMBRADFORD","Sam Bradford","QB","STL",20,20,553.5,337.5,3735.5,27.5,13,61,6.7,31,106,3.4,0.5,NA,NA,NA,NA,NA,2.5,283
