"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Aaron Rodgers","QB","GB",1,1,501,348,4512,43,7,216,4,0,0,NA,NA,381
"Tom Brady","QB","NE",2,2,590,383,4924,40,13,167,2,0,0,NA,NA,354
"Drew Brees","QB","NO",3,3,614,430,4921,41,14,50,2,0,0,NA,NA,345
"Matthew Stafford","QB","DET",4,4,626,395,5012,41,17,60,1,0,0,NA,NA,338
"Cam Newton","QB","CAR",5,5,506,302,3986,22,18,742,8,0,0,NA,NA,325
"Arian Foster","RB","HOU",1,6,0,0,0,0,0,1459,12,730,2,NA,NA,296
"Eli Manning","QB","NYG",6,7,600,379,4782,30,16,24,1,0,0,NA,NA,279
"Ray Rice","RB","BAL",2,8,0,0,0,0,0,1317,11,679,3,NA,NA,278
"Michael Vick","QB","PHI",7,9,392,236,3097,19,10,627,6,0,0,NA,NA,271
"Tony Romo","QB","DAL",8,10,515,330,4092,29,11,62,1,0,0,NA,NA,265
"Peyton Manning","QB","DEN",9,11,569,371,4516,30,17,13,0,0,0,NA,NA,263
"Philip Rivers","QB","SD",10,11,557,357,4605,26,15,32,1,0,0,NA,NA,263
"LeSean McCoy","RB","PHI",3,13,0,0,0,0,0,1294,12,360,4,NA,NA,259
"Matt Ryan","QB","ATL",11,14,550,339,3803,28,14,84,1,0,0,NA,NA,246
"Ben Roethlisberger","QB","PIT",12,15,481,305,3876,25,14,100,1,0,0,NA,NA,235
"Robert Griffin III","QB","WAS",15,16,463,267,3132,18,18,436,6,0,0,NA,NA,230
"Calvin Johnson","WR","DET",1,17,0,0,0,0,0,32,0,1511,12,NA,NA,224
"Josh Freeman","QB","TB",16,18,499,298,3338,20,14,292,2,0,0,NA,NA,218
"Matt Schaub","QB","HOU",13,19,408,258,3319,22,8,19,2,0,0,NA,NA,215
"Chris Johnson","RB","TEN",4,19,0,0,0,0,0,1274,7,428,1,NA,NA,215
"Joe Flacco","QB","BAL",19,21,522,311,3621,21,13,108,1,0,0,NA,NA,208
"Maurice Jones-Drew","RB","JAC",5,21,0,0,0,0,0,1251,8,273,2,NA,NA,208
"Alex Smith","QB","SF",17,23,496,297,3415,16,8,102,3,0,0,NA,NA,206
"Andy Dalton","QB","CIN",18,24,490,290,3427,22,15,131,0,0,0,NA,NA,202
"Matt Forte","RB","CHI",7,25,0,0,0,0,0,1161,5,512,1,NA,NA,199
"Jay Cutler","QB","CHI",14,26,436,255,3209,20,11,116,1,0,0,NA,NA,197
"Ryan Mathews","RB","SD",12,27,0,0,0,0,0,1079,7,441,1,NA,NA,195
"Marshawn Lynch","RB","SEA",6,28,0,0,0,0,0,1073,11,187,1,NA,NA,193
"Rob Gronkowski","TE","NE",1,29,0,0,0,0,0,0,0,1191,12,NA,NA,191
"Trent Richardson","RB","CLE",15,30,0,0,0,0,0,1258,7,232,1,NA,NA,190
"Jamaal Charles","RB","KC",9,31,0,0,0,0,0,1215,3,390,2,NA,NA,186
"Jimmy Graham","TE","NO",2,31,0,0,0,0,0,0,0,1265,10,NA,NA,186
"Fred Jackson","RB","BUF",14,33,0,0,0,0,0,1099,7,382,0,NA,NA,185
"Larry Fitzgerald","WR","ARI",2,34,0,0,0,0,0,0,0,1309,9,NA,NA,184
"DeMarco Murray","RB","DAL",8,35,0,0,0,0,0,1053,7,322,1,NA,NA,183
"Carson Palmer","QB","OAK",20,36,445,264,3352,20,17,41,0,0,0,NA,NA,182
"Ryan Fitzpatrick","QB","BUF",22,36,510,307,3357,21,20,128,0,0,0,NA,NA,182
"Steven Jackson","RB","STL",13,36,0,0,0,0,0,1176,6,313,0,NA,NA,182
"Michael Turner","RB","ATL",16,36,0,0,0,0,0,1145,9,122,1,NA,NA,182
"Tim Tebow","QB","NYJ",25,40,262,130,1742,12,10,557,6,0,0,NA,NA,178
"Adrian Peterson","RB","MIN",10,41,0,0,0,0,0,1124,8,197,0,NA,NA,177
"Frank Gore","RB","SF",17,41,0,0,0,0,0,1118,7,224,1,NA,NA,177
"Wes Welker","WR","NE",7,43,0,0,0,0,0,3,0,1343,7,NA,NA,176
"Darren McFadden","RB","OAK",11,44,0,0,0,0,0,988,7,339,1,NA,NA,175
"Roddy White","WR","ATL",4,45,0,0,0,0,0,0,0,1194,9,NA,NA,173
"Andre Johnson","WR","HOU",3,46,0,0,0,0,0,14,0,1234,8,NA,NA,172
"Andrew Luck","QB","IND",23,47,534,299,3408,15,18,62,2,0,0,NA,NA,170
"Matt Cassel","QB","KC",24,48,450,262,2934,17,12,100,0,0,0,NA,NA,169
"Mike Wallace","WR","PIT",6,48,0,0,0,0,0,54,0,1180,8,NA,NA,169
"A.J. Green","WR","CIN",9,48,0,0,0,0,0,51,0,1223,7,NA,NA,169
