"name","name_espn","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,640,435,5210,48,12,-14,0,0,0,0,NA,NA,368
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,514,348,4378,39,7,225,2,0,0,0,NA,NA,347
"DREWBREES","Drew Brees","QB","NO",3,3,626,435,4880,39,15,64,1,0,0,0,NA,NA,329
"CAMNEWTON","Cam Newton","QB","CAR",5,4,462,276,3365,20,15,637,8,0,0,0,NA,NA,289
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,5,490,294,3789,22,13,563,4,0,0,0,NA,NA,285
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,6,649,397,4471,32,18,84,2,0,0,0,NA,NA,284
"ANDREWLUCK","Andrew Luck","QB","IND",6,7,581,357,4071,23,10,365,3,0,0,0,NA,NA,282
"NICKFOLES","Nick Foles","QB","PHI",8,8,467,299,3969,26,11,273,3,0,0,0,NA,NA,277
"RUSSELLWILSON","Russell Wilson","QB","SEA",9,9,400,257,3264,25,10,497,3,0,0,0,NA,NA,269
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",10,10,427,248,3378,22,11,474,4,0,0,0,NA,NA,266
"TONYROMO","Tony Romo","QB","DAL",13,11,633,413,4654,28,15,29,0,0,0,0,NA,NA,264
"MATTRYAN","Matt Ryan","QB","ATL",11,12,627,419,4377,28,14,86,0,0,0,0,NA,NA,261
"TOMBRADY","Tom Brady","QB","NE",12,12,626,402,4287,26,9,21,1,0,0,0,NA,NA,261
"PHILIPRIVERS","Philip Rivers","QB","SD",14,12,544,364,4392,28,12,45,0,0,0,0,NA,NA,261
"ADRIANPETERSON","Adrian Peterson","RB","MIN",1,15,0,0,0,0,0,1365,13,40,289,2,NA,NA,250
"JAYCUTLER","Jay Cutler","QB","CHI",15,16,485,302,3653,28,16,196,1,0,0,0,NA,NA,245
"JAMAALCHARLES","Jamaal Charles","RB","KC",3,17,0,0,0,0,0,1260,7,64,587,4,NA,NA,244
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,18,0,0,0,0,0,1402,9,42,342,3,NA,NA,242
"ANDYDALTON","Andy Dalton","QB","CIN",17,19,520,317,3562,27,15,137,2,0,0,0,NA,NA,237
"CALVINJOHNSON","Calvin Johnson","WR","DET",1,20,0,0,0,0,0,0,0,94,1664,12,NA,NA,236
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",16,21,511,319,3744,26,13,100,1,0,0,0,NA,NA,235
"MATTFORTE","Matt Forte","RB","CHI",4,21,0,0,0,0,0,1227,8,70,576,2,NA,NA,235
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",5,23,0,0,0,0,0,1285,12,33,279,1,NA,NA,229
"ELIMANNING","Eli Manning","QB","NYG",18,24,550,340,3912,25,16,27,0,0,0,0,NA,NA,222
"CARSONPALMER","Carson Palmer","QB","ARI",19,25,566,346,4191,23,17,23,0,0,0,0,NA,NA,221
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",22,26,545,325,3672,23,17,209,1,0,0,0,NA,NA,220
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,27,0,0,0,0,0,0,0,93,1400,13,NA,NA,216
"EDDIELACY","Eddie Lacy","RB","GB",6,28,0,0,0,0,0,1220,10,42,301,1,NA,NA,214
"JOEFLACCO","Joe Flacco","QB","BAL",21,29,554,329,3905,22,18,61,1,0,0,0,NA,NA,212
"ALEXSMITH","Alex Smith","QB","KC",24,29,503,304,3122,18,8,327,1,0,0,0,NA,NA,212
"JOSHMCCOWN","Josh McCown","QB","TB",20,31,415,246,3365,22,10,87,1,0,0,0,NA,NA,210
"DOUGMARTIN","Doug Martin","RB","TB",7,32,0,0,0,0,0,1192,8,43,316,1,NA,NA,200
"DEZBRYANT","Dez Bryant","WR","DAL",4,32,0,0,0,0,0,8,0,100,1327,12,NA,NA,200
"AJGREEN","A.J. Green","WR","CIN",3,34,0,0,0,0,0,0,0,90,1336,11,NA,NA,199
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",5,35,0,0,0,0,0,0,0,95,1230,12,NA,NA,195
"LEVEONBELL","Le'Veon Bell","RB","PIT",11,36,0,0,0,0,0,1073,8,52,358,1,NA,NA,192
"JULIOJONES","Julio Jones","WR","ATL",6,37,0,0,0,0,0,19,0,97,1387,9,NA,NA,191
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",10,38,0,0,0,0,0,989,8,56,425,1,NA,NA,190
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,39,0,0,0,0,0,0,0,84,1115,13,NA,NA,189
"JORDYNELSON","Jordy Nelson","WR","GB",7,40,0,0,0,0,0,0,0,82,1286,10,NA,NA,188
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",8,40,0,0,0,0,0,85,1,85,1284,8,NA,NA,188
"ANTONIOBROWN","Antonio Brown","WR","PIT",9,42,0,0,0,0,0,47,0,109,1435,7,NA,NA,187
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",23,43,377,211,2661,13,16,381,5,0,0,0,NA,NA,186
"ARIANFOSTER","Arian Foster","RB","HOU",8,44,0,0,0,0,0,1034,8,37,307,1,NA,NA,183
"RANDALLCOBB","Randall Cobb","WR","GB",10,44,0,0,0,0,0,123,0,87,1233,8,NA,NA,183
"ZACSTACY","Zac Stacy","RB","STL",9,46,0,0,0,0,0,1187,9,21,127,0,NA,NA,182
"ALFREDMORRIS","Alfred Morris","RB","WAS",12,46,0,0,0,0,0,1287,9,8,62,0,NA,NA,182
"EJMANUEL","EJ Manuel","QB","BUF",25,48,397,224,2558,14,11,304,3,0,0,0,NA,NA,180
"SAMBRADFORD","Sam Bradford","QB","STL",26,49,486,288,3121,21,14,31,0,0,0,0,NA,NA,179
"MONTEEBALL","Montee Ball","RB","DEN",13,49,0,0,0,0,0,943,9,54,333,1,NA,NA,179
"ANDREJOHNSON","Andre Johnson","WR","HOU",11,51,0,0,0,0,0,0,0,100,1367,7,NA,NA,178
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",14,52,0,0,0,0,0,927,3,52,478,4,NA,NA,177
"REGGIEBUSH","Reggie Bush","RB","DET",15,53,0,0,0,0,0,904,5,50,456,3,NA,NA,175
"BENTATE","Ben Tate","RB","CLE",16,54,0,0,0,0,0,1101,7,37,288,0,NA,NA,174
"VINCENTJACKSON","Vincent Jackson","WR","TB",12,55,0,0,0,0,0,12,0,73,1235,8,NA,NA,172
"TRENTRICHARDSON","Trent Richardson","RB","IND",21,56,0,0,0,0,0,987,6,43,326,1,NA,NA,170
"MICHAELVICK","Michael Vick","QB","NYJ",27,57,305,173,2304,14,11,376,2,0,0,0,NA,NA,169
"FRANKGORE","Frank Gore","RB","SF",19,57,0,0,0,0,0,1123,8,15,130,0,NA,NA,169
