positionRank,player,pos,team,passComp,passAtt,passYds,passTds,passInt,rushAtt,rushYds,rushTds,rec,recYds,recTds,points
1,Peyton Manning,QB,Broncos,431,635,5328,45,11,24,12,0,,,,383.32
2,Aaron Rodgers,QB,Packers,381,554,4820,39,8,42,181,2,,,,370.9
3,Drew Brees,QB,Saints,435,645,5031,39,15,25,41,2,,,,358.34
4,Tom Brady,QB,Patriots,421,638,5008,34,10,25,29,1,,,,335.22
5,Andrew Luck,QB,Colts,376,605,4447,26,11,64,333,5,,,,334.18
6,Matthew Stafford,QB,Lions,399,635,4921,33,16,35,88,2,,,,333.64
7,Jay Cutler,QB,Bears,394,610,4758,32,14,35,182,1,,,,328.52
8,Cam Newton,QB,Panthers,304,478,3585,23,12,115,627,7,,,,328.1
9,Colin Kaepernick,QB,49ers,303,478,3896,27,10,85,493,4,,,,327.14
10,Nick Foles,QB,Eagles,343,525,4358,30,13,67,271,2,,,,320.42
11,Robert Griffin III,QB,Redskins,343,543,4181,25,14,85,489,3,,,,320.14
12,Tony Romo,QB,Cowboys,409,639,4767,31,13,25,68,1,,,,314.48
13,Matt Ryan,QB,Falcons,418,633,4748,31,15,25,90,1,,,,313.92
14,Russell Wilson,QB,Seahawks,274,424,3413,27,10,95,513,3,,,,303.82
15,Philip Rivers,QB,Chargers,377,546,4477,30,14,28,60,0,,,,291.08
16,Ryan Tannehill,QB,Dolphins,362,585,4124,24,15,67,325,2,,,,290.46
17,Ben Roethlisberger,QB,Steelers,379,594,4396,28,13,26,95,1,,,,290.34
18,Carson Palmer,QB,Cardinals,377,586,4717,28,19,20,10,0,,,,282.68
19,Andy Dalton,QB,Bengals,335,527,3873,28,14,55,160,2,,,,280.92
20,Alex Smith,QB,Chiefs,331,540,3699,22,8,72,371,1,,,,271.06
21,Jake Locker,QB,Titans,309,504,3704,20,14,52,338,2,,,,259.96
22,Joe Flacco,QB,Ravens,363,577,4097,22,12,31,87,1,,,,254.58
23,Geno Smith,QB,Jets,286,464,3294,21,14,63,321,3,,,,251.86
24,Shaun Hill,QB,Rams,335,552,3892,25,14,18,63,0,,,,247.98
25,Derek Carr,QB,Raiders,321,512,3738,23,16,35,123,1,,,,243.82
26,Josh McCown,QB,Buccaneers,300,480,3600,24,10,24,120,0,,,,242
