"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"TOMBRADY","QB","Tom Brady","NE",1,1,349.1,547,350,4214,31,13,42,84,1,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",2,2,345.5,611,391,4340,31,15,18,45,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","IND",3,3,330.2,519,337,4100,29,13,29,32,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",4,4,311.7,554,338,3879,26,16,19,77,1,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",5,5,301.9,545,333,3872,26,9,31,43,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",6,6,301.7,500,315,3750,25,15,20,82,1,NA,NA,NA,NA,NA,NA
"DONOVANMCNABB","QB","Donovan McNabb","PHI",7,7,299.8,524,315,3671,22,9,39,162,2,NA,NA,NA,NA,NA,NA
"KURTWARNER","QB","Kurt Warner","ARI",8,8,293.8,540,345,3778,26,12,4,9,0,NA,NA,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","HOU",9,9,289.8,492,310,3739,22,14,23,88,1,NA,NA,NA,NA,NA,NA
"DAVIDGARRARD","QB","David Garrard","JAC",10,10,280.6,478,296,3441,17,11,62,285,2,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",11,11,271.5,439,272,3245,21,14,58,192,1,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",12,12,271.4,559,324,3575,20,12,38,126,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",13,13,270.7,431,271,3274,21,16,38,110,2,NA,NA,NA,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","JAC",1,14,263.1,NA,NA,NA,NA,NA,241,1252,13,54,479,2,NA,NA,NA
"TRENTEDWARDS","QB","Trent Edwards","BUF",14,15,260.9,489,298,3275,18,11,34,131,2,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",2,16,260.8,NA,NA,NA,NA,NA,309,1576,13,19,192,1,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",15,17,259.8,488,288,3320,21,12,17,38,1,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","CIN",16,18,258.5,471,302,3440,21,11,18,25,0,NA,NA,NA,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","SEA",17,19,253.3,455,278,3140,20,12,28,103,1,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",18,20,251,474,280,3130,18,10,52,165,1,NA,NA,NA,NA,NA,NA
"JASONCAMPBELL","QB","Jason Campbell","WAS",19,21,250.9,457,270,3109,16,11,55,254,1,NA,NA,NA,NA,NA,NA
"LADAINIANTOMLINSON","RB","LaDainian Tomlinson","SD",3,22,249.1,NA,NA,NA,NA,NA,253,1242,12,50,409,2,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","KC",20,23,247.8,491,290,3145,17,14,40,165,1,NA,NA,NA,NA,NA,NA
"JAKEDELHOMME","QB","Jake Delhomme","CAR",21,24,243.5,430,262,3180,19,12,12,25,1,NA,NA,NA,NA,NA,NA
"CHADPENNINGTON","QB","Chad Pennington","MIA",22,25,241.3,480,307,3217,17,8,25,64,1,NA,NA,NA,NA,NA,NA
