"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"DREWBREES","QB","Drew Brees","NO",1,1,400.3,NA,NA,5125,37,16,NA,38,0,NA,NA,NA,NA,1,0
"MATTRYAN","QB","Matt Ryan","ATL",2,2,372.5,NA,NA,4812,33,14,NA,60,0,NA,NA,NA,NA,1,0
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,368.2,NA,NA,4260,32,10,NA,186,1,NA,NA,NA,NA,0,1
"PEYTONMANNING","QB","Peyton Manning","DEN",4,4,352.2,NA,NA,4449,33,11,NA,-2,0,NA,NA,NA,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",5,5,346.8,NA,NA,4654,31,14,NA,34,0,NA,NA,NA,NA,1,0
"PHILIPRIVERS","QB","Philip Rivers","SD",6,6,344.3,NA,NA,4463,31,13,NA,33,0,NA,NA,NA,NA,1,0
"NICKFOLES","QB","Nick Foles","PHI",7,7,337.3,NA,NA,4093,28,9,NA,163,1,NA,NA,NA,NA,0,1
"TOMBRADY","QB","Tom Brady","NE",8,8,333.6,NA,NA,4296,30,11,NA,21,0,NA,NA,NA,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",9,9,331.6,NA,NA,4601,29,17,NA,60,0,NA,NA,NA,NA,1,1
"JOSHMCCOWN","QB","Josh McCown","TB",10,10,331.5,NA,NA,4310,29,14,NA,92,0,NA,NA,NA,NA,1,0
"ANDREWLUCK","QB","Andrew Luck","IND",11,11,329.7,NA,NA,3980,27,13,NA,250,1,NA,NA,NA,NA,0,1
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",12,12,325.2,NA,NA,4271,29,12,NA,51,0,NA,NA,NA,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",13,13,320.8,NA,NA,3494,23,11,NA,493,3,NA,NA,NA,NA,0,1
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",14,14,319.5,NA,NA,3646,24,12,NA,404,2,NA,NA,NA,NA,1,1
"ELIMANNING","QB","Eli Manning","NYG",15,15,318.8,NA,NA,4342,30,18,NA,14,0,NA,NA,NA,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",16,16,316.4,NA,NA,4211,28,16,NA,83,0,NA,NA,NA,NA,0,1
"ANDYDALTON","QB","Andy Dalton","CIN",17,17,311.7,NA,NA,4020,27,15,NA,152,1,NA,NA,NA,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",18,18,308.5,NA,NA,4096,28,15,NA,53,0,NA,NA,NA,NA,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",19,19,307.2,NA,NA,4244,28,18,NA,17,0,NA,NA,NA,NA,0,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",20,20,306.6,NA,NA,3655,23,15,NA,414,2,NA,NA,NA,NA,1,1
