"name","name_ffn","pos","team_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","twoPts_ffn","fumbles_ffn","xp_ffn","fg_ffn","dstSack_ffn","dstInt_ffn","dstFumlRec_ffn","dstDefTd_ffn","dstStTd_ffn"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,362,638,431,5235,44,12,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","Aaron Rodgers","QB","GB",2,343,540,360,4532,36,8,NA,219,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DREWBREES","Drew Brees","QB","NO",3,340,641,428,5029,39,14,NA,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,308,637,392,4795,34,17,NA,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",4,308,465,284,3745,26,10,NA,502,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKFOLES","Nick Foles","QB","PHI",6,307,532,341,4317,30,12,NA,260,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,306,509,314,3895,24,12,NA,537,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","Andrew Luck","QB","IND",8,302,589,362,4240,26,10,NA,307,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMNEWTON","Cam Newton","QB","CAR",9,296,489,294,3596,22,15,NA,586,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTRYAN","Matt Ryan","QB","ATL",10,293,631,418,4688,30,14,NA,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","Jamaal Charles","RB","KC",11,262,NA,NA,NA,NA,NA,255,1293,9,65,587,4,NA,2,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","LeSean McCoy","RB","PHI",12,257,NA,NA,NA,NA,NA,292,1455,10,42,379,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","Matt Forte","RB","CHI",13,243,NA,NA,NA,NA,NA,276,1273,8,66,538,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","Adrian Peterson","RB","MIN",14,240,NA,NA,NA,NA,NA,299,1384,11,44,293,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","Calvin Johnson","WR","DET",15,227,NA,NA,NA,NA,NA,0,0,0,94,1574,12,NA,1,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","Eddie Lacy","RB","GB",16,221,NA,NA,NA,NA,NA,277,1235,11,38,275,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",17,220,NA,NA,NA,NA,NA,0,0,0,94,1437,13,NA,1,NA,NA,NA,NA,NA,NA,NA
"MONTEEBALL","Montee Ball","RB","DEN",18,211,NA,NA,NA,NA,NA,250,1131,10,46,320,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",19,209,NA,NA,NA,NA,NA,231,1124,9,55,401,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",20,204,NA,NA,NA,NA,NA,277,1208,10,27,210,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"LEVEONBELL","Le'Veon Bell","RB","PIT",20,204,NA,NA,NA,NA,NA,270,1146,8,48,369,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"DOUGMARTIN","Doug Martin","RB","TB",22,200,NA,NA,NA,NA,NA,275,1180,8,34,261,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","Dez Bryant","WR","DAL",23,198,NA,NA,NA,NA,NA,1,4,0,95,1334,11,NA,1,NA,NA,NA,NA,NA,NA,NA
"JULIOJONES","Julio Jones","WR","ATL",23,198,NA,NA,NA,NA,NA,3,26,0,93,1372,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"AJGREEN","A.J. Green","WR","CIN",25,197,NA,NA,NA,NA,NA,0,0,0,90,1306,11,NA,0,NA,NA,NA,NA,NA,NA,NA
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",26,193,NA,NA,NA,NA,NA,0,0,0,100,1266,11,NA,0,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","Jimmy Graham","TE","NO",27,190,NA,NA,NA,NA,NA,0,0,0,84,1115,13,NA,0,NA,NA,NA,NA,NA,NA,NA
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",28,187,NA,NA,NA,NA,NA,11,65,1,84,1281,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"ANTONIOBROWN","Antonio Brown","WR","PIT",29,186,NA,NA,NA,NA,NA,7,40,0,103,1355,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"JORDYNELSON","Jordy Nelson","WR","GB",30,185,NA,NA,NA,NA,NA,0,0,0,82,1273,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"RANDALLCOBB","Randall Cobb","WR","GB",31,176,NA,NA,NA,NA,NA,9,95,0,89,1201,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","Julius Thomas","TE","DEN",32,164,NA,NA,NA,NA,NA,0,0,0,72,923,12,NA,0,NA,NA,NA,NA,NA,NA,NA
"VERNONDAVIS","Vernon Davis","TE","SF",33,150,NA,NA,NA,NA,NA,0,0,0,56,835,11,NA,0,NA,NA,NA,NA,NA,NA,NA
"STEPHENGOSTKOWSKI","Stephen Gostkowski","K","NE",34,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,32,NA,NA,NA,NA,NA
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",35,140,NA,NA,NA,NA,NA,0,0,0,63,920,8,NA,0,NA,NA,NA,NA,NA,NA,NA
"PHILDAWSON","Phil Dawson","K","SF",36,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,30,NA,NA,NA,NA,NA
"JUSTINTUCKER","Justin Tucker","K","BAL",36,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,NA,NA,NA,NA
"JORDANCAMERON","Jordan Cameron","TE","CLE",38,130,NA,NA,NA,NA,NA,0,0,0,74,879,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"STLOUISRAMS","St. Louis Rams","DST",NA,39,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18,13,4,1
"MATTPRATER","Matt Prater","K","DEN",40,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,25,NA,NA,NA,NA,NA
"SEATTLESEAHAWKS","Seattle Seahawks","DST",NA,40,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,21,14,4,1
"STEVENHAUSCHKA","Steven Hauschka","K","SEA",42,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,29,NA,NA,NA,NA,NA
"DANBAILEY","Dan Bailey","K","DAL",42,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,29,NA,NA,NA,NA,NA
"MASONCROSBY","Mason Crosby","K","GB",44,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,27,NA,NA,NA,NA,NA
"ADAMVINATIERI","Adam Vinatieri","K","IND",44,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,NA,NA,NA,NA,NA
"NICKNOVAK","Nick Novak","K","SD",46,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29,NA,NA,NA,NA,NA
"NEWENGLANDPATRIOTS","New England Patriots","DST",NA,46,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,20,15,3,1
"JASONWITTEN","Jason Witten","TE","DAL",48,124,NA,NA,NA,NA,NA,0,0,0,74,818,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","Matt Bryant","K","ATL",48,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,29,NA,NA,NA,NA,NA
"DENVERBRONCOS","Denver Broncos","DST",NA,50,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,16,10,4,2
"CINCINNATIBENGALS","Cincinnati Bengals","DST",NA,51,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,17,12,5,1
"KANSASCITYCHIEFS","Kansas City Chiefs","DST",NA,52,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,18,12,3,2
