"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,620,417,4935,42,12,24,7,0,NA,NA,NA,NA,NA,403.45
"DREWBREES","Drew Brees","QB","NO",2,600,404,4788,38,16,22,44,1,NA,NA,NA,NA,NA,385.8
"AARONRODGERS","Aaron Rodgers","QB","GB",3,557,359,4411,34,13,52,224,3,NA,NA,NA,NA,NA,383.95
"ANDREWLUCK","Andrew Luck","QB","IND",4,610,365,4429,28,13,62,338,2,NA,NA,NA,NA,NA,366.25
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,635,376,4642,32,19,34,102,1,NA,NA,NA,NA,NA,357.3
"NICKFOLES","Nick Foles","QB","PHI",6,535,361,4291,29,14,63,249,2,NA,NA,NA,NA,NA,353.45
"CAMNEWTON","Cam Newton","QB","CAR",7,487,297,3433,24,13,107,583,6,NA,NA,NA,NA,NA,348.95
"MATTRYAN","Matt Ryan","QB","ATL",8,613,388,4383,31,16,32,80,1,NA,NA,NA,NA,NA,341.15
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",9,520,325,3843,23,14,85,468,4,NA,NA,NA,NA,NA,340.95
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",10,470,296,3572,23,9,85,480,5,NA,NA,NA,NA,NA,339.6
"TOMBRADY","Tom Brady","QB","NE",11,610,389,4465,30,13,33,33,1,NA,NA,NA,NA,NA,339.55
"RUSSELLWILSON","Russell Wilson","QB","SEA",12,430,287,3436,25,10,90,482,3,NA,NA,NA,NA,NA,328
"TONYROMO","Tony Romo","QB","DAL",13,555,355,4140,30,14,24,38,1,NA,NA,NA,NA,NA,322.8
"JAYCUTLER","Jay Cutler","QB","CHI",14,561,342,4039,28,15,29,116,1,NA,NA,NA,NA,NA,316.55
"PHILIPRIVERS","Philip Rivers","QB","SD",15,560,367,4245,28,14,30,30,0,NA,NA,NA,NA,NA,313.25
"ANDYDALTON","Andy Dalton","QB","CIN",16,540,334,3834,28,19,54,132,2,NA,NA,NA,NA,NA,309.9
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,548,342,3978,26,14,27,100,1,NA,NA,NA,NA,NA,304.9
"ALEXSMITH","Alex Smith","QB","KC",18,535,327,3429,23,11,61,271,2,NA,NA,NA,NA,NA,291.55
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",19,558,335,3755,24,16,40,164,1,NA,NA,NA,NA,NA,290.15
"JOEFLACCO","Joe Flacco","QB","BAL",20,585,346,3908,24,18,29,67,1,NA,NA,NA,NA,NA,286.1
"ELIMANNING","Eli Manning","QB","NYG",21,565,327,3955,24,20,21,32,1,NA,NA,NA,NA,NA,282.95
"CARSONPALMER","Carson Palmer","QB","ARI",22,555,341,3996,25,21,26,16,0,NA,NA,NA,NA,NA,280.4
"GENOSMITH","Geno Smith","QB","NYJ",23,470,272,3220,18,13,68,337,3,NA,NA,NA,NA,NA,271.7
"JAKELOCKER","Jake Locker","QB","TEN",24,475,279,3135,19,15,52,338,2,NA,NA,NA,NA,NA,263.55
"SAMBRADFORD","Sam Bradford","QB","STL",25,503,289,3360,23,12,30,75,1,NA,NA,NA,NA,NA,261.5
"EJMANUEL","EJ Manuel","QB","BUF",26,510,293,3295,19,16,64,243,2,NA,NA,NA,NA,NA,261.05
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",27,470,284,3088,17,17,70,368,3,NA,NA,NA,NA,NA,260.2
"JAMAALCHARLES","Jamaal Charles","RB","KC",28,NA,NA,NA,NA,NA,255,1275,11,59,478,3,NA,NA,259.3
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",29,448,279,3226,18,14,43,170,2,NA,NA,NA,NA,NA,248.3
"JOSHMCCOWN","Josh McCown","QB","TB",30,464,272,3290,19,14,27,122,1,NA,NA,NA,NA,NA,244.7
"LESEANMCCOY","LeSean McCoy","RB","PHI",31,NA,NA,NA,NA,NA,295,1387,10,41,312,2,NA,NA,241.9
"ADRIANPETERSON","Adrian Peterson","RB","MIN",32,NA,NA,NA,NA,NA,290,1349,12,34,231,1,NA,NA,236
"MATTSCHAUB","Matt Schaub","QB","OAK",33,474,283,3365,19,15,17,12,0,NA,NA,NA,NA,NA,230.45
"MATTFORTE","Matt Forte","RB","CHI",34,NA,NA,NA,NA,NA,270,1188,8,57,445,2,NA,NA,223.3
"CALVINJOHNSON","Calvin Johnson","WR","DET",35,NA,NA,NA,NA,NA,0,0,0,91,1483,12,NA,NA,220.3
"MONTEEBALL","Montee Ball","RB","DEN",36,NA,NA,NA,NA,NA,250,1125,11,40,300,1,NA,NA,214.5
"EDDIELACY","Eddie Lacy","RB","GB",37,NA,NA,NA,NA,NA,290,1204,10,36,270,1,NA,NA,213.4
"ARIANFOSTER","Arian Foster","RB","HOU",38,NA,NA,NA,NA,NA,260,1092,8,49,387,2,NA,NA,207.9
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",39,NA,NA,NA,NA,NA,0,0,0,89,1353,12,NA,NA,207.3
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",40,NA,NA,NA,NA,NA,265,1100,10,26,221,2,NA,NA,204.1
"DEZBRYANT","Dez Bryant","WR","DAL",41,NA,NA,NA,NA,NA,1,4,0,91,1247,12,NA,NA,197.1
"AJGREEN","A.J. Green","WR","CIN",42,NA,NA,NA,NA,NA,0,0,0,89,1291,11,NA,NA,195.1
"LEVEONBELL","LeVeon Bell","RB","PIT",43,NA,NA,NA,NA,NA,265,1034,8,43,344,1,NA,NA,191.8
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",44,NA,NA,NA,NA,NA,225,990,8,45,324,2,NA,NA,191.4
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",45,NA,NA,NA,NA,NA,210,861,6,60,510,3,NA,NA,191.1
"JORDYNELSON","Jordy Nelson","WR","GB",46,NA,NA,NA,NA,NA,0,0,0,79,1248,11,NA,NA,190.8
"JIMMYGRAHAM","Jimmy Graham","TE","NO",47,NA,NA,NA,NA,NA,NA,NA,NA,84,1084,13,NA,NA,186.4
"JULIOJONES","Julio Jones","WR","ATL",48,NA,NA,NA,NA,NA,1,6,0,87,1227,10,NA,NA,183.3
