"name","name_fbg2","pos","team_fbg2","overallRank_fbg2","passAtt_fbg2","passComp_fbg2","passYds_fbg2","passTds_fbg2","passInt_fbg2","rushYds_fbg2","rushTds_fbg2","rec_fbg2","recYds_fbg2","recTds_fbg2","twoPts_fbg2","fumbles_fbg2","pts_fbg2"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,610,416,4930,43,11,10,0,NA,NA,NA,NA,NA,408.5
"AARONRODGERS","Aaron Rodgers","QB","GB",2,535,355,4420,35,11,230,2,NA,NA,NA,NA,NA,385
"DREWBREES","Drew Brees","QB","NO",3,630,421,4890,35,15,35,1,NA,NA,NA,NA,NA,379
"ANDREWLUCK","Andrew Luck","QB","IND",4,605,373,4320,27,10,320,3,NA,NA,NA,NA,NA,364
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,630,374,4620,31,18,80,2,NA,NA,NA,NA,NA,357
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",6,520,315,3830,24,12,565,3,NA,NA,NA,NA,NA,350
"TOMBRADY","Tom Brady","QB","NE",7,630,388,4480,30,10,50,1,NA,NA,NA,NA,NA,345
"NICKFOLES","Nick Foles","QB","PHI",8,510,326,4120,27,9,260,2,NA,NA,NA,NA,NA,343
"RUSSELLWILSON","Russell Wilson","QB","SEA",9,445,285,3615,28,11,430,2,NA,NA,NA,NA,NA,336.75
"MATTRYAN","Matt Ryan","QB","ATL",10,620,410,4600,28,16,40,1,NA,NA,NA,NA,NA,336
"CAMNEWTON","Cam Newton","QB","CAR",11,480,298,3360,22,13,600,5,NA,NA,NA,NA,NA,333
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",12,455,276,3540,24,9,485,3,NA,NA,NA,NA,NA,330.5
"JAYCUTLER","Jay Cutler","QB","CHI",13,550,343,4100,27,16,180,1,NA,NA,NA,NA,NA,321
"TONYROMO","Tony Romo","QB","DAL",14,555,347,4000,30,13,40,1,NA,NA,NA,NA,NA,317
"ANDYDALTON","Andy Dalton","QB","CIN",15,528,327,3820,29,18,150,2,NA,NA,NA,NA,NA,316
"PHILIPRIVERS","Philip Rivers","QB","SD",15,535,354,4300,28,15,40,0,NA,NA,NA,NA,NA,316
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,540,346,3980,26,12,100,1,NA,NA,NA,NA,NA,307
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",18,560,340,3860,25,15,220,1,NA,NA,NA,NA,NA,306
"ALEXSMITH","Alex Smith","QB","KC",19,540,330,3670,22,8,270,1,NA,NA,NA,NA,NA,296.5
"JOEFLACCO","Joe Flacco","QB","BAL",20,580,350,3990,23,15,70,1,NA,NA,NA,NA,NA,289.5
"CARSONPALMER","Carson Palmer","QB","ARI",21,555,347,4100,24,18,10,0,NA,NA,NA,NA,NA,284
"SAMBRADFORD","Sam Bradford","QB","STL",22,520,315,3510,26,10,70,1,NA,NA,NA,NA,NA,282.5
"ELIMANNING","Eli Manning","QB","NYG",23,570,338,4020,23,17,30,0,NA,NA,NA,NA,NA,279
"JAMAALCHARLES","Jamaal Charles","RB","KC",24,NA,NA,NA,NA,NA,1330,10,65,590,3,NA,NA,270
"EJMANUEL","EJ Manuel","QB","BUF",25,440,270,3000,18,13,290,2,NA,NA,NA,NA,NA,250
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",26,485,294,3350,16,14,200,2,NA,NA,NA,NA,NA,249.5
"LESEANMCCOY","LeSean McCoy","RB","PHI",27,NA,NA,NA,NA,NA,1420,9,40,340,2,NA,NA,242
"ADRIANPETERSON","Adrian Peterson","RB","MIN",28,NA,NA,NA,NA,NA,1380,12,38,255,1,NA,NA,241.5
"GENOSMITH","Geno Smith","QB","NYJ",29,415,243,2840,16,15,300,3,NA,NA,NA,NA,NA,239
"MATTFORTE","Matt Forte","RB","CHI",30,NA,NA,NA,NA,NA,1225,8,70,545,2,NA,NA,237
"MONTEEBALL","Montee Ball","RB","DEN",31,NA,NA,NA,NA,NA,1140,12,48,360,1,NA,NA,228
"JAKELOCKER","Jake Locker","QB","TEN",32,390,234,2740,15,9,270,2,NA,NA,NA,NA,NA,227
"CALVINJOHNSON","Calvin Johnson","WR","DET",33,NA,NA,NA,NA,NA,0,0,90,1540,12,NA,NA,226
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",34,400,237,2705,15,11,260,2,NA,NA,NA,NA,NA,222.25
"EDDIELACY","Eddie Lacy","RB","GB",35,NA,NA,NA,NA,NA,1250,10,38,280,1,NA,NA,219
"JOSHMCCOWN","Josh McCown","QB","TB",36,390,236,2890,16,12,150,1,NA,NA,NA,NA,NA,217.5
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",37,NA,NA,NA,NA,NA,1230,10,28,220,2,NA,NA,217
"MATTSCHAUB","Matt Schaub","QB","OAK",38,410,255,3010,18,13,10,0,NA,NA,NA,NA,NA,210.5
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",39,NA,NA,NA,NA,NA,0,0,90,1380,12,NA,NA,210
"DEZBRYANT","Dez Bryant","WR","DAL",40,NA,NA,NA,NA,NA,5,0,93,1290,12,NA,NA,201.5
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",41,NA,NA,NA,NA,NA,1090,8,56,380,1,NA,NA,201
"AJGREEN","A.J. Green","WR","CIN",42,NA,NA,NA,NA,NA,0,0,94,1390,10,NA,NA,199
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",43,365,212,2420,11,13,280,3,NA,NA,NA,NA,NA,198
"ARIANFOSTER","Arian Foster","RB","HOU",43,NA,NA,NA,NA,NA,1000,7,55,440,2,NA,NA,198
"LEVEONBELL","LeVeon Bell","RB","PIT",45,NA,NA,NA,NA,NA,1010,9,47,365,1,NA,NA,197.5
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",46,NA,NA,NA,NA,NA,900,5,62,530,4,NA,NA,197
"JIMMYGRAHAM","Jimmy Graham","TE","NO",47,NA,NA,NA,NA,NA,NA,NA,90,1170,13,NA,NA,195
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",48,NA,NA,NA,NA,NA,0,0,100,1290,10,NA,NA,189
"REGGIEBUSH","Reggie Bush","RB","DET",49,NA,NA,NA,NA,NA,900,5,58,500,3,NA,NA,188
"JULIOJONES","Julio Jones","WR","ATL",50,NA,NA,NA,NA,NA,10,0,90,1300,9,NA,NA,185
"JORDYNELSON","Jordy Nelson","WR","GB",51,NA,NA,NA,NA,NA,0,0,84,1290,9,NA,NA,183
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",52,NA,NA,NA,NA,NA,70,0,90,1325,7,NA,NA,181.5
"CJSPILLER","C.J. Spiller","RB","BUF",53,NA,NA,NA,NA,NA,1080,5,41,310,2,NA,NA,181
"DOUGMARTIN","Doug Martin","RB","TB",54,NA,NA,NA,NA,NA,1100,7,31,225,1,NA,NA,180.5
"ANTONIOBROWN","Antonio Brown","WR","PIT",55,NA,NA,NA,NA,NA,30,0,90,1220,9,NA,NA,179
"ZACSTACY","Zac Stacy","RB","STL",56,NA,NA,NA,NA,NA,1040,8,30,180,1,NA,NA,176
"RYANMATHEWS","Ryan Mathews","RB","SD",57,NA,NA,NA,NA,NA,1100,6,30,225,1,NA,NA,174.5
"TOBYGERHART","Toby Gerhart","RB","JAX",58,NA,NA,NA,NA,NA,960,7,36,280,1,NA,NA,172
"ALFREDMORRIS","Alfred Morris","RB","WAS",58,NA,NA,NA,NA,NA,1180,8,8,60,0,NA,NA,172
"ANDREELLINGTON","Andre Ellington","RB","ARI",60,NA,NA,NA,NA,NA,940,5,45,410,1,NA,NA,171
