"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,339.119758400787,323.7,348.76,348.48,352.250140080513,355.3,350.368,332.92,346.230140080513,307.610140080513,326.450140080513,320.290140080513,344.450140080513,293.7,335.98,326.292740080513,NA,340.69,640.000033316731,432.000089390281,207.199981133603,5125,43.9999461655311,12.0000251163509,24.220563196861,-0.500061761193495,0.819985863886856,0,0,0,0,1,4.24995330649557,334.577505882353,339.119758400787
"AARONRODGERS","Aaron Rodgers","QB","GB",2,318.703787109601,292.76,339.06,341.86,336.47,337.02,337.08,295.34,320.05,306.65,315.85,293.81,328.75,295,330.08,331.04545,NA,301.84,553.525,365,186.685579705979,4516.34003769176,35.5000468518024,9.99993811047849,48.9999590789618,221.999977300548,1.99996913268362,0,0,0,0,0.8,3.25,319.871879411765,318.703787109601
"DREWBREES","Drew Brees","QB","NO",3,316.310391588408,319.46,325.6,324.02,313.220054399986,328,322.49,314.92,319.040054399986,300.540054399986,295.120054399986,294.420054399986,321.120054399986,304.58,328.22,349.453354399986,NA,312.76,639.000045194755,423.999950883619,213.975,5002.49999910484,38.4500403703817,14.2699742366132,24.875,45.9999512160799,1.00001722182217,0,0,0,0,1,2.45998186667119,317.783718627451,316.310391588408
"ANDREWLUCK","Andrew Luck","QB","IND",4,289.697417538729,354.51,304.58,291.32,272.136811959473,296.9,290.658,290,286.896811959473,288.996811959473,294.596811959473,286.296811959473,290.796811959473,282.88,306,276.100561959473,NA,270.88,595.045827045901,365.449963653863,230.375051106288,4317.49996538022,27.5000290513908,11.9999441072873,61.2538428838104,322,3.00005384672435,0,0,0,0,1,3.0677293468423,292.144882352941,289.697417538729
"JAMAALCHARLES","Jamaal Charles","RB","KC",5,275.74702577903,311.75,307.4,255.025,257.875168131086,271.35,276.0075,279.5,275.525168131086,256.550168131086,267.250168131086,273.575168131086,309.750168131086,244.35,256.05,321.572968131086,NA,257.75,0.08,0,0.07,0,0,0,257.15,1258.09995903865,9.99995655772369,67.2999746494906,587.49993263009,3.99993846982923,0,0,2.49994395630473,276.365811960784,275.74702577903
"NICKFOLES","Nick Foles","QB","PHI",6,273.770152771227,261.34,271.9,304.5,265.560067010841,291.52,284.832,289.9,289.800067010841,273.040067010841,273.300067010841,270.880067010841,272.500067010841,271.32,286.94,263.947617010841,NA,283.46,522.4875,330.57,187.402160381192,4095.5,28.5000614860754,11.4999352647374,62.7599576202262,249.500025408543,2.49994051157374,0,0,0,0,0.8,3.69997766305303,276.853728431373,273.770152771227
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,271.999874604684,203.72,309.82,303.28,264.739952712843,293.3,288.59,276.96,252.559952712843,264.379952712843,266.299952712843,263.979952712843,267.899952712843,267.34,283.58,267.791802712843,NA,267.42,641.195188276714,387.499975102881,255.559037413183,4729.5,31.4999377272374,17.3500058449975,32.0000395175943,85.4999793893955,1.47003176315741,0,0,0,0,1,3.50001576238563,270.611260784314,271.999874604684
"CAMNEWTON","Cam Newton","QB","CAR",8,271.612219965256,255.43,265.14,268.3,261.292627641947,281.06,265.764,284.56,269.432627641947,267.872627641947,269.432627641947,269.552627641947,266.232627641947,282.82,296.14,284.402977641947,NA,254.46,477.846572180307,288.999985770158,188.16263595539,3457,22.4000097760118,13.499984213761,105.744991538618,580.00002276918,5.49991726393779,0,0,0,0,0.6,2.65579078601767,271.239510784314,271.612219965256
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,270.719983203277,297.53,299.34,285.3,253.719890516649,287.76,280.62,288.6,266.419890516649,278.079890516649,276.599890516649,260.179890516649,281.099890516649,264.36,287.54,244.790890516649,NA,257.16,470.000042743934,278.500063565761,188.294352763877,3544.5,23.7999634217455,10.6699786074388,88.4999766443884,495.5,4.00002913699367,0,0,0,0,0.6,3.00003649445027,274.346431372549,270.719983203277
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",10,269.929428875366,294.6,290.62,249.46,271.429551208638,288.7,269.892,260.26,259.449551208638,260.489551208638,253.569551208638,254.249551208638,265.569551208638,293.2,296.84,253.434801208638,NA,263.12,494.9,303.749973614291,189.999932770041,3731.5,23,12.5,94.3336268042983,546,3.4999796111213,0,0,0,0,1.15,3.91014959712054,269.651220588235,269.929428875366
"RUSSELLWILSON","Russell Wilson","QB","SEA",11,266.194357944523,323.58,268.74,270,257.759839359713,NA,264.902,275.88,255.639839359713,263.139839359713,278.499839359713,240.959839359713,282.499839359713,261.56,279.58,269.759039359713,NA,246.84,440.075702305285,280.1975,159.50002189019,3531.44,25.5000189821653,10.2000045474873,87.5883645010691,476.569961519054,2.72997669111747,0,0,0,0,0,3.5000535467624,268.76995,266.194357944523
"TOMBRADY","Tom Brady","QB","NE",12,265.610233599062,197.2,283.42,289.76,246.080109000919,NA,270.838,275.5,245.340109000919,255.000109000919,269.700109000919,251.420109000919,274.600109000919,254.42,280.68,266.090709000919,NA,276.64,627.999984617161,391.162900882992,233.727174574861,4463.5,30.0000370086062,11.4999691586498,29.0482834422042,32.4999183728618,1.46998203373016,0,0,0,0,0,3.49996366636031,264.848058333333,265.610233599062
"CALVINJOHNSON","Calvin Johnson","WR","DET",13,265.213505311947,218.315,271.85,269.35,277.599997476809,266.35,268.725,269.725,254.224997476809,254.974997476809,253.599997476809,278.599997476809,263.349997476809,239.75,277.875,267.077497476809,NA,238.325,0.01,0,0.01,0,0,0,0,0,0,94.4999862339098,1564.90993962293,11.9999608970453,0,0.3,1.00000084106367,261.495588235294,265.213505311947
"LESEANMCCOY","LeSean McCoy","RB","PHI",14,264.49974003297,311.015,291.825,246.35,251.049848363086,266.975,264.9025,255.95,266.199848363086,247.674848363086,246.599848363086,249.574848363086,251.224848363086,296.875,264.45,303.574998363086,NA,239.5,0.31,0,0.26,0,0,0,292.219935147757,1425.00005313989,9.99992222716863,45.22,412,2.40005883214725,0,1.05,2.00005054563808,265.34731627451,264.49974003297
"MATTRYAN","Matt Ryan","QB","ATL",15,263.275127237304,237.51,290.38,289.44,246.080062667693,282.76,276.122,246.16,258.800062667693,252.880062667693,245.800062667693,250.540062667693,254.900062667693,279.62,274.48,263.612362667693,NA,269.25,636.499982589449,418.5,219,4639.5,29.0000446308427,14.684950468456,24.916475345496,73.500041603601,0.999955548541429,0,0,0,0,0.7,2.99997911076911,264.384439215686,263.275127237304
"TONYROMO","Tony Romo","QB","DAL",16,261.525558918657,277.86,279.34,274.48,250.709967584553,1.4,264.95,241.94,244.809967584553,244.169967584553,245.649967584553,246.929967584553,283.349967584553,261.3,275.68,252.069567584553,NA,266.4,598.07041705002,380.25,219.155,4432,30.7612518495662,14.4999347945228,23.4244676233904,43.4999503741116,0.950065546999316,0,0,0,0,0.7,2.25001080514888,260.495183333333,261.525558918657
"PHILIPRIVERS","Philip Rivers","QB","SD",17,251.330475578818,263.23,251.58,258.84,246.974943301659,1.4,250.574,232,240.05494330166,237.15494330166,233.794943301659,241.714943301659,250.694943301659,263.92,260.02,262.698593301659,NA,242.63,554.51,364.471819064764,187.514990665319,4333.5,29.4999510818973,13.1118963488912,27.0572215991503,47.3472777407577,0.63278153702792,0,0,0,0,0.7,3.53501889944684,250.369545833333,251.330475578818
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",18,250.275542288666,306.18,249.4,261.65,250.400205361566,255.025,255.3,268.65,256.525205361566,236.275205361566,241.900205361566,243.900205361566,269.150205361566,198.125,252.175,240.612705361566,NA,231.85,0.02,0,0.02,0,0,0,0,0,0,93.9999640538168,1423,12.5000561545167,0,0.2,0.999931546144789,251.780214932127,250.275542288666
