"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,NA,NA,4882,44,14,NA,-13,1,NA,0,0,1,0,349.98
"DREWBREES","Drew Brees","QB","NO",2,2,NA,NA,4998,38,12,NA,43,1,NA,0,0,1,0,340.22
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,NA,NA,4497,35,10,NA,282,2,NA,0,0,0,0,340.08
"ANDREWLUCK","Andrew Luck","QB","IND",4,4,NA,NA,4315,28,11,NA,344,3,NA,0,0,1,0,317
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",5,5,NA,NA,3955,23,11,NA,590,3,NA,0,0,2,0,309.2
"CAMNEWTON","Cam Newton","QB","CAR",6,6,NA,NA,3701,25,12,NA,521,5,NA,0,0,1,0,308.14
"NICKFOLES","Nick Foles","QB","PHI",7,7,NA,NA,4286,30,13,NA,185,2,NA,0,0,2,0,299.94
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",8,8,NA,NA,4852,31,16,NA,55,1,NA,0,0,1,0,299.58
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,9,NA,NA,3536,26,11,NA,491,4,NA,0,0,1,0,298.54
"TOMBRADY","Tom Brady","QB","NE",10,10,NA,NA,4697,30,12,NA,28,1,NA,0,0,0,0,292.68
"RUSSELLWILSON","Russell Wilson","QB","SEA",11,11,NA,NA,3677,25,11,NA,475,3,NA,0,0,0,0,290.58
"TONYROMO","Tony Romo","QB","DAL",12,12,NA,NA,4322,33,12,NA,68,0,NA,0,0,0,0,287.68
"MATTRYAN","Matt Ryan","QB","ATL",13,13,NA,NA,4677,30,13,NA,64,0,NA,0,0,0,0,287.48
"JAYCUTLER","Jay Cutler","QB","CHI",14,14,NA,NA,4001,30,15,NA,155,1,NA,0,0,2,0,275.54
"PHILIPRIVERS","Philip Rivers","QB","SD",15,15,NA,NA,4258,31,12,NA,17,0,NA,0,0,0,0,272.02
"ALEXSMITH","Alex Smith","QB","KC",16,16,NA,NA,3731,24,12,NA,365,2,NA,0,0,1,0,271.74
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",17,17,NA,NA,3805,25,13,NA,278,2,NA,0,0,2,0,270
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",18,18,NA,NA,4299,28,14,NA,100,0,NA,0,0,1,0,267.96
"ANDYDALTON","Andy Dalton","QB","CIN",19,19,NA,NA,4080,28,15,NA,150,1,NA,0,0,0,0,266.2
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,20,NA,NA,3988,25,13,NA,203,2,NA,0,0,0,0,265.82
"CARSONPALMER","Carson Palmer","QB","ARI",21,21,NA,NA,4235,31,17,NA,19,0,NA,0,0,0,0,261.3
"JAKELOCKER","Jake Locker","QB","TEN",22,22,NA,NA,3531,21,12,NA,359,4,NA,0,0,0,0,261.14
"ADRIANPETERSON","Adrian Peterson","RB","MIN",1,23,NA,NA,0,0,0,NA,1495,13,NA,165,2,1,3,252
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,24,NA,NA,0,0,0,NA,1342,8,NA,554,2,2,1,251.6
"JAMAALCHARLES","Jamaal Charles","RB","KC",3,25,NA,NA,0,0,0,NA,1188,9,NA,570,3,0,2,243.8
"EJMANUEL","EJ Manuel","QB","BUF",23,26,NA,NA,3403,18,15,NA,420,3,NA,0,0,1,0,240.12
