"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklySD","weeklyVariability","ydsPerRec","totalTds"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,337.509745145084,346.76,346.08,363,359.4,348.968,330.92,356.98,333.86,337.2,330.24,356,335.98,343.38,5114,44.7499650802738,12.0000167129204,-1.4999958237707,0,0,0,0,1.05,4.00002181829103,341.816769230769,337.509745145084,5.6210117166045,-0.521632075653899,NA,44.7499650802738
"AARONRODGERS","Aaron Rodgers","QB","GB",2,314.980067475332,337.46,338.26,344.62,311.22,334.88,282.02,328.2,311.24,318.8,285.74,336.5,330.08,297.38,4467.5,35.000077932175,10.0000298051316,224.799925293313,2,0,0,0,0.4,3.00004912243475,316.226923076923,314.980067475332,5.96307885433371,1.6486373162221,NA,37.000077932175
"DREWBREES","Drew Brees","QB","NO",3,313.1296844079,323.6,326.02,318.6,312.9,321.09,312.92,324.42,304.76,300.1,299.96,324.5,328.22,310.44,4978.75,37.9999929798066,14.7500569101169,43.3000698785546,1.00000088960098,0,0,0,0.95,2.00004303547902,314.367692307692,313.1296844079,5.86428548231524,1.47079293568831,NA,38.9999938694076
"ANDREWLUCK","Andrew Luck","QB","IND",4,284.100373360328,302.58,279.16,279.34,287.58,283.21,288,282.1,291.72,300.8,283.9,294,306,259.94,4314.99999002111,26.6000599195406,12.5000462946834,323.5,3.00004549422864,0,0,0,0.85,3.15,284.613846153846,284.100373360328,6.47747128698691,4.75108002917481,NA,29.6001054137692
"NICKFOLES","Nick Foles","QB","PHI",5,281.180635564146,280.54,297.5,275.06,330.1,282.484,288.3,291.3,286.5,283.8,279.82,271.1,286.94,290.26,4147,29.5000438596783,11.4999994437435,250.999922505922,2.50004547206428,0,0,0,1.4,3.69993554210465,285.392615384615,281.180635564146,6.26258906673191,4.30489677146624,NA,32.0000893317426
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",6,279.209782742208,314.14,322.34,261.52,305.4,295.692,304.38,274.22,277,277.1,267.94,273.9,295.84,246.28,3549,24.4999574239965,10.0000909595018,511.5,4.00001746884343,0,0,0,0.8,2.49995962944444,283.438615384615,279.209782742208,6.37373312891518,4.72268105869224,NA,28.4999748928399
"JAMAALCHARLES","Jamaal Charles","RB","KC",7,277.887860650701,307.4,268.025,265.375,282.625,279.9075,279.5,283.025,282.125,284.75,278.95,311.25,257.35,274.65,0,0,0,1275.50003586575,9.99994531990657,65.5942008736484,583.5,4.00009101810374,0.15,2.29995365464509,278.316785714286,277.887860650701,5.07390615369844,1.14593228880435,8.89560345622587,14.0000363380103
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",8,276.889918051833,300.32,276.48,280.86,NA,282.588,257.96,278.88,287.36,287.7,263.68,300.6,295.88,261.56,3848.75,23.4999549580128,13.4999706067168,563.4,3.5,0,0,0,1.3,3.49999665335606,278.997333333333,276.889918051833,6.42989565297097,5.00491733610712,NA,26.9999549580128
"CAMNEWTON","Cam Newton","QB","CAR",9,276.800285116127,285.54,264.1,281.3,282.3,276.592,283.36,292.2,282.7,273.4,285.48,300.9,300.66,241.16,3485,22.0000450783126,14.0000607288771,613,6.00005388975685,0,0,0,0.8,2.50001211634427,278.599384615385,276.800285116127,6.41246720773409,4.9608222470076,NA,28.0000989680695
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",10,275.210346040118,307.82,298.88,273.24,296.46,284.27,274.96,253.06,273.92,274.8,272.92,292,281.62,261.82,4801.5,31.7500399205945,17.7500833114539,83.5,1.50004211006904,0,0,0,0.9,3.2499387894374,277.013076923077,275.210346040118,6.03610963597347,3.99004562014692,NA,33.2500820306635
