"name","player","pos","team","rank","risk"
"JJWATT","J.J. Watt","DE","HOU",1.6,1.2
"LUKEKUECHLY","Luke Kuechly","LB","CAR",2.6,0.8
"LAVONTEDAVID","Lavonte David","LB","TB",2.8,0.7
"VONTAZEBURFICT","Vontaze Burfict","LB","CIN",4.2,0.7
"ROBERTQUINN","Robert Quinn","DE","STL",4.8,2.7
"PAULPOSLUSZNY","Paul Posluszny","LB","JAC",6.2,1.5
"CHANDLERJONES","Chandler Jones","DE","NE",7,0
"DERRICKJOHNSON","Derrick Johnson","LB","KC",7.8,1.6
"PATRICKWILLIS","Patrick Willis","LB","SF",8.2,0.4
"KARLOSDANSBY","Karlos Dansby","LB","CLE",11.2,0.4
"BOBBYWAGNER","Bobby Wagner","LB","SEA",11.4,1.4
"JERODMAYO","Jerod Mayo","LB","NE",12.8,3.5
"JAMESLAURINAITIS","James Laurinaitis","LB","STL",14.4,3.3
"GREGHARDY","Greg Hardy","DE","CAR",14.6,1.9
"PAULWORRILOW","Paul Worrilow","LB","ATL",15.6,2.1
"CAMERONWAKE","Cameron Wake","DE","MIA",17.4,3.4
"ALECOGLETREE","Alec Ogletree","LB","STL",18.2,3.9
"BRIANCUSHING","Brian Cushing","LB","HOU",19.6,3.9
"JASONPIERREPAUL","Jason Pierre-Paul","DE","NYG",20.6,8.2
"MYCHALKENDRICKS","Mychal Kendricks","LB","PHI",24.4,6.9
"BARRYCHURCH","Barry Church","S","DAL",25.4,9.1
"ROBNINKOVICH","Rob Ninkovich","DE","NE",26.8,4.6
"HARRISONSMITH","Harrison Smith","S","MIN",27,7.8
"DEMARCUSWARE","Demarcus Ware","DE","DEN",27,9.1
"MARIOWILLIAMS","Mario Williams","DE","BUF",27,3.2
"CALAISCAMPBELL","Calais Campbell","DE","ARI",28.4,3.2
"CHADGREENWAY","Chad Greenway","LB","MIN",29.8,10.8
"DQWELLJACKSON","D'Qwell Jackson","LB","IND",31.2,6.6
"MUHAMMADWILKERSON","Muhammad Wilkerson","DE","NYJ",32,9.5
"MORGANBURNETT","Morgan Burnett","S","GB",32.6,7.6
"CAMERONJORDAN","Cameron Jordan","DE","NO",34.4,5.2
"CARLOSDUNLAP","Carlos Dunlap","DE","CIN",36,6
"ERICWEDDLE","Eric Weddle","S","SD",37.8,12
"TJWARD","T.J. Ward","S","DEN",39,6.1
"WESLEYWOODYARD","Wesley Woodyard","LB","TEN",40,15.1
"PERRYRILEY","Perry Riley","LB","WAS",40.2,9.5
"DARYLSMITH","Daryl Smith","LB","BAL",40.6,4.2
"DONALDBUTLER","Donald Butler","LB","SD",41,11.6
"VONMILLER","Von Miller","LB","DEN",42,12.2
"LAWRENCETIMMONS","Lawrence Timmons","LB","PIT",43.6,3.3
"CURTISLOFTON","Curtis Lofton","LB","NO",43.8,3.1
"THOMASDAVIS","Thomas Davis","LB","CAR",44,12.7
"DANNYTREVATHAN","Danny Trevathan","LB","DEN",44.4,25.2
"LAMARRHOUSTON","Lamarr Houston","DE","CHI",45.4,10.3
"JADEVEONCLOWNEY","Jadeveon Clowney","DE","HOU",45.5,13.5
"JERRELLFREEMAN","Jerrell Freeman","LB","IND",45.6,12.5
"EZEKIELANSAH","Ezekiel Ansah","DE","DET",45.8,12.4
"CHARLESJOHNSON","Charles Johnson","DE","CAR",48.2,6.5
"CJMOSLEY","C.J. Mosley","LB","BAL",48.8,14
"OLIVIERVERNON","Olivier Vernon","DE","MIA",49,11.3
"DEMECORYANS","DeMeco Ryans","LB","PHI",50.2,5.9
"STEPHENTULLOCH","Stephen Tulloch","LB","DET",50.6,10.2
"RYANSHAZIER","Ryan Shazier","LB","PIT",50.8,16.5
"MARKBARRON","Mark Barron","S","TB",52.2,10.8
"JOHNATHANCYPRIEN","Johnathan Cyprien","S","JAC",52.8,8
"KENNYVACCARO","Kenny Vaccaro","S","NO",53.8,17.3
"MICHAELJOHNSON","Michael Johnson","DE","TB",54.6,7.4
"TYVONBRANCH","Tyvon Branch","S","OAK",56,19.4
"ERICBERRY","Eric Berry","S","KC",56.6,8.5
"BERNARDPOLLARD","Bernard Pollard","S","TEN",56.8,5.4
"BRANDONSPIKES","Brandon Spikes","LB","BUF",57.5,11.6
"BRADJONES","Brad Jones","LB","GB",58.3,21.7
"KHALILMACK","Khalil Mack","LB","OAK",59.7,27.6
"EARLTHOMAS","Earl Thomas","S","SEA",61.8,21.9
"JAMIECOLLINS","Jamie Collins","LB","NE",62.3,11.2
"MASONFOSTER","Mason Foster","LB","TB",62.6,9.2
"DEANDRELEVY","DeAndre Levy","LB","DET",64,6.3
"JONBEASON","Jon Beason","LB","NYG",64.7,20
"NICKROACH","Nick Roach","LB","OAK",65.8,5.1
"JUSTINHOUSTON","Justin Houston","LB","KC",66.8,16.2
"JAREDALLEN","Jared Allen","DE","CHI",67.4,4.2
"ANTRELROLLE","Antrel Rolle","S","NYG",68.2,2.7
"JUSTINTUCK","Justin Tuck","DE","OAK",68.6,5.8
"AUDIECOLE","Audie Cole","LB","MIN",72,12
"KEVINMINTER","Kevin Minter","LB","ARI",73.3,30.8
"SHELDONRICHARDSON","Sheldon Richardson","DE","NYJ",73.5,5
"DONTEWHITNER","Donte Whitner","S","CLE",74,6.7
"GENOATKINS","Geno Atkins","DT","CIN",74.8,8.4
"CLIFFAVRIL","Cliff Avril","DE","SEA",74.8,5.5
"CHRISLONG","Chris Long","DE","STL",75,15.5
"TYRANNMATHIEU","Tyrann Mathieu","S","ARI",75,19.2
"EVERSONGRIFFEN","Everson Griffen","DE","MIN",76.8,10.2
"MICHAELBENNETT","Michael Bennett","DT","SEA",77.5,5.9
"KEENANROBINSON","Keenan Robinson","LB","WAS",78,13
"LANCEBRIGGS","Lance Briggs","LB","CHI",78.5,11.3
"KOAMISI","Koa Misi","LB","MIA",78.5,1.5
"NIGELBRADHAM","Nigel Bradham","LB","BUF",81.3,9
"STEVIEBROWN","Stevie Brown","S","NYG",81.3,6.4
"ZACHBROWN","Zach Brown","LB","TEN",82,9.2
"LAMARRWOODLEY","LaMarr Woodley","LB","OAK",82.5,13.5
"ADRIANCLAYBORN","Adrian Clayborn","DE","TB",82.7,3.4
"JURRELLCASEY","Jurrell Casey","DT","TEN",82.8,16
"NAVORROBOWMAN","Navorro Bowman","LB","SF",83.6,8.7
"CLAYMATTHEWS","Clay Matthews","LB","GB",84.3,22.1
"LARONLANDRY","LaRon Landry","S","IND",85,25.6
"WILLIAMMOORE","William Moore","S","ATL",86,2.5
"JOPLOBARTU","Joplo Bartu","LB","ATL",86.3,6.5
"JERRYHUGHES","Jerry Hughes","DE","BUF",87,6.5
"DAVIDHARRIS","David Harris","LB","NYJ",87.5,0.5
"GERALDMCCOY","Gerald McCoy","DT","TB",87.8,7.3
"ROMANHARPER","Roman Harper","S","CAR",90.7,14.8
"KAMCHANCELLOR","Kam Chancellor","S","SEA",91.3,4.4
"RESHADJONES","Reshad Jones","S","MIA",92.3,25.3
"JASONWORILDS","Jason Worilds","LB","PIT",93.7,4.6
"LARRYFOOTE","Larry Foote","LB","ARI",94,0
"EMMANUELLAMUR","Emmanuel Lamur","LB","CIN",94.5,3.5
"BRIANROBISON","Brian Robison","DE","MIN",95.7,9.8
"NDAMUKONGSUH","Ndamukong Suh","DT","DET",98,6.2
"CHARLESTILLMAN","Charles Tillman","CB","CHI",98.7,9.5
"TJMCDONALD","T.J. McDonald","S","STL",101.5,3.5
"DONTARIPOE","Dontari Poe","DT","KC",104.5,22.5
"KYLEWILLIAMS","Kyle Williams","DT","BUF",107,8
"DJWILLIAMS","D.J. Williams","LB","CHI",108,33
"BRUCECARTER","Bruce Carter","LB","DAL",116,31
