"name","player","team","rank","risk"
"STEPHENGOSTKOWSKI","Stephen Gostkowski","NE",1.9,1.4
"MATTPRATER","Matt Prater","DEN",2.1,1.2
"JUSTINTUCKER","Justin Tucker","BAL",4.4,2
"STEVENHAUSCHKA","Steven Hauschka","SEA",4.8,3.3
"PHILDAWSON","Phil Dawson","SF",5.2,2.9
"DANBAILEY","Dan Bailey","DAL",6.9,1.8
"MASONCROSBY","Mason Crosby","GB",7.6,2.9
"MATTBRYANT","Matt Bryant","ATL",9.7,3.5
"BLAIRWALSH","Blair Walsh","MIN",10,5.6
"NICKNOVAK","Nick Novak","SD",10.3,2.7
"ADAMVINATIERI","Adam Vinatieri","IND",10.9,2.8
"ROBBIEGOULD","Robbie Gould","CHI",11.9,3.3
"ALEXHENERY","Alex Henery","PHI",13.3,3.4
"SHAYNEGRAHAM","Shayne Graham","NO",14.4,4.7
"GREGZUERLEIN","Greg Zuerlein","STL",15.2,4.8
"SEBASTIANJANIKOWSKI","Sebastian Janikowski","OAK",17.3,5.1
"RYANSUCCOP","Ryan Succop","KC",17.6,2.5
"GRAHAMGANO","Graham Gano","CAR",18.1,3
"CALEBSTURGIS","Caleb Sturgis","MIA",19.4,2.9
"NICKFOLK","Nick Folk","NYJ",19.6,4.3
"NATEFREESE","Nate Freese","DET",20.7,7.1
"SHAUNSUISHAM","Shaun Suisham","PIT",21,3.5
"JAYFEELY","Jay Feely","ARI",21.6,5.2
"KAIFORBATH","Kai Forbath","WAS",21.7,5.1
"DANCARPENTER","Dan Carpenter","BUF",21.9,5.4
"DAVIDAKERS","David Akers","DET",21.9,5
"MIKENUGENT","Mike Nugent","CIN",23.2,3.8
"CONNORBARTH","Connor Barth","TB",23.4,4.9
"LAWRENCETYNES","Lawrence Tynes",NA,24,6.5
"JOSHBROWN","Josh Brown","NYG",25.7,4.1
"RANDYBULLOCK","Randy Bullock","HOU",26.4,3.8
"MAIKONBONANI","Maikon Bonani","TEN",28.3,5.4
"BILLYCUNDIFF","Billy Cundiff","CLE",28.8,3.3
"ROBBIRONAS","Rob Bironas",NA,28.9,4.7
"JOSHSCOBEE","Josh Scobee","JAC",29.2,3.4
"RIANLINDELL","Rian Lindell","TB",30.3,2.5
"DUSTINHOPKINS","Dustin Hopkins","BUF",30.7,2.1
"ZACHHOCKER","Zach Hocker","WAS",31.5,2.6
