order,player,pos,team,rank,risk
1,J.J. Watt,DE,HOU,1,0
2,Lavonte David,LB,TB,3,1.2
3,Luke Kuechly,LB,CAR,3.3,0.8
4,Vontaze Burfict,LB,CIN,3.5,1.1
5,Paul Posluszny,LB,JAC,5,0.7
6,Robert Quinn,DE,STL,6,2.1
7,Chandler Jones,DE,NE,7,0
8,Derrick Johnson,LB,KC,8,1.2
9,Patrick Willis,LB,SF,8.3,0.4
10,Jerod Mayo,LB,NE,11.3,1.6
11,Bobby Wagner,LB,SEA,11.3,1.1
12,Karlos Dansby,LB,CLE,12.3,1.1
13,Greg Hardy,DE,CAR,14.8,1.9
14,Paul Worrilow,LB,ATL,15,1.9
15,Cameron Wake,DE,MIA,15.8,2.6
16,James Laurinaitis,LB,STL,16.5,4.2
17,Brian Cushing,LB,HOU,17,2.5
18,Alec Ogletree,LB,STL,19.3,3.1
19,Demarcus Ware,DE,DEN,21.5,2.3
20,Jason Pierre-Paul,DE,NYG,25.3,8.6
21,Chad Greenway,LB,MIN,25.5,8.7
22,Barry Church,S,DAL,26,10
23,Rob Ninkovich,DE,NE,26.3,5.2
24,Calais Campbell,DE,ARI,27.5,3
25,Morgan Burnett,S,GB,28.8,8.3
26,Mario Williams,DE,BUF,29,1.6
27,Harrison Smith,S,MIN,29.5,9.2
28,Wesley Woodyard,LB,TEN,33.8,14.5
29,Cameron Jordan,DE,NO,33.8,6.6
30,D'Qwell Jackson,LB,IND,35,9.9
31,Carlos Dunlap,DE,CIN,35.5,5.5
32,C.J. Mosley,LB,BAL,35.8,15
33,Muhammad Wilkerson,DE,NYJ,36,9.6
34,Eric Weddle,S,SD,36.5,12.9
35,Von Miller,LB,DEN,37.8,12.1
36,Johnathan Cyprien,S,JAC,38.8,10.4
37,Lawrence Timmons,LB,PIT,39,6.8
38,Curtis Lofton,LB,NO,40,5.4
39,Thomas Davis,LB,CAR,40,12.2
40,Daryl Smith,LB,BAL,41.8,4.3
41,Donald Butler,LB,SD,42.3,9.8
42,Lamarr Houston,DE,CHI,42.8,11.5
43,Mychal Kendricks,LB,PHI,43.5,18.8
44,DeMeco Ryans,LB,PHI,43.8,7.5
45,Jerrell Freeman,LB,IND,44.3,11.4
46,Jadeveon Clowney,DE,HOU,44.5,12.5
47,Stephen Tulloch,LB,DET,45,8
48,T.J. Ward,S,DEN,45,2
49,Olivier Vernon,DE,MIA,46.3,11.8
50,Ezekiel Ansah,DE,DET,49.5,11.9
51,Perry Riley,LB,WAS,49.5,2.7
52,Brad Jones,LB,GB,49.7,9
53,Danny Trevathan,LB,DEN,50,22.1
54,Kenny Vaccaro,S,NO,51.5,15.3
55,Charles Johnson,DE,CAR,52,2.5
56,Mark Barron,S,TB,52.3,10.3
57,Ryan Shazier,LB,PIT,52.8,18.9
58,Michael Johnson,DE,TB,56,6.7
59,Khalil Mack,LB,OAK,60.3,29
60,Earl Thomas,S,SEA,60.8,16.4
61,Mason Foster,LB,TB,61.3,5.1
62,Justin Houston,LB,KC,61.5,12.8
63,Bernard Pollard,S,TEN,62,3.9
64,Jamie Collins,LB,NE,62.7,9.5
65,Eric Berry,S,KC,63,6.2
66,Tyvon Branch,S,OAK,63.5,16.5
67,Nick Roach,LB,OAK,64.5,7.2
68,Antrel Rolle,S,NYG,65.8,3.8
69,DeAndre Levy,LB,DET,66.7,7.6
70,Jared Allen,DE,CHI,67,4.4
71,Chris Long,DE,STL,68.3,16.8
72,Everson Griffen,DE,MIN,70,6.2
73,Justin Tuck,DE,OAK,70.5,6.6
74,Jon Beason,LB,NYG,71.3,11.1
75,Lance Briggs,LB,CHI,72.5,11.8
76,Navorro Bowman,LB,SF,73.5,10.2
77,Geno Atkins,DT,CIN,75,7.1
78,Sheldon Richardson,DE,NYJ,76.7,7.5
79,Nigel Bradham,LB,BUF,77.3,7.6
80,Tyrann Mathieu,S,ARI,77.7,24.9
81,Cliff Avril,DE,SEA,80,5.7
82,Jurrell Casey,DT,TEN,80.3,17.9
83,Stevie Brown,S,NYG,80.7,5.3
84,Clay Matthews,LB,GB,81.8,19.7
85,Jerry Hughes,DE,BUF,82,3
86,Roman Harper,S,CAR,83,7.9
87,Koa Misi,LB,MIA,83,6.5
88,Kevin Minter,LB,ARI,85.3,22.9
89,William Moore,S,ATL,85.7,7.7
90,Joplo Bartu,LB,ATL,88,7.8
91,LaRon Landry,S,IND,88.7,23.9
92,Brian Robison,DE,MIN,89,4.9
93,Gerald McCoy,DT,TB,89.5,7.4
94,Kam Chancellor,S,SEA,89.5,6.5
95,David Harris,LB,NYJ,93,5
96,LaMarr Woodley,LB,OAK,93.7,20.7
97,D.J. Williams,LB,CHI,94.5,15.7
98,Reshad Jones,S,MIA,95,34
99,Emmanuel Lamur,LB,CIN,95,3.7
100,Donte Whitner,S,CLE,95.3,7.4
101,Michael Bennett,DT,SEA,95.7,18
102,Zach Brown,LB,TEN,97.3,5.7
103,Charles Tillman,CB,CHI,99,6
104,Ndamukong Suh,DT,DET,105.7,13
