"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,339.266994351054,321.7,346.76,343.28,363,349.5,347.408,330.92,356.98,330.1,337.2,330.52,359.2,276.76,335.98,NA,336.06,636.499970073758,426.25,205.810299976077,5105.425,44.0000178795132,12.0000465934015,23.9999283127276,-2.00003530103935,0.999987677132659,0,0,0,0,1,4.24995330649557,333.491583333333,339.266994351054
"AARONRODGERS","Aaron Rodgers","QB","GB",2,316.945329112318,291.16,337.46,340.26,344.62,335.42,335.48,293.74,328.2,313.84,320.8,301.96,336.9,290,330.08,NA,302.16,549.025,361.8,184.500033733592,4490.75,35.4999922701707,9.95004059831333,48.5000099386076,223.380268370332,1.97125525076647,0,0,0,0,0,3.00002550501895,317.742083333333,316.945329112318
"DREWBREES","Drew Brees","QB","NO",3,315.116297253094,317.46,323.6,322.42,318.6,326.08,320.61,312.92,324.42,305.92,300.5,299.8,326.5,310.8,328.22,NA,310.4,638.4,421.601508134058,213.85,4990.94436601243,38.2920906370788,14.2700228311753,24,44.9999737548573,1.0000294637226,0,0,0,0,1,2.45998186667119,315.920458333333,315.116297253094
"ANDREWLUCK","Andrew Luck","QB","IND",4,288.194107580342,352.51,302.58,275.36,279.34,289.46,282.07,288,294.1,295.96,301.8,293.5,298,256.2,306,NA,267.38,595.500032447457,365.000077181428,230.742941061386,4309.44053413694,27.4999429773872,12.0000142531072,61.0000461575133,316.195935128525,3.00005859871852,0,0,0,0,0.7,3.0677293468423,288.922208333333,288.194107580342
"NICKFOLES","Nick Foles","QB","PHI",5,276.396240810082,259.74,270.3,294.7,275.06,294.64,283.604,288.3,299.3,284.14,282.8,280.46,282,268.02,286.94,NA,281.14,523.989,332.684936659738,186.281272629141,4117.75,28.9999390081568,11.5000485302301,63.0000056272531,246.865633573039,2.5,0,0,0,0,0.8,3.69997766305303,277.019541666667,276.396240810082
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",6,275.660434167799,292.3,300.32,270.8,280.86,292.2,280.684,257.96,268.88,274.52,289.3,263.68,279,257.24,296.84,NA,264.48,509.425,312.55,195.402258213207,3814.4,23.3345247954475,12.4999104595879,94.9999592320373,552.4,3.49998415546308,0,0,0,0,1.15,3.76461285600201,274.11125,275.660434167799
"JAMAALCHARLES","Jamaal Charles","RB","KC",7,275.119402597478,311.75,307.4,265.025,265.375,274.05,279.0075,279.5,283.025,271.25,274.75,282.7,317.25,244.325,256.05,NA,256.15,0,0,0,0,0,0,255.25,1262.8,9.87370685930439,66.4999538776475,584.775,3.99999892528632,0,0,2.49990237002197,274.94659375,275.119402597478
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",8,274.934289473856,296.33,302.14,323.14,261.52,294.24,295.932,287.4,274.22,285.88,284.4,267.98,277.9,247.12,287.54,NA,254.42,469.00006330452,278.999960862171,184.141862031941,3563.25,23.9999851218034,10.0150249421963,88.5000103163709,502.5,3.99992221609703,0,0,0,0,0.6,3.00003649445027,278.404916666667,274.934289473856
"CAMNEWTON","Cam Newton","QB","CAR",9,272.918072899952,254.23,281.94,267.1,281.3,281.62,277.372,283.36,276.2,288.62,274.4,276.56,289.9,263.06,296.14,NA,253.14,484.260646156682,293.999988706556,189.000060532256,3485.5,22.4999873811161,13.7499933060013,109.000013175017,585.15,5.50007927525741,0,0,0,0,0.6,2.65579078601767,273.759041666667,272.918072899952
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",10,271.700934734451,201.72,307.82,301.28,273.24,291.3,285.79,274.96,261.06,272.88,274.8,272.48,276.4,254.04,283.58,NA,266.86,639.199996398589,387.15,253.999969963407,4727,31.4999716245932,17.3500389566853,31.7500485522183,81.7124545341887,1.49999448997874,0,0,0,0,1,3.50001576238563,269.819541666667,271.700934734451
"MATTRYAN","Matt Ryan","QB","ATL",11,264.019427187751,236.11,288.98,271.64,253.68,278.48,271.302,244.76,266.4,265.32,253.4,255.54,256.5,290.48,274.48,NA,269.22,633.047286344224,416.210143734332,216.25,4640.26034474173,29.4999663038273,14.9999534621473,23.5000166088491,70.0962041339645,0.999914968849668,0,0,0,0,0.7,3.0000338857601,263.060583333333,264.019427187751
"CALVINJOHNSON","Calvin Johnson","WR","DET",12,263.49667047136,217.715,271.25,268.75,280,265.75,268.125,269.125,256.625,257.375,256,281,265.75,213,277.875,NA,238.2,0,0,0,0,0,0,0,0,0,94.0499886301739,1551.17658479138,11.9999333159381,0,0.3,1.00000084106367,259.42775,263.49667047136
"TOMBRADY","Tom Brady","QB","NE",13,262.910264082943,197.2,279.42,284.28,256.58,NA,267.994,275.5,255.84,261.22,280.2,261.84,285.1,260.94,280.68,NA,276.68,629.349996428457,389.75,236.5,4461.5,30.0000100834499,11.4999732186101,28.5000443244026,31.5000344929702,1.05000515912622,0,0,0,0,0,3.49996366636031,263.890207142857,262.910264082943
"TONYROMO","Tony Romo","QB","DAL",14,261.301580455059,276.46,277.94,260.28,256.06,NA,259.41,240.54,250.16,253.4,251,252.28,281.9,273.56,275.68,NA,265.88,596.249976515185,380.625,216.75,4423.67418090414,30.9999609967306,14.5000184845315,22.9999628159218,42.2531092318247,0.999924841012928,0,0,0,0,0.7,2.5900117612315,260.447619047619,261.301580455059
"LESEANMCCOY","LeSean McCoy","RB","PHI",15,261.223528681493,308.915,289.725,244.25,254.95,264.875,262.8025,281.175,270.1,249.7,250.5,254.425,255.125,274.5,264.45,NA,237.325,0,0,0,0,0,0,293.361082175926,1420.51124014763,9.71505131085405,44.4999940564192,404.475,2.37047890642012,0,1.05,2.00005054563808,262.968177083333,261.223528681493
"RUSSELLWILSON","Russell Wilson","QB","SEA",16,260.168363296631,323.58,268.74,247,268.26,NA,257.402,275.88,266.14,273.64,278.6,251.46,287,233.84,279.58,NA,242.54,435.000002586906,276.825,157.000070159948,3486.95,25.5000204877908,10.5976935455924,87.0000027770554,474.836934434177,2.49992901559005,0,0,0,0,0,3.99996851823775,263.047288095238,260.168363296631
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",17,251.381561348738,305.78,249,261.25,253,254.625,254.9,268.25,259.125,241.125,244.5,246.625,271.75,195.5,252.175,NA,229.8,0,0,0,0,0,0,0,0,0,94.0000148879363,1430.25,12.5000176645287,0,0.3,0.999931546144789,252.349770833333,251.381561348738
"PHILIPRIVERS","Philip Rivers","QB","SD",18,250.93480300012,261.83,250.18,254.44,256.18,NA,248.514,230.6,249.26,247,243,250.92,259.9,268.82,260.02,NA,242.41,556,365,187.499950652283,4348,29.4499621482087,13.4999956950539,27.4999788588307,48.999981907879,0.67,0,0,0,0,0.7,3.53501889944684,249.502516666667,250.93480300012
"MATTFORTE","Matt Forte","RB","CHI",19,250.037336668946,260.9,270.7,249.1,254.7,254.85,253.305,250.5,244.125,234.425,250.625,239.5,250.625,282.475,250.75,NA,236.55,0,0,0,0,0,0,275.260080645161,1247.75,8,65.4999582195163,531.697087378267,2.50001987535393,0,1.05,2.09997283515361,250.602333333333,250.037336668946
"JAYCUTLER","Jay Cutler","QB","CHI",20,245.322112613714,248.25,276.98,257.68,235.72,NA,252.674,262.14,255.66,245.88,248,239.98,249.5,237.74,260.54,NA,236.6,552.000031257548,342.174262612835,209.5,4095.9,28.8200202480357,15.4999311507519,32.000015293274,158.053189915593,1.00004508852609,0,0,0,0,0.7,3.49992148296322,244.384242857143,245.322112613714
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,241.713631191167,226.935,250.8,223.825,262.625,244.025,240.2325,244.5,249.1,241.775,252.25,236.9,246.75,244.9,253.125,NA,236.125,0,0,0,0,0,0,299.999983685518,1393.32033021171,11.4999624248865,38.9499384044083,260.000038696741,1.31611792812559,0,1,3.00496292838969,242.152927083333,241.713631191167
