"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
69210,2495450,92,1293,9.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69211,2539256,15,163,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69212,2540267,10,94,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69213,2541785,3,40,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69214,2550272,30,475,2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69215,2550353,42,586,4.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69216,2543509,87,1058,4.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69217,2533039,95,1233,8.8,6,34,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69218,2552487,75,1042,6.1,3,16,0.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69219,206,9,114,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69220,2495453,23,329,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69221,2505551,78,1083,5.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69222,497320,29,413,1.9,2,19,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69223,2508097,53,589,2.6,4,19,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69224,2505587,82,1014,5.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69225,2508061,117,1551,11.5,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69226,2543498,88,1022,7.5,12,113,0.7,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69227,2550328,8,163,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69228,81288,9,102,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69229,497302,72,899,6.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69230,2495893,82,1046,5.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69231,81306,10,92,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69232,2535966,6,72,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69233,2552597,56,852,6.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69234,81831,22,327,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69235,2532933,51,747,5.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69236,2541388,7,97,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69237,2535988,4,43,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69238,2543646,19,254,1.9,4,22,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69239,2495647,90,1359,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69240,2495341,31,326,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69241,2541147,62,909,6.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69242,2552652,20,247,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69243,2533532,7,77,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69244,2535634,7,77,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69245,2530515,18,205,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69246,2531049,16,190,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69247,2543590,36,502,4.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69248,2535698,41,485,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69249,2540145,28,316,1.2,6,61,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69250,2540261,7,127,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69251,2550413,4,48,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69252,2536031,19,217,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69253,2649,26,225,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
