"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,339.119758400787,323.7,348.76,348.48,352.250140080513,355.3,350.368,332.92,346.230140080513,307.610140080513,326.450140080513,320.290140080513,344.450140080513,293.7,335.98,326.292740080513,NA,340.69,640.000033316731,432.000089390281,207.199981133603,24.220563196861,334.577505882353,339.119758400787,22.1,17.351622343946,8.4,3.9192587387576
"AARONRODGERS","Aaron Rodgers","QB","GB",2,318.703787109601,292.76,339.06,341.86,336.47,337.02,337.08,295.34,320.05,306.65,315.85,293.81,328.75,295,330.08,331.04545,NA,301.84,553.525,365,186.685579705979,48.9999590789618,319.871879411765,318.703787109601,26.5,18.5499034170372,6.9,3.84409839937589
"DREWBREES","Drew Brees","QB","NO",3,316.310391588408,319.46,325.6,324.02,313.220054399986,328,322.49,314.92,319.040054399986,300.540054399986,295.120054399986,294.420054399986,321.120054399986,304.58,328.22,349.453354399986,NA,312.76,639.000045194755,423.999950883619,213.975,24.875,317.783718627451,316.310391588408,26.8,13.9785156582896,6.6,3.3891991767261
"ANDREWLUCK","Andrew Luck","QB","IND",4,289.697417538729,354.51,304.58,291.32,272.136811959473,296.9,290.658,290,286.896811959473,288.996811959473,294.596811959473,286.296811959473,290.796811959473,282.88,306,276.100561959473,NA,270.88,595.045827045901,365.449963653863,230.375051106288,61.2538428838104,292.144882352941,289.697417538729,55.7,19.2111761025763,9.6,4.23704921763651
"JAMAALCHARLES","Jamaal Charles","RB","KC",5,275.74702577903,311.75,307.4,255.025,257.875168131086,271.35,276.0075,279.5,275.525168131086,256.550168131086,267.250168131086,273.575168131086,309.750168131086,244.35,256.05,321.572968131086,NA,257.75,0.08,0,0.07,257.15,276.365811960784,275.74702577903,2,23.7687882206021,1.1,3.60701274637192
"NICKFOLES","Nick Foles","QB","PHI",6,273.770152771227,261.34,271.9,304.5,265.560067010841,291.52,284.832,289.9,289.800067010841,273.040067010841,273.300067010841,270.880067010841,272.500067010841,271.32,286.94,263.947617010841,NA,283.46,522.4875,330.57,187.402160381192,62.7599576202262,276.853728431373,273.770152771227,69.3,11.9964066254651,14,4.11925083843288
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,271.999874604684,203.72,309.82,303.28,264.739952712843,293.3,288.59,276.96,252.559952712843,264.379952712843,266.299952712843,263.979952712843,267.899952712843,267.34,283.58,267.791802712843,NA,267.42,641.195188276714,387.499975102881,255.559037413183,32.0000395175943,270.611260784314,271.999874604684,49.8,23.9646919358126,7.9,4.46231011363679
"CAMNEWTON","Cam Newton","QB","CAR",8,271.612219965256,255.43,265.14,268.3,261.292627641947,281.06,265.764,284.56,269.432627641947,267.872627641947,269.432627641947,269.552627641947,266.232627641947,282.82,296.14,284.402977641947,NA,254.46,477.846572180307,288.999985770158,188.16263595539,105.744991538618,271.239510784314,271.612219965256,74.3,11.4107262496813,24.3,5.33409662569205
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,270.719983203277,297.53,299.34,285.3,253.719890516649,287.76,280.62,288.6,266.419890516649,278.079890516649,276.599890516649,260.179890516649,281.099890516649,264.36,287.54,244.790890516649,NA,257.16,470.000042743934,278.500063565761,188.294352763877,88.4999766443884,274.346431372549,270.719983203277,84.7,16.076858582194,17.6,4.93564305099197
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",10,269.929428875366,294.6,290.62,249.46,271.429551208638,288.7,269.892,260.26,259.449551208638,260.489551208638,253.569551208638,254.249551208638,265.569551208638,293.2,296.84,253.434801208638,NA,263.12,494.9,303.749973614291,189.999932770041,94.3336268042983,269.651220588235,269.929428875366,77.6,16.7673284523993,19.5,5.23274730909422
"RUSSELLWILSON","Russell Wilson","QB","SEA",11,266.194357944523,323.58,268.74,270,257.759839359713,NA,264.902,275.88,255.639839359713,263.139839359713,278.499839359713,240.959839359713,282.499839359713,261.56,279.58,269.759039359713,NA,246.84,440.075702305285,280.1975,159.50002189019,87.5883645010691,268.76995,266.194357944523,87.5,19.0858358101312,17.5,5.19843521143773
"TOMBRADY","Tom Brady","QB","NE",12,265.610233599062,197.2,283.42,289.76,246.080109000919,NA,270.838,275.5,245.340109000919,255.000109000919,269.700109000919,251.420109000919,274.600109000919,254.42,280.68,266.090709000919,NA,276.64,627.999984617161,391.162900882992,233.727174574861,29.0482834422042,264.848058333333,265.610233599062,67.2,22.7302430111417,9.3,4.5218491735924
"CALVINJOHNSON","Calvin Johnson","WR","DET",13,265.213505311947,218.315,271.85,269.35,277.599997476809,266.35,268.725,269.725,254.224997476809,254.974997476809,253.599997476809,278.599997476809,263.349997476809,239.75,277.875,267.077497476809,NA,238.325,0.01,0,0.01,0,261.495588235294,265.213505311947,6.1,16.7065153346053,1.2,2.97363332078443
"LESEANMCCOY","LeSean McCoy","RB","PHI",14,264.49974003297,311.015,291.825,246.35,251.049848363086,266.975,264.9025,255.95,266.199848363086,247.674848363086,246.599848363086,249.574848363086,251.224848363086,296.875,264.45,303.574998363086,NA,239.5,0.31,0,0.26,292.219935147757,265.34731627451,264.49974003297,1.7,22.6213108718553,0.9,3.47747146083149
"MATTRYAN","Matt Ryan","QB","ATL",15,263.275127237304,237.51,290.38,289.44,246.080062667693,282.76,276.122,246.16,258.800062667693,252.880062667693,245.800062667693,250.540062667693,254.900062667693,279.62,274.48,263.612362667693,NA,269.25,636.499982589449,418.5,219,24.916475345496,264.384439215686,263.275127237304,64.3,16.9479965334209,13.7,4.53502440830246
"TONYROMO","Tony Romo","QB","DAL",16,261.525558918657,277.86,279.34,274.48,250.709967584553,1.4,264.95,241.94,244.809967584553,244.169967584553,245.649967584553,246.929967584553,283.349967584553,261.3,275.68,252.069567584553,NA,266.4,598.07041705002,380.25,219.155,23.4244676233904,260.495183333333,261.525558918657,77.6,66.3799571286855,14,9.09146430369338
"PHILIPRIVERS","Philip Rivers","QB","SD",17,251.330475578818,263.23,251.58,258.84,246.974943301659,1.4,250.574,232,240.05494330166,237.15494330166,233.794943301659,241.714943301659,250.694943301659,263.92,260.02,262.698593301659,NA,242.63,554.51,364.471819064764,187.514990665319,27.0572215991503,250.369545833333,251.330475578818,101,62.8133178635114,20.5,9.56581401750665
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",18,250.275542288666,306.18,249.4,261.65,250.400205361566,255.025,255.3,268.65,256.525205361566,236.275205361566,241.900205361566,243.900205361566,269.150205361566,198.125,252.175,240.612705361566,NA,231.85,0.02,0,0.02,0,251.780214932127,250.275542288666,9,22.3443728033961,1.9,3.57529641630669
"MATTFORTE","Matt Forte","RB","CHI",19,250.078265247797,263,272.8,251.2,250.500260948419,256.95,255.405,252.6,239.925260948419,230.225260948419,246.425260948419,235.300260948419,246.425260948419,280.825,250.75,278.910110948419,NA,237.4,0.1,0,0.08,274.699999782017,252.392045490196,250.078265247797,3.9,14.8467934814221,1.4,2.82823050601879
"ADRIANPETERSON","Adrian Peterson","RB","MIN",20,246.350069953129,228.935,252.8,225.825,255.625,246.775,243.7325,275.75,242.1,234.775,245.25,224.15,239.75,244.3,253.125,268.38725,NA,237.275,0.01,0,0.01,301.550034168465,245.394799019608,246.350069953129,2.9,14.1377448628128,1.1,2.72645965586945
"JAYCUTLER","Jay Cutler","QB","CHI",21,246.265996390962,250.6,279.33,260.03,226.969766483796,2.35,257.424,264.49,246.909766483796,238.689766483796,239.249766483796,231.269766483796,240.749766483796,260.74,260.54,253.056866483796,NA,236.32,554.955716593935,343.780023115904,210.11,33.8804841647039,247.519079166667,246.265996390962,80.1,63.3788521963962,17.2,9.21114146900341
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",22,239.482259155477,205.96,266.84,259.74,220.759920931353,2,250.062,247.84,236.679920931353,227.119920931353,237.199920931353,223.699920931353,238.999920931353,269.56,253.96,234.753920931353,NA,220.68,568.2,356.775,209.125,28.4999980994021,240.788833333333,239.482259155477,110,61.9898734662576,19.6,9.37969710410365
"DEZBRYANT","Dez Bryant","WR","DAL",23,236.687270550945,331.07,232.375,238.125,234.925129140395,236.15,232.975,252.625,221.500129140395,222.775129140395,230.000129140395,229.350129140395,255.500129140395,219,248.075,224.857129140395,NA,240.625,0.04,0,0.03,1.00001229078903,240.618658974359,236.687270550945,10.7,26.3654753609404,2.5,4.01682732444684
"ALEXSMITH","Alex Smith","QB","KC",24,235.631547734353,256.5,245.16,218.86,201.529997629087,1.2,229.414,248.24,248.009997629087,220.369997629087,233.749997629087,225.909997629087,238.549997629087,248.24,259.74,211.546297629087,NA,257.58,530.019653045495,320.125,208.822190182478,63.5450049267999,235.337404166667,235.631547734353,144.7,61.233286307437,18.5,9.1750638516714
"EDDIELACY","Eddie Lacy","RB","GB",25,229.875767531195,246.83,251.225,201.075,221.67513028578,227.975,224.275,250,218.55013028578,209.90013028578,225.80013028578,221.20013028578,238.42513028578,255.375,240.6,250.25213028578,NA,231.05,0,0,0,288.499986287145,232.127151960784,229.875767531195,5.1,16.0667651714001,1.4,2.93977084511059
"ANDYDALTON","Andy Dalton","QB","CIN",26,228.820615590307,242.28,245.26,236.22,222.179941578027,NA,233.2,227.16,221.599941578027,225.199941578027,232.799941578027,220.819941578027,222.999941578027,245.86,251.2,229.081241578027,NA,224.4,534.665131175828,329.999950620183,205.003993610531,52.2470877212634,232.187716666667,228.820615590307,121.1,10.0308966793895,20.9,4.78924762018176
"AJGREEN","A.J. Green","WR","CIN",27,228.632483623729,262.985,226.75,227,230.106168816514,229.25,227.4,237.075,220.481168816514,224.481168816514,230.856168816514,222.306168816514,227.856168816514,194.125,252.375,241.852418816514,NA,211.7,0.04,0,0.04,0,230.593009049774,228.632483623729,14.3,15.496998573746,3.2,3.10933890833986
"JULIOJONES","Julio Jones","WR","ATL",28,224.816564725818,250.31,224.25,238.125,226.27493200719,229.85,234.8625,242.075,240.82493200719,212.72493200719,214.49993200719,227.12493200719,212.24993200719,199.25,237.725,221.26218200719,NA,226.095,0.06,0,0.06,2.00000864726496,227.47524321267,224.816564725818,14.9,13.3118524767419,3.9,2.99575551280555
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",29,221.078103998112,232.35,220.975,228.85,223.509253224771,224.85,221.6875,241.6,204.509253224771,211.509253224771,219.009253224771,206.709253224771,225.509253224771,198.625,234.75,234.803003224771,NA,223.15,0.02,0,0.02,0,223.28112066365,221.078103998112,15.1,11.8180220936021,2.6,2.69908811841792
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",30,219.738180822193,198.59,235.98,237.96,203.341389474653,NA,224.718,204.64,207.461389474653,209.161389474653,229.961389474653,213.601389474653,217.561389474653,240.08,252.82,192.066689474653,NA,232.22,560.00003196635,337.495114587015,221.809523809524,42.0000498572841,221.4108,219.738180822193,133.6,17.7336934029617,22,5.62896329019787
"JIMMYGRAHAM","Jimmy Graham","TE","NO",31,219.186341939824,292.36,232.625,232.75,215.32,217.375,224.9375,252.5,207.195,211.445,222.195,210.07,213.695,176.875,221.125,210.35875,NA,211.8,0,0,0,0,223.393382352941,219.186341939824,8.8,24.498125228945,2.4,3.83378355958575
"JORDYNELSON","Jordy Nelson","WR","GB",32,217.480551777686,219.035,219,223,218.50013495054,216.125,217.125,217.575,202.62513495054,219.75013495054,213.00013495054,210.37513495054,226.25013495054,220.25,222.5,209.01388495054,NA,197.25,0.02,0,0.02,0,216.496037330317,217.480551777686,19.9,7.63859314508026,4.4,2.53862970158194
"ANTONIOBROWN","Antonio Brown","WR","PIT",33,216.267549207878,198.48,223.875,205.375,226.075120980345,221.375,221.35,216.55,221.650120980345,209.350120980345,213.250120980345,203.850120980345,221.375120980345,201.875,225.525,230.988070980345,NA,205.83,0.1,0,0.01,5.99998257650318,216.601519864253,216.267549207878,23.7,10.0478543692882,4.4,2.75890515232927
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",34,215.342006843965,217.97,215.525,200.4,219.364765050668,218.025,216.0625,213.175,201.689765050668,206.089765050668,210.989765050668,199.289765050668,210.614765050668,166.375,217.75,203.904965050668,NA,203.385,0.02,0,0,11.0000365079257,210.54560214178,215.342006843965,23.7,12.9941009502666,5.2,3.1267924567893
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",35,214.800801561174,302.38,249.925,197.225,200.275210536899,217.3,215.735,219.85,207.375210536899,188.475210536899,204.750210536899,201.775210536899,205.875210536899,231.2,219.925,239.202460536899,NA,211.725,0.09,0,0.09,232.000043672649,218.259921568627,214.800801561174,12.6,27.1934242143967,4.8,4.37575910687283
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",36,213.882843723643,258.505,204.825,186.9,234.775141283545,206.65,205.8225,228.5,205.550141283545,203.025141283545,211.900141283545,205.000141283545,213.525141283545,189.175,237.75,254.760291283545,NA,209.775,0.21,0,0.09,275.499984693326,214.95449372549,213.882843723643,11.9,21.0290983424421,3.9,3.70133272233121
"MONTEEBALL","Montee Ball","RB","DEN",37,213.413298349632,157.425,241.1,199.75,188.425,216.1,213.335,231.375,216.975,218.675,230,202.025,205.125,217.25,217,240.2291,NA,204.8,0.03,0,0.02,251,212.411368039216,213.413298349632,11.1,20.5958313490609,3.4,3.60014720341193
"CARSONPALMER","Carson Palmer","QB","ARI",38,207.500843474772,181.3,234.84,238.68,199.990116070747,NA,221.784,201.62,197.750116070747,186.610116070747,196.450116070747,199.590116070747,193.550116070747,227.54,244.3,191.279166070747,NA,191.93,568.049529752222,353.500075077665,214.625,21.3489910729638,208.018445833333,207.500843474772,133,20.4788138435659,18.6,5.46125280907446
"JOEFLACCO","Joe Flacco","QB","BAL",39,205.049413196307,170.07,224.42,204.36,192.999821437456,1.2,207.566,201.3,201.659821437456,202.199821437456,210.699821437456,198.059821437456,208.299821437456,222.16,222.3,170.574221437456,NA,206.62,575.205,340.00009164098,230.790462386093,31.4058948217346,203.553316666667,205.049413196307,157,52.7395104268759,14.2,7.86896596682863
"LEVEONBELL","Le'Veon Bell","RB","PIT",40,204.724466123536,214.885,208.475,190.375,201.949953633763,0.4,203.125,193.825,212.399953633763,184.399953633763,190.899953633763,198.849953633763,187.649953633763,219.475,211.15,252.817903633763,NA,193.3,0.22,0,0.16,265.000053832205,203.869361875,204.724466123536,24.1,53.599442849764,8.3,7.22103277123423
"ARIANFOSTER","Arian Foster","RB","HOU",41,203.296608937059,194.19,208.6,184.325,191.774806825617,2,196.7375,187.25,202.524806825617,213.574806825617,204.999806825617,200.649806825617,193.499806825617,215.85,218.225,254.459056825617,NA,201.65,0,0,0,253.687843171872,203.089026041667,203.296608937059,22.1,53.2649210581409,11.7,7.60914098201843
"RANDALLCOBB","Randall Cobb","WR","GB",42,203.27272429091,267.755,200.2,185.325,212.624717482435,206.075,203.0375,193.225,195.924717482435,203.574717482435,186.324717482435,197.224717482435,197.199717482435,167.7,206.5,216.156717482435,NA,188.11,0.05,0,0.05,8.49996332810779,204.287553921569,203.27272429091,29,21.184944066667,4,3.72789598558061
"DOUGMARTIN","Doug Martin","RB","TB",43,202.981041192461,239.53,222.25,190.175,207.099969476243,201.825,204.4525,208.65,196.524969476243,188.749969476243,178.399969476243,182.399969476243,201.149969476243,226.55,209.55,201.999919476243,NA,195.35,0.175,0,0.095,276.849924585709,202.65962627451,202.981041192461,21.7,16.028930417186,6.4,3.55203678243024
"SAMBRADFORD","Sam Bradford","QB","STL",44,201.387800109106,224.39,NA,NA,-7.785,NA,NA,NA,187.715,-7.785,-7.785,-7.785,-7.785,NA,NA,-7.785,NA,NA,0,0,0,0,72.7421428571429,201.387800109106,NA,99.4716344505702,NA,20.1525726948473
"VINCENTJACKSON","Vincent Jackson","WR","TB",45,200.587190395078,331.46,201.775,189.15,201.068632743257,0.4,196.6375,210.65,188.118632743257,198.368632743257,183.743632743257,200.168632743257,195.493632743257,211.125,211.95,200.931732743257,NA,191.875,0.07,0,0.05,0.9999139655549,209.182274166667,200.587190395078,34.5,61.9981423733747,5.5,7.64410828892669
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",46,200.149899625202,168.57,243.4,196.55,187.250015653834,208.55,210.84,173.975,207.625015653834,191.300015653834,214.300015653834,205.575015653834,215.800015653834,208.45,224.65,199.000765653834,NA,184.45,0.01,0,0.01,215.199936741172,202.589161764706,200.149899625202,17.3,18.8912892152923,4.9,3.62902078807562
"ELIMANNING","Eli Manning","QB","NYG",47,199.485772144009,141.56,213.34,210.38,202.9150570665,NA,207.3,174.3,193.4750570665,194.8950570665,193.5350570665,200.2350570665,183.2350570665,241.56,218.86,201.7550570665,NA,184.93,553.025,329.9,221.177192545454,20.9773856785382,198.681333333333,199.485772144009,147.8,22.4133290866803,18,5.56423587158112
"JAKELOCKER","Jake Locker","QB","TEN",48,197.311445151033,263.27,229.92,229.26,148.66375,NA,192.33,136.32,118.10375,206.36375,182.94375,200.26375,167.44375,236.12,249.14,184.55545,NA,231.34,433.125,255.4,177.075,49.0389118626493,199.384595833333,197.311445151033,162.6,42.6815965301407,18.1,7.42965027945114
"ANDREJOHNSON","Andre Johnson","WR","HOU",49,191.09482362664,180.075,198.4,188.775,210.4607954289,0.4,193.3125,210.9,169.7107954289,179.8357954289,178.8357954289,176.3357954289,199.2107954289,199.375,214.75,202.9789454289,NA,178.4,0.335,0,0.215,0,193.378958125,191.09482362664,37,49.8896798786159,8,6.84491072166824
"JOSHMCCOWN","Josh McCown","QB","TB",50,190.282348828008,256.74,220.4,196.74,195.420153029401,NA,193.254,161.32,139.380153029401,168.820153029401,154.720153029401,203.000153029401,174.620153029401,262.82,165.34,172.562353029401,NA,209.72,451.35,271.25,178.575,28.0000533120414,196.008970833333,190.282348828008,154.2,35.3655562291233,22.5,7.30259284765524
"ANDREELLINGTON","Andre Ellington","RB","ARI",51,190.082633981281,147.26,209.2,178.05,175.324928014155,NA,191.035,220.75,198.974928014155,170.899928014155,179.624928014155,176.299928014155,192.499928014155,197.35,203.875,193.960678014155,NA,199.725,0.02,0,0.02,196.05,188.836880208333,190.082633981281,26.3,18.1039590542979,7.9,3.92647134106462
"KEENANALLEN","Keenan Allen","WR","SD",52,186.812601539381,224.345,187.825,178.325,176.824809090909,1.2,182.675,188.3,187.324809090909,181.199809090909,184.949809090909,191.074809090909,196.199809090909,170.825,208.45,183.352309090909,NA,177.4,0.05,0,0.05,0,187.973697916667,186.812601539381,34.1,48.4694894831149,6.7,6.55497613039353
"EJMANUEL","EJ Manuel","QB","BUF",53,186.681288797345,194.69,193.32,167.14,162.337219857559,1,180.006,188.52,193.237219857559,184.717219857559,173.817219857559,199.317219857559,187.217219857559,232.22,225.12,175.082519857559,NA,205.64,477.975,281.412769501835,197.280933199868,75.75,189.2641125,186.681288797345,176.8,51.037360376596,19.1,8.31675133598517
"ZACSTACY","Zac Stacy","RB","STL",54,185.994316114385,160.64,209.7,180.35,182.574988154543,NA,194.06,187.25,202.649988154543,176.849988154543,170.499988154543,172.774988154543,175.874988154543,182.675,189.5,189.225888154543,NA,193.325,0.07,0,0.06,274.91551693597,184.452794583333,185.994316114385,22.1,12.6732773002713,5.9,3.18366150668801
"ALFREDMORRIS","Alfred Morris","RB","WAS",55,185.702473120621,228.665,208.05,181.95,181.849944588271,0.4,189.34,171.15,176.849944588271,170.924944588271,174.524944588271,166.349944588271,175.399944588271,237.55,191.4,182.160944588271,NA,174.975,0,0,0,269.225,187.1504375,185.702473120621,22.3,51.050780388281,6.5,6.76635101434527
"VICTORCRUZ","Victor Cruz","WR","NYG",56,184.787641513226,199.655,179.375,170.875,169.700003424382,NA,177.975,208.525,192.700003424382,179.200003424382,167.200003424382,178.950003424382,202.325003424382,202.875,207.75,193.010003424382,NA,179.35,0.02,0,0.02,0,187.3884375,184.787641513226,39,14.3509360112281,9.1,3.73111161753867
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",57,179.900103672119,124.77,204.275,190.525,179.07503925702,0.4,189.675,183.15,170.35003925702,167.12503925702,160.60003925702,173.37503925702,170.85003925702,195.5,203.75,193.19978925702,NA,182.595,0.12,0,0.07,1.5,180.953384375,179.900103672119,41.8,48.7060255245036,8,6.73669082680531
