"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstPtsAllowed","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg019","fg2029","fg3039","fg4049","fg50","xp"
"JAMAALCHARLES","RB","KC","cbs1","Jamaal Charles",389,2015,1,1,307.8,235.7,307.8,183.685524785935,5.99375,4.01502854183591,30.609795545435,3.4413,NA,NA,NA,NA,NA,NA,252,1344,11,68,28,688,5,0,0.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DAL","yahoo","DeMarco Murray",264,2015,1,1,292.125,196.025,292.125,168.010524785935,7.1125,4.94770076755509,46.3132090588995,2.57065,385,0,0,0,0,0,227.333333333333,1875,10.9,55.4,41,437,0.5,0,0.1,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","PHI","cbs1","LeSean McCoy",573,2015,2,2,289.925,182.6,289.925,165.810524785935,9.25625,4.77520716244657,44.2887842037914,1.56195,NA,NA,NA,NA,NA,NA,288,1541,11,47,28,461,3,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","HOU","yahoo","Arian Foster",54,2015,2,2,281.175,182.525,281.175,157.060524785935,14.65,5.13558893797284,45.3050143242077,7.9413,293,0,0,0,0,0,246.666666666667,1430,11.6,47.1,39,427,3.8,0,0.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","CHI","yahoo","Matt Forte",616,2015,3,3,279,250.8,279,154.885524785935,3.4,3.01759314141211,14.5915500661627,3.3413,264,0,0,0,0,0,276,1125,6.6,102,77,856,4,0,1.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","CHI","cbs1","Matt Forte",616,2015,3,3,272.9,250.8,279,148.785524785935,3.4,3.01759314141211,14.5915500661627,3.3413,NA,NA,NA,NA,NA,NA,277,1352,8,67,77,556,4,0,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","SEA","yahoo","Marshawn Lynch",605,2015,4,4,268.425,187.1,268.425,144.310524785935,8.325,4.30856262417849,35.8378546081747,2.78729833462074,272,0,0,0,0,0,281,1188,14,37.9,30,365,3.8,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","KC","averageRobust","Jamaal Charles",389,2015,1,1,266.7125,235.7,307.8,142.598024785935,5.99375,4.01502854183591,30.609795545435,3.4413,124,0,0,0,0,0,254.75,1234.5,9.9,64.25,28,540.5,3.7,0,0.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","KC","average","Jamaal Charles",389,2015,1,1,264.625,235.7,307.8,140.510524785935,5.99375,4.01502854183591,30.609795545435,3.4413,124,0,0,0,0,0,255.666666666667,1234.5,9.9,59.725,28,523,3.7,0,0.2,2.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","CHI","average","Matt Forte",616,2015,2,2,263.5,250.8,279,139.385524785935,3.4,3.01759314141211,14.5915500661627,3.3413,132,0,0,0,0,0,276,1240,7.65,75.25,77,624,3.25,0,1.1,2.03333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
