"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,348,NA,NA,4600,37,10,NA,240,NA,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,342,NA,NA,4700,44,11,NA,0,NA,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,339,NA,NA,4900,41,14,NA,10,NA,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,311,NA,NA,4400,28,13,NA,250,NA,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",5,5,302,NA,NA,4500,33,12,NA,20,NA,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin","WAS",6,6,296,NA,NA,3450,21,12,NA,620,NA,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",7,7,289,NA,NA,4700,30,17,NA,70,NA,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,288,NA,NA,3600,24,15,NA,480,NA,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",9,9,287,NA,NA,3400,26,15,NA,530,NA,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",10,10,286,NA,NA,3400,23,11,NA,500,NA,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,11,285,NA,NA,4600,29,13,NA,70,NA,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",12,12,280,NA,NA,4550,31,18,NA,40,NA,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,273,NA,NA,4400,29,12,NA,50,NA,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",14,14,269,NA,NA,3900,24,13,NA,250,NA,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",15,15,263,NA,NA,4150,27,13,NA,90,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,16,262,NA,NA,NA,NA,NA,NA,1620,NA,33,220,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",16,17,260,NA,NA,4100,25,14,NA,120,NA,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",17,18,254,NA,NA,3800,25,16,NA,220,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,18,254,NA,NA,NA,NA,NA,NA,1240,NA,63,580,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",18,20,247,NA,NA,3800,26,18,NA,150,NA,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",19,21,244,NA,NA,3700,24,16,NA,200,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",3,22,243,NA,NA,NA,NA,NA,NA,1300,NA,40,290,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",4,23,242,NA,NA,NA,NA,NA,NA,1410,NA,47,410,NA,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,24,238,NA,NA,NA,NA,NA,NA,NA,NA,101,1660,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",20,25,232,NA,NA,3300,23,15,NA,140,NA,NA,NA,NA,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",20,25,232,NA,NA,3200,20,12,NA,300,NA,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",22,27,226,NA,NA,3900,21,14,NA,80,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,28,225,NA,NA,NA,NA,NA,NA,NA,NA,93,1460,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",23,29,224,NA,NA,3100,20,11,NA,360,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",5,29,224,NA,NA,NA,NA,NA,NA,1130,NA,69,570,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARZ",24,31,222,NA,NA,4100,23,18,NA,20,NA,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",25,32,221,NA,NA,3950,24,18,NA,30,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",3,32,221,NA,NA,NA,NA,NA,NA,NA,NA,94,1360,NA,NA,NA,NA
"AJGREEN","WR","A.J.  Green","CIN",4,34,220,NA,NA,NA,NA,NA,NA,NA,NA,95,1410,NA,NA,NA,NA
